Overall Qual,Gr Liv Area,Garage Cars,Garage Area,Total Bsmt SF,1st Flr SF,2nd Flr SF,Full Bath,Year Built,Year Remod/Add,TotRms AbvGrd,Lot Area,Fireplaces,BsmtFin SF 1,MS SubClass,Lot Frontage,SalePrice
9,1752,2.0,576.0,1752.0,1752,0,2,2005,2005,6,7658,1,456.0,120,61.0,319900
8,1370,2.0,484.0,1370.0,1370,0,2,2006,2006,6,7132,1,24.0,120,41.0,205000
7,1626,2.0,474.0,764.0,764,862,2,2003,2003,6,2628,0,0.0,160,36.0,175500
6,1324,2.0,430.0,1324.0,1324,0,2,2005,2005,6,18494,0,0.0,20,100.0,199500
7,1145,2.0,437.0,1145.0,1145,0,2,2006,2006,6,3203,0,16.0,120,43.0,160000
8,1269,2.0,430.0,1256.0,1269,0,2,2004,2005,6,3182,1,24.0,120,43.0,192000
7,1374,2.0,400.0,384.0,744,630,2,2004,2004,7,13300,1,326.0,80,67.0,184500
6,1960,2.0,440.0,860.0,860,1100,2,2002,2002,8,7851,2,625.0,60,69.22459016393442,216500
7,1733,2.0,433.0,847.0,847,886,2,2004,2004,7,8577,1,0.0,60,63.0,185088
7,1430,2.0,400.0,384.0,774,656,2,2000,2000,7,7750,1,250.0,80,69.22459016393442,180000
7,2035,2.0,434.0,884.0,884,1151,2,2001,2001,8,9505,1,0.0,60,69.22459016393442,222500
9,2599,3.0,779.0,1393.0,1422,1177,2,1999,1999,10,14774,1,0.0,60,108.0,333168
8,2475,3.0,962.0,1629.0,1645,830,2,1998,1998,7,17433,1,0.0,60,60.0,355000
7,1720,2.0,527.0,1720.0,1720,0,2,1996,1996,7,10593,1,919.0,20,59.0,260400
8,2622,2.0,712.0,1463.0,1500,1122,2,1994,1995,9,12256,2,1032.0,60,98.0,325000
8,2270,3.0,671.0,1152.0,1164,1106,2,1999,2007,9,11764,1,524.0,60,92.0,290000
7,1839,2.0,486.0,1195.0,1195,644,2,1998,1998,7,16770,0,0.0,60,58.0,221000
8,3238,3.0,666.0,2033.0,2053,1185,2,1995,1996,9,14720,1,816.0,50,56.0,410000
8,1595,3.0,880.0,1595.0,1595,0,2,2005,2006,6,8987,1,0.0,20,73.0,221500
7,1218,2.0,676.0,1218.0,1218,0,2,2009,2010,4,9215,0,0.0,20,92.0,204500
7,1547,2.0,614.0,756.0,764,783,2,2009,2009,7,8640,0,24.0,60,72.0,215200
8,1566,2.0,750.0,1566.0,1566,0,2,2008,2008,7,9000,0,1078.0,20,75.0,262500
7,1947,2.0,678.0,991.0,991,956,2,2004,2005,8,12552,1,222.0,60,100.0,254900
6,1468,2.0,528.0,1468.0,1468,0,2,2005,2005,6,10440,1,1414.0,20,84.0,271500
7,2084,2.0,618.0,956.0,956,1128,2,2004,2004,8,10142,0,656.0,60,76.0,233000
7,1659,2.0,484.0,831.0,831,828,2,2004,2004,8,11920,0,0.0,60,70.0,181000
7,2110,2.0,463.0,948.0,1222,888,2,1994,2002,8,8880,2,695.0,60,69.22459016393442,205000
6,923,1.0,264.0,923.0,923,0,2,1980,1980,5,8012,1,543.0,120,50.0,143000
6,1845,2.0,462.0,1055.0,1055,790,2,1992,1992,8,11218,1,0.0,60,70.0,189000
6,918,1.0,264.0,918.0,918,0,2,1979,1979,5,7892,1,0.0,120,55.0,99500
6,752,1.0,264.0,744.0,752,0,1,1984,1984,4,7175,0,623.0,120,50.0,125000
7,1744,2.0,457.0,996.0,1014,730,2,1993,2003,7,9453,0,402.0,60,69.22459016393442,194500
6,1097,2.0,480.0,1040.0,1097,0,2,1984,1985,6,9672,0,338.0,20,81.0,152000
6,1564,2.0,476.0,650.0,888,676,2,1980,1981,7,8400,1,0.0,60,70.0,171000
5,1012,1.0,429.0,816.0,1012,0,1,1920,1950,5,9800,0,0.0,30,70.0,67500
6,1902,2.0,539.0,0.0,1318,584,2,1978,1978,8,8930,0,0.0,90,68.0,112000
5,1155,2.0,576.0,1109.0,1155,0,1,1961,1995,6,11782,0,899.0,85,88.0,148000
5,894,1.0,336.0,894.0,894,0,1,1965,2009,5,8450,1,553.0,20,65.0,138500
5,900,1.0,280.0,882.0,900,0,1,1967,1967,5,9819,0,450.0,20,69.22459016393442,122000
5,1040,1.0,308.0,1040.0,1040,0,1,1963,1963,5,7500,0,824.0,20,75.0,133000
5,1040,1.0,260.0,1040.0,1040,0,1,1962,2010,6,6897,0,659.0,20,69.22459016393442,127000
6,1494,2.0,461.0,1208.0,1494,0,2,1974,2002,7,15410,2,126.0,20,39.0,169000
7,1923,2.0,564.0,750.0,1061,862,2,1992,1992,8,10186,1,674.0,60,107.0,190000
8,2349,3.0,762.0,1231.0,1251,1098,2,1993,1993,9,13143,1,250.0,60,85.0,362500
8,2225,3.0,713.0,1390.0,1402,823,2,1992,1993,7,11134,1,1129.0,60,88.0,285000
7,1488,2.0,506.0,1488.0,1488,0,2,2004,2005,6,4835,1,1298.0,120,25.0,260000
7,1680,2.0,588.0,840.0,840,840,2,2004,2004,3,3515,0,0.0,160,39.0,190000
7,1200,2.0,480.0,600.0,600,600,2,2004,2004,4,3215,0,280.0,160,30.0,155000
7,1200,2.0,480.0,600.0,600,600,2,2004,2005,4,3182,0,0.0,160,30.0,151000
7,1200,2.0,480.0,600.0,600,600,2,2004,2005,4,2544,0,368.0,160,24.0,149500
6,1236,2.0,480.0,600.0,600,636,2,2005,2005,4,2544,0,376.0,160,24.0,152000
7,1478,2.0,484.0,1470.0,1478,0,2,2009,2009,7,4403,1,578.0,20,69.22459016393442,222000
6,1573,2.0,440.0,756.0,769,804,2,2000,2000,5,2117,0,378.0,160,69.22459016393442,177500
6,1512,2.0,440.0,756.0,756,756,2,2000,2000,5,2980,0,466.0,160,69.22459016393442,177000
7,1416,2.0,484.0,696.0,696,720,2,1999,1999,6,2572,0,604.0,160,24.0,155000
7,1080,2.0,496.0,530.0,530,550,2,2003,2003,4,2403,0,244.0,160,69.22459016393442,147110
8,1418,3.0,852.0,1642.0,1418,0,1,2010,2010,6,12853,1,1032.0,20,57.0,267916
8,1848,2.0,592.0,975.0,975,873,2,2000,2000,7,7379,1,484.0,60,68.0,254000
8,788,2.0,484.0,728.0,788,0,1,1980,1980,3,4420,1,728.0,120,30.0,155000
8,1226,2.0,484.0,1226.0,1226,0,1,1978,1978,4,3880,1,1052.0,120,40.0,206000
6,1479,2.0,475.0,725.0,725,754,2,1976,2005,6,13517,0,533.0,60,69.22459016393442,130500
7,1492,2.0,596.0,1492.0,1492,0,2,2002,2002,6,8000,1,833.0,20,80.0,230000
6,1829,2.0,535.0,1829.0,1829,0,2,1967,1967,8,10456,0,506.0,20,69.22459016393442,218500
6,2495,2.0,660.0,1280.0,1280,1215,2,1993,1993,9,10791,1,1137.0,60,80.0,243500
6,1610,2.0,480.0,1610.0,1610,0,2,1977,2001,6,10603,2,1200.0,20,69.22459016393442,205000
6,1891,2.0,678.0,1224.0,1287,604,3,1978,1978,7,18837,1,687.0,50,69.22459016393442,212500
7,1714,2.0,496.0,980.0,980,734,2,1988,1988,7,10421,1,394.0,60,80.0,196500
6,1381,2.0,676.0,1161.0,1381,0,1,1972,2006,5,9360,1,982.0,20,78.0,197500
6,1645,2.0,441.0,715.0,930,715,1,1971,1971,7,9600,0,329.0,60,80.0,171000
5,1232,2.0,490.0,1232.0,1232,0,1,1966,1966,6,9600,0,698.0,20,80.0,142250
6,1328,2.0,528.0,1328.0,1328,0,1,1963,1963,6,9790,2,569.0,20,69.22459016393442,143000
4,1225,0.0,0.0,950.0,1225,0,1,1959,1959,6,9320,0,569.0,20,77.0,128950
5,1209,2.0,504.0,1209.0,1209,0,1,1966,1966,6,9900,0,1059.0,20,90.0,159000
5,1510,2.0,517.0,1510.0,1510,0,2,1967,1967,6,9680,0,1010.0,20,88.0,178900
6,1775,2.0,480.0,533.0,1131,644,2,1964,1964,8,10600,0,0.0,80,69.22459016393442,136300
5,1152,2.0,484.0,1152.0,1152,0,1,1964,1964,6,14112,1,1014.0,80,69.22459016393442,180500
6,1054,2.0,480.0,936.0,1054,0,1,1963,1963,6,8800,0,763.0,85,80.0,137500
5,1728,0.0,0.0,1728.0,1728,0,2,1962,2001,10,13260,0,1500.0,90,98.0,84900
5,1078,1.0,240.0,1078.0,1078,0,1,1950,1996,5,9717,0,49.0,20,68.0,142125
5,2461,2.0,400.0,1140.0,1929,532,2,1952,2002,7,9724,2,670.0,50,68.0,197600
6,1556,2.0,470.0,782.0,1019,537,2,1949,1950,6,17360,1,300.0,50,120.0,172500
5,858,0.0,0.0,858.0,858,0,1,1958,2008,4,7207,0,696.0,20,50.0,116500
3,1306,0.0,0.0,728.0,1306,0,1,1940,1966,6,5350,0,0.0,30,55.0,76500
5,1063,1.0,280.0,1056.0,1063,0,1,1954,1954,6,9920,0,354.0,20,80.0,128000
6,1520,1.0,364.0,1156.0,1520,0,1,1955,1972,7,9600,2,674.0,80,80.0,153000
5,1268,1.0,244.0,1268.0,1268,0,1,1954,1954,7,7800,1,540.0,20,78.0,132000
6,1128,1.0,315.0,1080.0,1128,0,1,1966,2008,5,11380,1,944.0,85,75.0,178000
5,2274,2.0,480.0,1105.0,1105,1169,2,1960,1960,12,11600,0,443.0,90,80.0,154300
7,2207,2.0,576.0,1947.0,2207,0,2,1970,1989,7,19900,1,912.0,20,69.22459016393442,180000
6,1888,2.0,578.0,1517.0,1888,0,2,1966,2002,6,16492,1,247.0,20,137.0,190000
5,1604,2.0,576.0,1604.0,1604,0,2,1958,1958,8,8267,0,0.0,90,70.0,135000
7,1480,2.0,620.0,1480.0,1480,0,2,2003,2009,7,8197,0,1188.0,20,70.0,214000
5,1143,1.0,308.0,1143.0,1143,0,1,1959,1959,6,8050,0,856.0,20,69.22459016393442,136000
5,1700,2.0,447.0,1398.0,1700,0,1,1959,1959,6,10552,1,1018.0,20,70.0,165500
5,1314,1.0,294.0,1314.0,1314,0,1,1957,1957,5,8400,0,922.0,20,70.0,145000
6,1194,1.0,312.0,1194.0,1194,0,1,1959,1959,6,8760,0,0.0,20,73.0,148000
5,1188,2.0,531.0,1188.0,1188,0,1,1959,1959,6,12160,0,1000.0,20,69.22459016393442,142000
5,1264,2.0,461.0,1268.0,1264,0,1,1960,1960,6,9300,2,697.0,20,73.0,167500
5,1206,1.0,312.0,1206.0,1206,0,1,1959,1959,6,10725,0,936.0,20,87.0,108538
6,1580,2.0,440.0,1244.0,1580,0,1,1959,1959,6,10032,2,734.0,20,80.0,159500
4,1337,1.0,263.0,832.0,832,505,1,1956,1956,5,8382,0,0.0,50,60.0,108000
5,1064,1.0,318.0,864.0,1064,0,1,1952,1952,4,10950,0,339.0,20,60.0,135000
5,972,1.0,305.0,972.0,972,0,1,1955,1955,5,10895,0,648.0,20,119.0,122500
5,988,1.0,264.0,988.0,988,0,1,1958,1958,5,13587,0,532.0,190,70.0,119000
5,1057,1.0,246.0,1057.0,1057,0,1,1953,2007,5,7922,0,731.0,20,68.0,109000
4,985,2.0,676.0,576.0,985,0,1,1920,1994,4,7898,0,0.0,30,65.0,105000
5,827,1.0,392.0,0.0,827,0,1,1955,2007,5,7200,1,0.0,20,60.0,107500
5,1086,2.0,490.0,1086.0,1086,0,1,1954,2003,6,10200,0,320.0,20,85.0,144900
5,936,1.0,308.0,936.0,936,0,1,1956,2000,4,5868,0,248.0,20,74.0,129000
6,1458,1.0,330.0,912.0,912,546,1,1948,1950,6,17503,1,0.0,50,78.0,97500
6,1056,2.0,576.0,1056.0,1056,0,0,1980,1980,4,6979,0,1056.0,90,64.0,144000
5,1287,2.0,576.0,1063.0,1287,0,1,1959,2006,7,9830,1,72.0,20,69.22459016393442,162000
7,2978,2.0,564.0,710.0,1898,1080,2,1967,2007,11,11275,1,0.0,80,96.0,242000
6,1224,1.0,280.0,816.0,816,408,1,1948,2004,5,8064,0,481.0,50,60.0,132000
5,1246,1.0,305.0,1246.0,1246,0,1,1959,1994,6,7500,0,340.0,20,75.0,154000
5,1385,2.0,720.0,910.0,910,475,2,1952,1952,6,8520,0,507.0,50,71.0,166000
5,900,2.0,576.0,900.0,900,0,1,1951,2000,5,7200,0,234.0,20,60.0,134800
6,1116,2.0,440.0,1116.0,1116,0,1,1962,1962,5,10000,0,0.0,20,87.0,160000
5,1175,2.0,484.0,1175.0,1175,0,1,1960,1960,6,7635,0,588.0,20,81.0,148000
6,1395,2.0,440.0,1395.0,1395,0,1,1963,1984,7,9760,1,717.0,20,80.0,192000
6,1839,2.0,442.0,756.0,1051,788,1,1966,1966,7,7700,1,0.0,60,70.0,155000
4,1844,1.0,240.0,709.0,1157,687,1,1900,1954,9,4800,2,48.0,50,60.0,80400
4,1140,0.0,0.0,576.0,792,348,1,1910,2004,7,8800,0,0.0,50,55.0,96500
5,936,0.0,0.0,936.0,936,0,1,1920,1950,5,4485,1,579.0,30,56.0,109500
5,1028,2.0,360.0,1008.0,1028,0,1,1927,1950,5,8960,1,0.0,30,56.0,115000
5,1347,2.0,551.0,1347.0,1347,0,1,1957,1957,6,5805,0,274.0,20,69.0,143000
3,1605,1.0,379.0,840.0,840,765,2,1915,1950,8,5790,0,0.0,50,60.0,107400
4,747,1.0,220.0,747.0,747,0,1,1945,1950,4,4608,0,0.0,30,47.0,80000
5,804,1.0,240.0,788.0,804,0,1,1940,1992,4,7200,2,510.0,30,60.0,119000
5,1316,2.0,484.0,926.0,926,0,1,1929,2001,6,5500,0,234.0,50,50.0,130000
6,1251,1.0,240.0,827.0,827,424,1,1938,2000,6,6900,0,0.0,45,50.0,119000
5,1633,1.0,240.0,1027.0,1027,606,1,1948,2009,7,11851,1,780.0,50,69.0,129000
5,1245,1.0,315.0,1008.0,1060,185,1,1920,1962,6,8239,0,176.0,50,69.22459016393442,100000
2,832,2.0,780.0,678.0,832,0,1,1923,1970,5,9656,1,0.0,30,68.0,12789
6,720,2.0,484.0,624.0,720,0,1,1928,2003,5,8520,0,0.0,30,60.0,105900
8,1566,1.0,288.0,930.0,930,636,2,1900,2003,7,9600,0,0.0,70,60.0,150000
5,1652,1.0,416.0,686.0,966,686,2,1915,1950,7,10800,0,686.0,50,60.0,139000
8,2268,2.0,624.0,346.0,1157,1111,3,1890,2002,7,9000,0,0.0,70,50.0,240000
5,2256,0.0,0.0,840.0,1128,1128,2,1910,1950,12,9045,0,0.0,190,100.0,76500
6,1236,2.0,923.0,912.0,1236,0,1,1957,1996,6,7407,0,600.0,20,90.0,149700
4,1363,2.0,528.0,622.0,741,622,1,1910,1950,6,7740,0,0.0,70,60.0,125500
4,2290,2.0,560.0,777.0,1246,1044,2,1885,1950,11,11340,0,0.0,190,60.0,122500
6,1470,2.0,624.0,738.0,868,602,1,1922,1994,6,10560,0,283.0,70,60.0,140750
5,1612,1.0,363.0,988.0,1030,582,1,1950,1997,7,5830,0,788.0,50,53.0,128500
7,2068,1.0,315.0,1108.0,1160,908,1,1922,2005,8,7793,1,474.0,75,69.22459016393442,209500
4,765,1.0,200.0,765.0,765,0,1,1925,1950,4,5000,0,188.0,30,50.0,87000
6,1132,1.0,240.0,608.0,608,524,1,1939,1950,5,6000,0,452.0,50,50.0,134000
6,1196,2.0,576.0,572.0,848,348,1,1940,1950,6,6000,2,264.0,50,50.0,128000
5,1453,1.0,240.0,835.0,955,498,1,1942,1950,7,6360,2,360.0,50,53.0,132000
6,1416,1.0,312.0,780.0,780,636,1,1948,1950,6,6000,0,300.0,50,50.0,139900
5,1040,2.0,624.0,528.0,548,492,1,1936,1980,5,6240,0,276.0,50,52.0,123900
5,1536,2.0,480.0,928.0,928,608,2,1930,1950,7,6240,1,448.0,50,52.0,138400
6,1068,1.0,288.0,1124.0,1068,0,1,1923,1950,5,6120,1,960.0,30,51.0,109500
7,1710,2.0,480.0,576.0,902,808,2,1921,1950,9,10300,0,0.0,70,50.0,140000
4,1962,2.0,572.0,888.0,888,1074,1,1915,1950,9,8094,1,0.0,50,57.0,149500
6,1560,0.0,0.0,780.0,780,780,1,1912,2009,7,12900,0,0.0,70,60.0,159900
6,1324,1.0,180.0,662.0,662,662,1,1920,1993,6,3068,0,0.0,70,52.0,122000
5,816,2.0,516.0,816.0,816,0,1,1963,1963,5,8472,0,104.0,90,110.0,110000
4,1092,0.0,0.0,0.0,372,720,2,1930,1950,7,5600,0,0.0,190,70.0,55000
5,1812,2.0,672.0,360.0,1032,780,2,1900,1996,8,7630,1,0.0,190,76.0,140000
7,2403,1.0,349.0,1032.0,1207,1196,2,1940,1950,10,24090,2,0.0,70,69.22459016393442,244400
5,1675,1.0,365.0,1422.0,1675,0,2,1959,1959,8,15263,2,766.0,20,100.0,173000
5,1224,1.0,180.0,689.0,725,499,1,1917,1950,6,10632,0,0.0,50,72.0,107500
5,1392,0.0,0.0,1212.0,1212,180,1,1915,1950,6,9900,0,1026.0,190,60.0,100000
6,919,1.0,231.0,600.0,600,319,1,1940,1950,5,6001,0,368.0,50,65.0,95000
4,1884,0.0,0.0,707.0,942,942,1,1907,1950,7,6449,0,73.0,70,69.22459016393442,93369
5,1680,2.0,450.0,856.0,936,744,2,1910,1950,7,6048,1,736.0,190,60.0,114900
5,1020,0.0,0.0,780.0,780,240,1,1875,1996,6,6342,0,0.0,50,54.0,94000
4,1832,0.0,0.0,1832.0,1832,0,2,1967,1967,8,10773,0,704.0,90,72.0,136000
4,1768,0.0,0.0,1768.0,1768,0,2,1968,1968,8,10778,0,0.0,90,72.0,136500
5,1039,2.0,504.0,1039.0,1039,0,1,1965,1965,6,11625,0,841.0,190,75.0,131500
5,1392,2.0,528.0,1392.0,1392,0,1,1957,1996,5,11341,1,1302.0,20,69.22459016393442,121500
5,912,1.0,336.0,912.0,912,0,1,1967,1967,5,8521,1,842.0,20,70.0,125000
5,1060,1.0,270.0,1060.0,1060,0,1,1968,2001,6,8246,1,188.0,20,69.22459016393442,154000
5,892,1.0,416.0,864.0,892,0,1,1966,2008,5,7800,0,240.0,20,65.0,137900
6,1352,1.0,299.0,663.0,663,689,1,1969,1969,7,9364,0,371.0,60,80.0,158000
5,864,1.0,280.0,864.0,864,0,1,1968,1968,4,7832,0,775.0,20,65.0,137250
5,1373,2.0,591.0,1319.0,1373,0,1,1978,1978,5,7424,2,1319.0,90,69.22459016393442,160250
5,1440,2.0,480.0,720.0,720,720,1,1968,1968,7,11227,2,267.0,60,86.0,163000
6,1386,2.0,440.0,672.0,672,714,2,1978,1978,6,11616,1,438.0,60,69.22459016393442,158900
7,2260,2.0,533.0,1306.0,1306,954,2,1996,1997,7,14000,0,1201.0,60,80.0,328000
7,1483,2.0,690.0,1420.0,1483,0,1,1977,2001,4,20062,2,1092.0,20,69.22459016393442,270000
4,756,2.0,440.0,660.0,756,0,1,1927,1950,4,9259,0,0.0,30,94.0,85000
4,1067,2.0,436.0,1067.0,1067,0,2,1950,1995,4,9600,0,442.0,20,60.0,128000
7,1524,2.0,586.0,1332.0,1332,192,0,1979,1979,4,23595,1,1258.0,40,69.22459016393442,260000
6,1981,2.0,522.0,1117.0,1117,864,2,1978,1992,8,17082,1,964.0,60,69.22459016393442,230000
3,1610,1.0,480.0,972.0,1052,558,2,1938,1990,8,18600,1,288.0,50,124.0,124000
5,835,1.0,366.0,458.0,835,0,1,1920,1950,5,10625,0,108.0,30,85.0,83000
6,1074,1.0,467.0,663.0,1074,0,1,1950,1987,6,11479,1,104.0,20,65.0,144500
5,1144,1.0,596.0,1144.0,1144,0,1,1956,1956,6,9571,0,739.0,20,68.0,129000
4,1531,1.0,209.0,756.0,1169,0,1,1947,1979,8,9350,1,192.0,50,50.0,127000
5,1172,1.0,366.0,1172.0,1172,0,1,1954,1998,5,9525,0,954.0,20,75.0,128000
6,1212,2.0,460.0,1212.0,1212,0,2,2009,2009,6,10420,0,36.0,20,83.0,186000
7,1508,2.0,572.0,1508.0,1508,0,1,2009,2010,5,17485,2,1346.0,20,44.0,308030
5,1298,2.0,504.0,1250.0,1298,0,2,1964,1964,5,11200,0,0.0,20,69.22459016393442,114000
4,930,1.0,308.0,0.0,930,0,1,1946,2006,6,11100,0,0.0,20,60.0,84900
6,1732,2.0,476.0,741.0,977,755,2,1985,1985,7,9206,1,0.0,60,77.0,178000
7,1433,2.0,528.0,1433.0,1433,0,1,1987,1987,4,11980,2,1433.0,20,83.0,270000
6,1802,4.0,1017.0,946.0,964,838,2,1993,1993,8,12361,1,860.0,60,87.0,218000
7,1949,2.0,574.0,1050.0,1062,887,2,1993,1994,8,9938,1,750.0,60,80.0,236000
6,996,2.0,564.0,936.0,996,0,1,1992,1992,5,9069,0,747.0,85,73.0,147000
8,1694,3.0,776.0,1694.0,1694,0,2,2008,2008,7,10475,0,0.0,20,64.0,245350
7,1208,2.0,632.0,1187.0,1208,0,2,2006,2006,6,6762,0,686.0,20,64.0,206000
7,1226,3.0,740.0,1226.0,1226,0,2,2009,2009,6,10402,0,0.0,20,94.0,198900
7,1222,2.0,615.0,1222.0,1222,0,2,2010,2010,6,7360,0,24.0,20,64.0,187000
7,3222,3.0,594.0,1673.0,1699,1523,3,1990,1990,11,12376,2,1470.0,60,90.0,320000
6,1445,2.0,484.0,676.0,831,614,2,1900,1993,6,14235,0,0.0,50,82.0,138500
6,1052,2.0,440.0,1010.0,1052,0,1,1971,1971,6,8816,0,504.0,80,80.0,155000
5,965,2.0,580.0,870.0,965,0,1,1996,1996,4,11105,0,870.0,85,82.0,159000
7,1692,2.0,513.0,878.0,892,800,2,1997,1998,8,9337,1,353.0,60,69.22459016393442,191000
6,1682,2.0,523.0,804.0,804,878,2,1998,1998,7,8750,0,505.0,60,70.0,200500
5,1026,1.0,308.0,1026.0,1026,0,1,1977,2004,5,15240,0,198.0,20,38.0,150000
6,1392,1.0,299.0,689.0,689,703,1,1977,1977,6,10900,0,378.0,60,69.22459016393442,161750
5,894,1.0,308.0,894.0,894,0,1,1976,1976,5,10650,0,182.0,20,75.0,128200
5,876,2.0,484.0,876.0,876,0,1,1972,1972,5,7480,0,480.0,20,68.0,127000
8,1978,3.0,850.0,1978.0,1978,0,2,2003,2003,8,10389,1,1682.0,20,80.0,318000
8,1601,2.0,670.0,1581.0,1601,0,2,2001,2002,6,11423,1,1358.0,20,69.22459016393442,272000
7,1829,2.0,613.0,941.0,941,888,2,2003,2003,7,9548,1,483.0,60,44.0,237000
7,2098,2.0,621.0,1040.0,1044,1054,2,1997,1997,9,9375,1,0.0,60,75.0,240000
7,1661,2.0,598.0,1649.0,1661,0,2,1998,1998,6,12137,0,0.0,20,48.0,224900
6,848,2.0,420.0,848.0,848,0,1,2003,2003,4,4435,0,672.0,120,69.22459016393442,143750
6,848,2.0,420.0,848.0,848,0,1,2004,2004,3,4426,0,662.0,120,69.22459016393442,143000
