DATE,STOCKHOLM_cloud_cover,STOCKHOLM_pressure,STOCKHOLM_precipitation,STOCKHOLM_sunshine,STOCKHOLM_temp_mean,STOCKHOLM_temp_min,STOCKHOLM_temp_max,STOCKHOLM_picnic_weather
20000714,6,0.9973,0.02,4.1,14.2,11.5,17.4,False
20000715,8,1.0026,0.82,0.0,14.2,13.2,16.5,False
20000716,8,1.0028,0.01,0.0,13.9,11.7,15.6,False
20000717,5,1.0089,0.0,5.3,17.8,14.5,22.5,True
20000718,7,1.0038,0.04,2.0,16.4,13.0,19.9,False
20000719,7,0.9995,0.05,1.6,16.8,15.0,19.5,False
20000720,8,1.0076,0.26,0.0,15.5,14.6,18.0,False
20000721,7,1.0186,0.0,2.3,16.9,13.8,20.5,True
20000722,6,1.0175,0.3,8.6,18.5,13.3,23.2,False
20000723,8,1.0117,0.67,0.0,15.3,10.9,22.1,False
20000724,7,1.0111,0.0,3.7,16.0,14.1,18.7,True
20000725,8,1.0053,1.93,0.0,15.0,13.7,17.4,False
20000726,8,1.0064,1.97,0.0,13.5,13.0,14.6,False
20000727,7,1.0119,0.13,2.2,14.5,12.8,16.3,False
20000728,2,1.0114,0.02,11.5,15.8,9.5,22.5,False
20000729,6,1.0109,0.0,3.7,15.2,13.0,18.8,True
20000730,4,1.0109,0.0,7.7,17.6,13.8,22.9,True
20000731,3,1.0121,0.0,-1.7,19.2,15.0,23.5,True
20000801,3,1.0138,0.0,5.1,19.1,15.0,24.0,True
20000802,7,1.0115,0.53,5.1,17.4,15.4,21.6,False
20000803,7,1.011,0.0,5.1,15.9,15.0,17.2,False
20000804,2,1.0142,0.0,5.1,17.4,13.2,22.0,True
20000805,4,1.0149,0.0,5.1,17.8,14.5,21.0,True
20000806,6,1.0094,0.0,5.1,17.3,14.6,20.5,True
20000807,3,1.0046,0.0,5.1,16.1,12.0,20.7,True
20000808,5,1.005,0.02,5.1,14.7,12.0,18.0,False
20000809,3,1.0103,0.0,5.1,16.1,11.8,20.6,True
20000810,4,1.0114,0.0,5.1,17.2,13.2,22.0,True
20000811,5,1.0089,0.0,5.1,17.4,13.1,22.0,True
20000812,6,1.0088,0.04,5.1,18.1,16.2,21.0,False
20000813,5,1.0186,0.0,5.1,15.9,13.5,18.3,True
20000814,3,1.0203,0.1,5.1,17.9,12.8,23.0,False
20000815,8,1.011,0.05,5.1,18.1,15.5,21.3,False
20000816,5,1.0075,0.0,5.1,17.7,15.5,20.0,True
20000817,4,1.0077,0.03,5.1,17.0,14.2,21.0,False
20000818,4,1.0083,0.02,5.1,17.5,14.3,22.0,False
20000819,3,1.0123,0.0,5.1,17.1,12.2,22.7,True
20000820,7,1.0091,0.18,5.1,15.7,14.2,18.2,False
20000821,5,1.0073,0.0,5.1,15.9,12.0,18.6,True
20000822,6,1.0109,0.0,5.1,15.0,11.6,19.8,True
20000823,4,1.0147,0.03,5.1,14.1,10.5,18.7,False
20000824,7,1.0077,0.15,5.1,13.3,12.5,15.7,False
20000825,4,1.0162,0.0,5.1,13.5,9.6,16.6,False
20000826,1,1.0236,0.0,5.1,16.0,10.8,22.3,True
20000827,1,1.0255,0.0,5.1,16.6,12.0,21.8,True
20000828,3,1.0242,0.0,5.1,17.0,13.1,21.9,True
20000829,5,1.019,0.81,5.1,17.1,13.7,21.3,False
20000830,7,1.0145,0.0,5.1,16.3,14.3,19.5,True
20000831,5,1.0096,0.52,-1.7,14.1,13.2,17.4,False
20000901,6,1.0076,0.0,6.8,13.7,9.5,17.7,False
20000902,4,1.0041,0.63,8.5,15.2,11.6,20.0,False
20000903,7,1.006,0.84,0.2,11.3,10.2,15.4,False
20000904,3,1.012,0.0,7.7,10.6,8.2,13.6,False
20000905,4,1.017,0.0,8.6,11.0,7.2,14.8,False
20000906,7,1.0135,0.0,3.4,11.9,7.8,15.6,False
20000907,5,1.0137,0.17,6.4,13.8,11.2,16.4,False
20000908,7,1.0078,0.05,0.2,14.5,12.8,17.0,False
20000909,3,1.0103,0.0,10.0,14.7,11.0,18.4,True
20000910,2,1.0106,0.0,10.7,14.2,10.9,17.7,False
20000911,3,1.0131,0.0,8.2,12.3,9.8,15.5,False
20000912,2,1.0163,0.0,12.0,11.3,7.5,15.5,False
20000913,2,1.0168,0.0,11.4,10.7,6.3,15.1,False
20000914,3,1.0212,0.04,9.0,9.1,6.2,13.6,False
20000915,3,1.0237,0.0,9.5,10.2,5.0,15.4,False
20000916,4,1.0202,0.0,7.6,11.3,7.9,14.9,False
20000917,3,1.0196,0.0,9.3,12.2,8.2,16.1,False
20000918,4,1.0207,0.0,10.7,11.7,8.5,16.0,False
20000919,4,1.0236,0.0,5.9,11.0,7.8,15.1,False
20000920,1,1.0256,0.0,11.3,10.4,5.6,15.4,False
20000921,4,1.0292,0.0,4.6,9.8,5.0,14.7,False
20000922,1,1.0335,0.0,11.3,10.9,6.3,15.3,False
20000923,1,1.0352,0.0,11.1,11.4,7.5,16.4,False
20000924,1,1.0329,0.0,11.1,11.4,7.3,16.8,False
20000925,1,1.0288,0.0,11.5,11.6,7.3,16.3,False
20000926,5,1.0276,0.0,1.7,11.1,8.2,14.2,False
20000927,4,1.0227,0.1,7.1,11.9,8.0,16.0,False
20000928,8,1.0147,0.0,0.2,13.0,10.7,15.3,False
20000929,5,1.0147,0.0,2.3,15.5,13.6,18.6,True
20000930,1,1.0205,0.0,10.4,14.5,12.5,18.4,True
20001001,4,1.016,1.1,6.7,12.8,10.9,15.4,False
20001002,7,1.0087,0.14,2.6,14.2,12.8,16.8,False
20001003,6,1.0136,0.02,0.1,14.2,13.0,15.2,False
20001004,5,1.021,0.0,0.6,12.8,11.0,15.6,False
20001005,8,1.019,0.28,1.2,12.7,9.7,15.5,False
20001006,7,1.0194,1.52,0.0,14.1,13.4,15.5,False
20001007,6,1.0252,0.0,9.1,13.1,11.4,16.1,False
20001008,5,1.0201,0.05,2.6,13.3,11.6,15.2,False
20001009,6,1.0156,0.0,2.9,12.8,12.2,14.0,False
20001010,7,1.0093,0.11,0.5,9.9,9.3,12.2,False
20001011,8,1.0049,0.53,0.0,9.6,8.1,10.5,False
20001012,8,1.0049,0.94,0.0,11.0,9.9,11.9,False
20001013,8,1.0138,0.32,1.1,10.9,9.6,12.6,False
20001014,6,1.0149,0.03,0.8,10.2,9.7,11.2,False
20001015,8,1.0224,0.0,0.0,9.0,7.5,10.0,False
20001016,7,1.023,0.0,4.1,11.0,9.0,12.6,False
20001017,8,1.021,0.0,0.0,12.4,11.0,13.6,False
20001018,8,1.0247,0.0,0.0,12.0,11.9,12.4,False
20001019,6,1.0266,0.0,1.1,11.3,9.9,12.7,False
20001020,8,1.0285,0.0,0.0,11.9,10.5,13.4,False
20001021,7,1.0288,0.14,0.1,11.3,10.7,11.8,False
20001022,7,1.0203,0.2,0.9,11.2,10.3,13.1,False
20001023,8,1.0203,0.21,0.0,8.6,4.9,11.6,False
20001024,6,0.9983,0.13,0.9,11.4,10.6,12.8,False
20001025,5,0.9938,0.3,2.8,10.3,9.3,12.0,False
20001026,8,0.9948,1.32,0.0,7.2,5.6,9.9,False
20001027,6,1.0081,0.0,1.5,3.0,1.8,6.0,False
20001028,8,1.0138,0.59,0.0,2.4,0.4,4.0,False
20001029,6,1.0039,0.49,-1.7,7.9,3.0,10.5,False
20001030,7,0.9936,1.12,0.0,8.1,6.1,10.0,False
20001031,6,0.9899,0.0,2.9,8.9,7.5,10.5,False
20001101,7,0.998,0.59,3.7,9.6,8.5,10.5,False
20001102,7,1.0,0.21,0.3,7.7,6.0,9.7,False
20001103,8,1.0061,0.0,0.0,8.7,5.5,10.5,False
20001104,8,1.0039,0.73,0.0,9.3,8.5,10.3,False
20001105,8,1.0083,0.0,0.0,5.9,5.1,8.6,False
20001106,3,1.0098,0.0,1.8,5.9,4.5,7.9,False
20001107,7,1.0043,0.68,0.0,8.5,6.0,9.3,False
20001108,8,0.9958,0.92,0.0,8.8,8.4,9.3,False
20001109,6,1.0052,0.09,1.1,8.7,7.4,9.6,False
20001110,7,1.0099,0.59,0.2,8.3,6.8,9.1,False
20001111,7,1.0109,0.05,0.0,7.8,7.3,8.8,False
20001112,7,1.0102,0.03,0.0,7.2,5.4,8.5,False
20001113,6,0.9998,0.84,0.0,8.0,7.4,8.6,False
20001114,7,1.0051,0.0,0.0,7.0,5.6,8.1,False
20001115,8,1.0114,0.0,0.0,5.6,4.0,6.8,False
20001116,6,1.0134,0.0,0.0,2.3,1.5,6.2,False
20001117,7,1.018,0.29,0.9,4.7,0.4,6.8,False
20001118,8,1.004,0.15,0.0,6.3,5.5,7.6,False
20001119,7,1.0044,0.08,0.0,6.0,2.8,7.7,False
20001120,8,1.0132,0.21,0.0,7.5,7.1,8.0,False
20001121,8,1.0174,0.79,0.0,6.3,5.7,7.6,False
20001122,7,1.0129,0.98,0.0,7.2,5.5,8.2,False
20001123,5,1.0135,0.35,0.0,7.3,6.2,8.3,False
20001124,8,1.0124,0.12,0.0,7.3,5.8,7.8,False
20001125,8,1.0107,0.54,0.0,7.5,6.6,8.0,False
20001126,8,1.008,0.47,0.0,6.2,5.6,8.0,False
20001127,8,1.0111,0.71,0.0,5.2,4.8,6.0,False
20001128,8,1.0125,0.41,0.0,5.5,4.7,6.0,False
20001129,8,1.0107,0.06,0.0,6.4,4.2,6.8,False
20001130,7,1.0061,0.2,0.0,8.2,6.5,9.1,False
20001201,3,1.013,0.0,0.0,5.9,4.9,8.9,False
20001202,6,1.0095,0.0,0.0,7.9,4.2,9.3,False
20001203,4,1.0134,0.25,1.9,6.2,5.5,9.3,False
20001204,6,1.0111,0.05,0.0,7.2,5.5,8.5,False
20001205,8,1.0145,0.0,0.0,6.4,4.0,7.7,False
20001206,8,1.0154,0.05,0.0,8.0,7.5,8.7,False
20001207,8,1.0096,0.05,0.0,6.7,6.2,7.8,False
20001208,6,1.0069,0.72,1.1,7.1,6.8,7.5,False
20001209,8,1.0054,0.02,0.7,7.0,6.3,7.9,False
20001210,6,1.0061,0.0,0.0,6.4,5.8,7.4,False
20001211,8,1.004,0.75,0.0,6.9,5.6,7.6,False
20001212,6,1.0063,0.08,0.1,5.5,5.0,7.3,False
20001213,8,0.9923,0.69,0.0,8.2,5.0,9.5,False
20001214,4,0.9877,0.08,2.7,5.2,4.2,8.6,False
20001215,8,0.9863,0.4,0.0,5.9,4.9,6.6,False
20001216,5,0.9966,0.04,1.9,4.5,3.4,6.0,False
20001217,7,1.0073,0.02,0.0,2.0,1.5,3.5,False
20001218,5,1.0186,0.0,2.4,-0.6,-1.8,1.8,False
20001219,4,1.0284,0.0,2.0,-0.3,-0.9,0.6,False
20001220,8,1.0334,0.0,0.0,-2.1,-2.8,0.0,False
20001221,5,1.0324,0.0,0.0,-1.9,-2.6,-0.5,False
20001222,8,1.0164,0.0,0.0,0.9,-2.6,1.6,False
20001223,1,1.0039,0.0,3.1,-1.5,-2.9,1.1,False
20001224,6,1.0023,0.0,2.0,-1.8,-4.0,-1.0,False
20001225,1,1.0028,0.0,4.7,-5.0,-6.4,-1.6,False
20001226,6,1.0018,0.5,2.8,-4.8,-6.6,-3.0,False
20001227,6,1.0029,0.1,0.3,-0.3,-3.0,0.6,False
20001228,8,0.9997,0.43,0.0,0.7,-0.2,1.0,False
20001229,8,0.9883,0.29,0.0,0.3,-0.5,1.0,False
20001230,8,0.9996,0.03,0.0,1.2,-0.6,1.9,False
20001231,8,1.0047,0.93,0.0,-0.8,-1.7,2.0,False
20010101,7,1.0085,0.0,0.0,-1.3,-2.5,-0.6,False
20010102,7,1.0008,0.53,0.0,1.6,-0.8,2.0,False
20010103,8,1.0025,0.26,0.0,3.5,1.6,4.9,False
20010104,8,1.0062,0.05,0.0,3.0,1.7,4.7,False
20010105,8,1.0053,0.06,0.1,3.2,1.7,4.2,False
20010106,8,0.9952,0.76,0.0,3.5,3.3,4.2,False
20010107,8,0.9995,0.07,0.0,3.4,1.3,4.6,False
20010108,6,1.0022,0.16,1.6,4.3,3.4,5.0,False
20010109,8,1.0021,0.0,0.0,2.2,1.0,5.0,False
20010110,6,1.0064,0.01,0.0,-3.2,-4.3,1.1,False
20010111,3,1.0083,0.0,3.0,-1.5,-4.5,0.0,False
20010112,3,1.0249,0.0,2.0,-3.0,-3.8,-1.9,False
20010113,4,1.0293,0.0,1.6,0.3,-3.8,1.5,False
20010114,3,1.0324,0.0,4.0,-0.5,-1.4,1.6,False
20010115,1,1.0304,0.0,5.9,-3.8,-5.1,-1.3,False
20010116,3,1.0297,0.0,6.0,-5.0,-5.7,-3.7,False
20010117,8,1.03,0.02,0.0,-4.4,-6.7,-3.1,False
20010118,8,1.0314,0.04,0.0,-1.6,-4.5,-0.1,False
20010119,8,1.0302,0.0,0.0,0.4,-0.1,0.9,False
20010120,5,1.0319,0.0,5.6,-1.7,-3.2,0.9,False
20010121,8,1.0346,0.27,0.0,-1.1,-3.5,0.4,False
20010122,8,1.0303,0.04,0.0,-1.1,-2.3,0.6,False
20010123,8,1.0156,0.26,0.0,-0.7,-1.8,0.3,False
20010124,8,1.0036,0.62,0.0,1.6,0.3,2.6,False
20010125,3,1.003,0.0,3.3,3.2,1.8,4.5,False
20010126,8,1.0039,0.11,0.0,2.8,0.0,3.6,False
20010127,8,0.9998,0.0,0.0,1.8,1.2,3.2,False
20010128,8,1.0031,0.0,0.0,0.5,0.0,1.4,False
20010129,8,1.0094,0.0,0.0,0.0,-1.0,1.0,False
20010130,2,1.0187,0.0,5.9,-3.0,-5.0,-0.5,False
20010131,6,1.0235,0.02,0.2,-1.5,-3.5,-0.5,False
20010201,8,1.0274,0.07,3.2,-6.2,-8.9,-1.1,False
20010202,7,1.0264,0.02,0.5,-9.4,-12.5,-6.2,False
20010203,2,1.0212,0.01,6.8,-14.2,-16.2,-11.4,False
20010204,5,1.0184,0.0,6.1,-14.8,-17.0,-13.0,False
20010205,5,1.0101,0.15,0.5,-14.4,-19.7,-9.4,False
20010206,8,1.0004,0.39,0.0,-3.9,-10.4,-2.8,False
20010207,8,0.9973,0.0,0.3,3.3,-2.8,5.5,False
20010208,7,0.9945,0.86,0.0,4.2,3.2,5.6,False
20010209,2,1.0101,0.0,5.8,-0.5,-1.6,5.5,False
20010210,0,1.0315,0.0,8.2,-3.2,-5.5,-1.0,False
20010211,8,1.0243,0.32,0.0,0.1,-3.8,2.0,False
20010212,8,1.0058,0.0,0.0,4.7,1.2,5.8,False
20010213,5,1.0216,0.0,5.4,3.3,2.3,5.0,False
20010214,5,1.0195,0.0,1.5,3.5,0.8,6.7,False
