DATE,LJUBLJANA_cloud_cover,LJUBLJANA_wind_speed,LJUBLJANA_humidity,LJUBLJANA_pressure,LJUBLJANA_global_radiation,LJUBLJANA_precipitation,LJUBLJANA_sunshine,LJUBLJANA_temp_mean,LJUBLJANA_temp_min,LJUBLJANA_temp_max,LJUBLJANA_picnic_weather
20000406,7,1.9,0.69,1.0149,1.56,0.21,3.4,10.1,7.5,17.2,False
20000407,1,0.9,0.52,1.0246,2.62,0.0,11.9,7.8,0.0,13.7,False
20000408,4,1.2,0.56,1.0223,2.25,0.0,11.5,9.4,1.5,16.0,False
20000409,5,2.1,0.57,1.0159,1.99,0.0,7.1,10.4,5.5,16.1,False
20000410,7,1.2,0.65,1.0108,1.3,0.08,0.5,9.8,6.4,13.2,False
20000411,7,1.2,0.81,1.0035,1.03,0.43,0.4,10.2,7.2,13.3,False
20000412,6,2.4,0.76,1.0002,1.06,0.45,2.8,11.6,8.7,14.4,False
20000413,7,1.7,0.68,1.0063,1.1,0.09,3.6,13.0,9.5,17.0,False
20000414,6,3.0,0.65,1.0093,1.28,0.0,4.5,13.6,11.3,17.7,False
20000415,6,1.3,0.8,1.0052,1.25,0.23,6.3,13.2,9.0,17.7,False
20000416,4,1.9,0.64,1.0093,2.29,0.02,9.7,13.5,9.0,19.6,False
20000417,4,1.0,0.61,1.0069,2.4,0.16,11.6,16.3,6.7,24.2,False
20000418,6,0.9,0.66,1.0059,1.52,0.38,4.9,16.5,10.0,22.3,False
20000419,6,0.7,0.65,1.0068,1.96,0.01,7.8,17.0,10.0,24.0,False
20000420,1,1.7,0.58,1.0118,2.64,0.0,11.3,18.4,10.5,25.4,True
20000421,2,0.9,0.55,1.0159,2.7,0.0,12.2,19.0,10.1,26.7,True
20000422,2,1.6,0.54,1.0159,2.67,0.0,12.8,19.4,10.5,27.5,True
20000423,1,2.0,0.52,1.0127,2.8,0.0,12.6,19.6,10.0,27.8,True
20000424,6,2.4,0.78,1.0095,1.51,1.23,4.2,12.2,10.3,20.1,False
20000425,3,1.3,0.62,1.0132,2.3,0.0,8.9,15.8,9.4,22.5,True
20000426,1,1.8,0.61,1.0151,2.75,0.0,12.8,17.1,9.3,24.7,True
20000427,6,0.6,0.68,1.015,1.93,0.0,7.0,17.7,8.7,23.7,True
20000428,7,1.2,0.78,1.014,1.44,0.01,0.0,17.6,13.8,22.0,False
20000429,8,0.9,0.81,1.0174,1.14,1.4,0.5,15.1,13.0,21.2,False
20000430,6,0.7,0.81,1.0194,1.94,0.06,5.1,16.0,11.0,23.0,False
20000501,6,0.7,0.86,1.0153,1.76,1.23,6.8,15.9,12.5,22.5,False
20000502,6,1.4,0.82,1.0163,2.1,0.32,8.2,15.9,12.3,22.5,False
20000503,2,1.3,0.55,1.0194,3.0,0.0,12.6,15.7,11.5,21.6,True
20000504,3,1.2,0.68,1.0193,2.59,0.02,8.6,16.5,7.9,23.8,False
20000505,6,0.9,0.74,1.0185,1.2,0.0,1.8,15.0,11.4,19.0,True
20000506,4,0.8,0.67,1.0182,2.48,0.0,9.9,17.1,9.3,23.5,True
20000507,6,1.6,0.7,1.0202,2.49,0.31,8.9,18.1,11.7,23.8,False
20000508,6,1.2,0.81,1.0215,0.74,0.36,0.0,15.7,14.3,17.9,False
20000509,3,2.2,0.65,1.0211,2.69,0.0,9.9,19.0,14.1,24.1,True
20000510,1,2.3,0.64,1.0189,3.06,0.0,13.4,19.6,11.5,25.7,True
20000511,2,3.2,0.65,1.0168,3.07,0.0,13.1,20.1,15.0,26.7,True
20000512,2,2.3,0.67,1.0168,2.93,0.0,11.6,20.2,14.2,25.9,True
20000513,6,1.9,0.54,1.0224,1.98,0.0,5.7,17.1,15.9,20.3,True
20000514,0,1.4,0.54,1.0234,3.28,0.0,13.9,17.1,8.5,23.8,True
20000515,0,1.4,0.53,1.0232,3.22,0.0,13.8,18.6,8.8,25.7,True
20000516,3,0.9,0.55,1.0188,3.04,0.0,12.3,20.8,10.3,27.7,True
20000517,2,2.4,0.49,1.0146,3.19,0.0,13.3,21.4,12.3,28.5,True
20000518,4,2.2,0.55,1.0096,2.5,0.02,9.9,19.5,12.0,26.1,False
20000519,6,1.2,0.86,1.0116,0.86,1.78,2.8,12.1,10.5,18.8,False
20000520,8,1.0,0.88,1.013,0.46,0.38,0.2,9.0,7.7,12.5,False
20000521,5,1.0,0.61,1.0134,2.94,0.55,8.9,13.8,5.5,20.3,False
20000522,5,1.3,0.82,1.0147,1.64,2.17,5.7,12.0,9.7,16.1,False
20000523,3,1.6,0.58,1.0204,3.07,0.0,12.0,16.0,9.4,22.0,True
20000524,2,0.7,0.58,1.0181,3.25,0.0,13.9,18.1,8.3,25.2,True
20000525,2,1.4,0.57,1.0168,3.17,0.0,13.6,20.2,11.3,27.5,True
20000526,2,1.0,0.61,1.0178,2.72,0.0,11.6,20.3,12.7,27.1,True
20000527,4,2.0,0.55,1.0146,2.93,0.0,12.3,20.9,12.2,26.9,True
20000528,6,1.5,0.64,1.0127,2.11,0.0,6.3,19.8,14.3,25.3,True
20000529,7,2.0,0.9,1.0146,0.7,2.14,1.3,12.7,10.7,19.0,False
20000530,6,1.4,0.59,1.0196,2.89,0.0,9.8,14.1,9.2,18.8,True
20000531,5,1.0,0.78,1.0164,1.58,1.73,4.1,15.1,9.2,21.6,False
20000601,2,1.1,0.6,1.0256,2.93,0.0,12.5,16.3,10.9,21.2,True
20000602,2,1.1,0.55,1.0242,3.36,0.0,14.5,19.2,9.9,25.2,True
20000603,2,0.9,0.56,1.0207,3.32,0.0,13.6,22.5,14.9,28.6,True
20000604,3,1.6,0.57,1.0185,3.14,0.0,13.2,23.0,14.0,29.8,True
20000605,2,2.3,0.52,1.0164,3.24,0.0,13.7,23.9,15.7,29.8,True
20000606,2,2.0,0.55,1.0122,3.11,0.02,13.1,24.0,16.3,30.3,False
20000607,6,1.5,0.78,1.0204,0.7,1.34,0.0,16.2,14.9,23.7,False
20000608,4,1.2,0.64,1.0233,3.2,0.0,12.2,17.7,10.0,23.9,True
20000609,2,0.8,0.57,1.0186,3.31,0.0,14.6,22.6,12.3,29.6,True
20000610,2,1.1,0.57,1.0164,2.79,0.0,11.0,23.8,15.3,30.2,True
20000611,4,1.1,0.59,1.0164,2.83,0.0,11.5,23.9,16.2,30.0,True
20000612,6,1.9,0.6,1.0225,2.73,2.87,9.2,24.7,17.3,32.0,False
20000613,4,1.0,0.79,1.0239,1.85,0.01,6.2,21.8,16.9,28.5,False
20000614,2,2.4,0.63,1.0195,2.74,0.0,10.9,23.4,17.9,30.2,True
20000615,6,1.9,0.74,1.0178,2.16,0.19,6.0,20.4,16.2,28.5,False
20000616,3,1.5,0.61,1.0199,2.26,0.0,9.9,20.1,16.4,24.0,True
20000617,2,1.7,0.41,1.0265,3.52,0.0,14.8,17.4,12.1,21.9,True
20000618,1,1.0,0.49,1.0284,3.53,0.0,15.0,18.2,8.7,24.8,True
20000619,1,0.9,0.47,1.0238,3.42,0.0,14.7,22.2,11.4,29.5,True
20000620,1,1.6,0.51,1.0194,3.3,0.0,14.4,24.2,14.3,32.0,True
20000621,1,2.3,0.47,1.0162,3.17,0.0,11.2,25.0,15.7,31.9,True
20000622,1,2.1,0.47,1.0172,3.41,0.0,14.4,25.6,16.9,32.4,True
20000623,2,1.9,0.48,1.0152,3.43,0.67,14.7,24.7,15.9,31.1,False
20000624,5,1.0,0.71,1.0148,1.82,2.06,4.2,19.2,14.8,24.2,False
20000625,6,1.6,0.85,1.0167,1.0,0.89,3.9,12.9,10.2,19.9,False
20000626,5,1.0,0.62,1.0182,2.71,0.0,9.3,16.9,9.8,23.1,True
20000627,4,1.0,0.56,1.019,2.99,0.0,11.6,19.4,12.6,25.2,True
20000628,7,1.3,0.74,1.015,1.72,0.25,3.0,18.3,14.3,24.1,False
20000629,6,1.3,0.63,1.0159,2.41,0.33,7.9,19.3,14.6,24.2,False
20000630,6,1.3,0.7,1.0159,2.18,0.22,6.7,19.2,14.2,23.3,False
20000701,4,1.7,0.65,1.0145,2.89,0.0,11.5,22.1,14.3,28.2,True
20000702,2,2.2,0.58,1.0163,3.2,0.0,13.4,24.3,16.9,30.0,True
20000703,2,2.3,0.5,1.013,3.17,0.0,13.5,26.3,20.9,32.5,True
20000704,5,1.8,0.52,1.0089,2.4,0.0,11.0,25.6,18.1,30.3,True
20000705,3,1.1,0.54,1.0132,2.96,0.0,12.7,24.1,18.7,30.1,True
20000706,2,1.1,0.54,1.0183,3.15,0.0,12.7,24.6,17.2,30.6,True
20000707,2,1.1,0.53,1.011,3.15,0.0,14.0,25.8,17.2,33.2,True
20000708,7,1.9,0.79,1.0077,0.69,5.94,0.6,18.2,16.1,25.9,False
20000709,5,1.3,0.66,1.011,2.72,0.01,8.8,16.9,11.1,22.0,False
20000710,4,1.8,0.63,1.0054,2.46,2.27,13.5,20.1,11.6,24.9,False
20000711,6,1.1,0.82,1.0017,1.52,1.04,5.7,16.7,15.3,24.3,False
20000712,6,1.3,0.6,1.0098,2.59,0.0,7.4,18.0,12.0,22.1,True
20000713,5,1.1,0.62,1.0153,2.37,0.0,7.7,15.8,14.3,20.7,True
20000714,8,0.7,0.79,1.0091,1.56,1.9,3.7,15.2,9.6,22.0,False
20000715,5,1.0,0.79,1.0062,1.98,2.07,5.9,13.8,11.7,21.9,False
20000716,6,0.8,0.73,1.0113,1.8,0.23,3.2,14.3,11.0,21.5,False
20000717,5,1.7,0.63,1.0172,3.12,0.01,11.9,16.8,8.6,23.5,False
20000718,4,1.0,0.6,1.0171,2.71,0.0,9.7,17.7,12.6,22.0,True
20000719,6,1.2,0.71,1.0161,2.36,0.23,8.6,17.7,12.0,24.8,False
20000720,4,1.1,0.63,1.0181,2.99,0.0,11.5,18.3,11.7,24.0,True
20000721,4,1.0,0.66,1.0191,2.76,0.0,9.4,18.4,14.0,24.2,True
20000722,2,1.7,0.55,1.0168,3.05,0.0,11.5,20.4,14.2,26.5,True
20000723,4,2.6,0.57,1.0156,2.46,0.0,9.4,21.7,12.8,27.4,True
20000724,6,1.6,0.63,1.0126,1.91,0.0,6.9,21.0,19.2,25.7,True
20000725,3,1.9,0.63,1.0103,2.76,0.0,13.3,22.9,16.4,28.0,True
20000726,2,1.8,0.59,1.0102,2.91,0.0,12.9,23.1,17.1,28.6,True
20000727,2,1.2,0.62,1.0166,3.07,0.0,12.4,22.2,15.5,29.0,True
20000728,5,1.3,0.73,1.0118,1.84,1.45,6.9,18.3,14.4,27.2,False
20000729,6,0.9,0.64,1.0149,2.69,0.41,9.2,19.1,12.5,26.2,False
20000730,4,0.9,0.78,1.0202,2.33,0.02,8.5,17.7,14.5,23.7,False
20000731,4,1.3,0.65,1.0242,2.97,0.0,11.4,19.2,12.2,25.7,True
20000801,1,2.0,0.63,1.0228,3.06,0.0,13.8,21.6,12.4,28.4,True
20000802,1,2.0,0.61,1.0196,3.03,0.0,13.6,22.9,14.7,30.1,True
20000803,4,2.1,0.6,1.0185,2.16,0.0,8.1,23.2,17.4,28.8,True
20000804,6,1.1,0.8,1.019,0.91,0.32,1.0,19.1,16.5,24.0,False
20000805,8,0.3,0.94,1.0182,0.28,2.97,0.0,17.2,16.3,18.7,False
20000806,5,0.7,0.77,1.0159,1.75,0.02,4.3,18.7,15.5,24.2,False
20000807,4,0.7,0.71,1.0179,2.42,0.0,9.5,19.6,15.3,25.8,True
20000808,2,1.1,0.64,1.0199,2.62,0.0,11.1,20.1,14.0,26.1,True
20000809,5,1.4,0.69,1.021,2.65,0.0,9.9,19.9,14.0,27.3,True
20000810,2,1.0,0.64,1.0187,2.76,0.0,12.9,21.9,16.1,28.0,True
20000811,2,0.6,0.63,1.0154,2.74,0.0,12.2,23.4,15.6,30.4,True
20000812,2,0.9,0.65,1.0144,2.83,0.0,12.4,22.8,16.0,32.0,True
20000813,5,1.0,0.7,1.0175,2.37,0.03,9.3,22.8,15.9,29.0,False
20000814,2,1.0,0.61,1.0195,2.41,0.0,11.0,23.3,16.8,30.8,True
20000815,2,1.3,0.61,1.0195,2.55,0.0,12.7,23.8,16.8,30.8,True
20000816,1,0.7,0.61,1.0174,2.67,0.0,13.2,24.0,16.2,31.6,True
20000817,1,0.9,0.56,1.0162,2.62,0.0,12.9,25.1,17.1,33.5,True
20000818,1,0.9,0.61,1.0172,2.67,0.0,13.2,25.8,17.4,33.9,True
20000819,0,1.2,0.56,1.0181,2.64,0.0,13.1,26.9,18.0,35.6,True
20000820,0,1.5,0.54,1.0161,2.69,0.0,13.0,25.8,17.3,34.8,True
20000821,0,1.6,0.51,1.014,2.65,0.0,12.7,26.0,16.9,35.4,True
20000822,1,1.5,0.56,1.0151,2.48,0.0,12.6,25.5,17.3,33.2,True
20000823,1,1.2,0.57,1.0183,2.65,0.0,12.9,24.7,18.2,30.6,True
20000824,2,1.3,0.61,1.0206,2.53,0.0,11.3,22.7,17.7,29.4,True
20000825,2,1.2,0.56,1.0164,2.33,0.0,11.8,23.3,15.4,31.5,True
20000826,1,1.4,0.55,1.0189,2.66,0.0,12.6,20.0,14.4,25.8,True
20000827,3,1.1,0.57,1.018,2.39,0.0,11.2,19.1,11.4,25.2,True
20000828,7,1.2,0.84,1.0204,0.47,0.01,0.0,15.8,15.0,19.2,False
20000829,3,0.8,0.62,1.0211,2.43,0.0,10.2,18.5,12.7,26.0,True
20000830,3,0.4,0.55,1.0156,2.43,0.05,11.0,21.7,11.7,29.7,False
20000831,7,1.1,0.81,1.0097,0.98,3.88,2.4,18.9,15.5,23.3,False
20000901,5,0.6,0.67,1.0074,2.2,0.0,8.0,21.0,15.4,26.9,True
20000902,8,1.4,0.91,1.0089,1.02,2.69,4.2,17.0,13.9,22.5,False
20000903,5,1.3,0.76,1.0111,2.44,0.22,10.0,15.9,11.8,22.3,False
20000904,6,0.9,0.76,1.0165,1.54,0.38,4.3,14.2,10.4,20.7,False
20000905,6,1.5,0.64,1.0196,1.93,0.0,7.7,14.6,10.3,20.4,True
20000906,3,1.5,0.64,1.0173,2.3,0.45,10.2,15.8,9.3,22.5,False
20000907,6,1.3,0.83,1.0124,0.66,0.13,1.2,14.2,12.9,18.2,False
20000908,3,1.5,0.71,1.0237,2.23,0.0,10.5,14.7,9.4,21.8,True
20000909,1,1.1,0.69,1.0278,2.41,0.0,11.1,15.3,8.6,22.3,True
20000910,4,1.0,0.69,1.0236,2.31,0.0,9.7,15.6,7.6,23.8,True
20000911,2,0.8,0.69,1.0183,2.26,0.0,11.5,16.6,8.0,25.0,True
20000912,0,0.7,0.71,1.0171,2.16,0.0,11.0,17.8,10.1,26.3,True
20000913,4,1.6,0.62,1.0148,1.92,0.0,8.8,19.6,11.1,27.5,True
20000914,2,1.1,0.62,1.0167,1.88,0.0,9.3,20.6,14.5,27.4,True
20000915,2,0.9,0.73,1.0168,1.81,0.0,9.5,19.8,13.6,26.3,True
20000916,6,2.6,0.78,1.0118,1.42,2.86,3.9,18.6,15.5,25.4,False
20000917,5,0.7,0.79,1.011,1.58,0.02,6.7,16.8,12.8,21.5,False
20000918,8,0.7,0.86,1.011,0.66,0.39,0.1,16.6,14.1,19.1,False
20000919,6,0.7,0.93,1.0111,0.65,0.78,1.5,16.2,15.2,19.5,False
20000920,6,1.3,0.78,1.0095,1.67,0.49,7.6,20.4,13.5,26.8,False
20000921,6,1.3,0.79,1.0111,1.17,0.15,4.9,16.2,15.0,21.4,False
20000922,2,0.9,0.68,1.0204,1.93,0.0,9.4,16.2,11.3,23.2,True
20000923,5,1.5,0.7,1.0237,1.37,0.0,5.5,14.7,11.9,18.5,True
20000924,4,0.7,0.82,1.0251,1.15,0.0,4.6,11.9,8.7,17.0,False
20000925,3,0.8,0.78,1.0249,1.65,0.0,7.5,13.6,8.0,20.5,True
20000926,4,0.9,0.79,1.0257,1.42,0.0,6.9,14.9,9.5,21.5,True
20000927,3,0.7,0.78,1.0227,1.58,0.0,7.4,14.7,10.3,22.1,True
20000928,5,1.6,0.77,1.0173,1.29,0.0,3.9,16.2,9.3,22.4,True
20000929,3,1.1,0.68,1.0131,1.62,0.03,8.7,16.3,10.5,23.1,False
20000930,7,0.6,0.88,1.0123,0.53,1.52,0.9,14.5,10.0,17.4,False
20001001,8,0.3,0.95,1.009,0.14,2.54,0.0,16.0,14.7,16.7,False
20001002,6,1.2,0.82,1.01,1.18,1.49,6.0,16.1,13.6,19.8,False
20001003,8,0.8,0.87,1.0175,0.31,2.4,0.3,14.6,12.6,16.7,False
20001004,5,1.0,0.87,1.0205,0.81,0.03,2.8,15.0,13.4,20.1,False
20001005,6,0.5,0.86,1.0174,1.12,0.0,4.1,15.3,10.5,20.5,True
20001006,8,0.9,0.87,1.0165,0.57,1.33,0.4,14.5,13.2,17.8,False
20001007,8,0.9,0.94,1.0171,0.1,2.73,0.0,9.8,9.4,13.7,False
20001008,8,0.2,0.94,1.0181,0.19,0.04,0.0,10.0,8.4,11.7,False
20001009,8,1.0,0.94,1.0139,0.14,0.38,0.0,10.0,9.7,11.0,False
20001010,7,0.9,0.87,1.0055,0.54,3.37,0.6,11.3,8.4,14.3,False
20001011,7,1.6,0.8,1.003,0.89,0.02,3.1,14.2,11.0,18.7,False
20001012,6,1.0,0.74,1.009,0.17,0.0,0.7,16.0,13.9,20.7,True
20001013,3,0.4,0.78,1.0172,1.31,0.0,8.0,17.0,11.5,23.9,True
20001014,3,0.7,0.81,1.0193,1.13,0.01,5.2,16.9,13.3,24.4,False
20001015,6,0.7,0.85,1.0162,0.93,0.25,4.0,16.3,11.9,20.6,False
20001016,4,1.1,0.74,1.0195,1.23,0.01,6.2,15.1,12.6,20.8,False
20001017,6,1.4,0.77,1.0227,1.05,0.43,4.2,14.3,10.0,19.7,False
20001018,6,0.8,0.82,1.0238,0.86,0.01,2.1,14.1,11.8,18.0,False
20001019,8,0.7,0.91,1.0238,0.35,0.36,0.0,13.6,12.0,15.6,False
20001020,8,1.2,0.84,1.0282,0.33,0.0,0.0,11.5,10.5,13.4,False
20001021,7,1.3,0.71,1.0326,0.82,0.0,2.3,10.2,7.9,12.6,False
20001022,2,0.8,0.75,1.0337,1.28,0.0,7.4,9.6,7.1,15.3,False
20001023,4,0.8,0.88,1.032,0.73,0.0,3.9,6.5,4.4,10.0,False
20001024,3,0.9,0.81,1.0254,1.19,0.0,6.9,9.3,2.3,16.3,False
20001025,7,1.1,0.78,1.0221,0.91,0.0,4.8,10.9,4.2,15.7,False
20001026,4,2.1,0.79,1.0178,1.05,0.0,7.4,11.8,8.0,18.1,True
20001027,7,1.1,0.86,1.0212,0.28,0.01,0.0,9.8,7.9,12.0,False
20001028,2,0.4,0.79,1.0244,1.06,0.0,6.5,9.1,5.6,15.7,False
