DATE,MONTELIMAR_wind_speed,MONTELIMAR_humidity,MONTELIMAR_pressure,MONTELIMAR_global_radiation,MONTELIMAR_precipitation,MONTELIMAR_temp_mean,MONTELIMAR_temp_min,MONTELIMAR_temp_max,MONTELIMAR_picnic_weather
20000202,2.2,0.92,1.0234,0.12,0.28,9.2,6.9,11.5,False
20000203,9.4,0.68,1.0327,1.08,0.0,8.2,6.7,9.7,False
20000204,4.9,0.71,1.0376,1.08,0.0,7.2,3.2,11.1,False
20000205,1.2,0.81,1.0347,0.9,0.0,5.8,-1.5,13.2,False
20000206,2.2,0.82,1.0304,0.45,0.02,6.6,1.9,11.4,False
20000207,1.2,0.79,1.0269,0.95,0.02,9.2,4.2,14.2,False
20000208,1.2,0.8,1.023,0.75,0.0,11.0,5.7,16.2,False
20000209,7.1,0.6,1.0291,1.14,0.0,10.5,8.3,12.6,False
20000210,3.5,0.66,1.0262,1.19,0.14,9.0,4.1,13.9,False
20000211,6.6,0.77,1.0255,0.73,0.02,7.2,5.9,8.4,False
20000212,6.4,0.61,1.0287,1.2,0.0,7.0,5.3,8.8,False
20000213,4.0,0.71,1.0262,0.85,0.0,6.4,2.5,10.3,False
20000214,5.9,0.76,1.0244,1.22,0.0,9.4,6.6,12.3,False
20000215,3.2,0.74,1.0222,1.01,0.0,10.8,5.7,15.8,False
20000216,2.9,0.66,1.0144,0.72,0.0,8.6,4.8,12.4,False
20000217,2.4,0.82,1.0167,0.57,0.1,3.8,0.2,7.4,False
20000218,1.6,0.78,1.0183,0.42,0.12,6.6,3.5,9.6,False
20000219,3.2,0.78,1.0162,1.01,0.24,9.6,5.8,13.5,False
20000220,7.0,0.57,1.0247,0.97,0.0,6.0,4.5,7.6,False
20000221,6.1,0.52,1.0266,1.45,0.0,4.8,0.9,8.8,False
20000222,4.1,0.53,1.025,1.11,0.0,5.9,1.6,10.2,False
20000223,5.8,0.57,1.0268,1.41,0.0,6.1,1.0,11.2,False
20000224,4.1,0.64,1.0299,1.44,0.0,8.3,1.8,14.9,False
20000225,2.9,0.7,1.0298,1.47,0.0,8.1,-0.5,16.7,False
20000226,3.5,0.71,1.0292,1.43,0.0,11.7,6.6,16.8,False
20000227,2.1,0.8,1.0297,1.44,0.0,9.1,2.0,16.2,False
20000228,3.2,0.74,1.0288,0.89,0.04,13.0,10.1,15.8,False
20000229,2.6,0.88,1.0233,0.08,0.16,9.9,8.3,11.5,False
20000301,3.8,0.76,1.0129,0.84,0.18,11.6,8.8,14.4,False
20000302,6.9,0.58,1.0259,1.51,0.0,7.6,4.9,10.3,False
20000303,2.2,0.61,1.0221,1.6,0.0,8.4,0.8,16.1,False
20000304,5.5,0.62,1.0228,1.28,0.0,9.2,6.3,12.0,False
20000305,8.0,0.4,1.0306,1.8,0.0,6.8,3.3,10.3,False
20000306,3.2,0.5,1.0319,1.7,0.0,8.1,-0.1,16.3,False
20000307,1.8,0.64,1.0296,1.57,0.0,11.7,6.1,17.2,False
20000308,5.9,0.52,1.0301,1.72,0.0,10.6,4.1,17.1,False
20000309,5.9,0.49,1.0278,1.77,0.0,16.2,11.0,21.4,True
20000310,7.1,0.6,1.0252,1.73,0.0,14.4,12.0,16.9,False
20000311,6.9,0.54,1.0211,1.88,0.0,15.2,10.0,20.5,True
20000312,6.8,0.61,1.0206,1.88,0.0,13.0,9.0,17.0,False
20000313,4.1,0.65,1.0241,1.65,0.0,12.4,6.4,18.4,True
20000314,5.2,0.57,1.0242,1.75,0.0,13.8,8.8,18.8,True
20000315,10.4,0.45,1.0235,1.94,0.0,11.0,9.0,13.1,False
20000316,9.9,0.5,1.0264,1.84,0.0,10.0,5.5,14.6,False
20000317,9.9,0.58,1.0224,1.87,0.0,12.0,8.0,16.1,False
20000318,9.5,0.55,1.0213,1.58,0.0,12.5,10.8,14.2,False
20000319,6.5,0.61,1.0228,1.66,0.0,10.1,7.6,12.6,False
20000320,3.2,0.79,1.0218,0.73,0.34,7.6,4.3,10.9,False
20000321,1.6,0.71,1.0215,1.92,0.0,8.6,0.5,16.6,False
20000322,2.6,0.66,1.0208,2.01,0.0,10.8,3.5,18.0,True
20000323,3.5,0.69,1.0161,0.77,0.86,11.6,6.6,16.5,False
20000324,1.5,0.83,1.0157,1.24,0.94,13.0,8.8,17.1,False
20000325,2.1,0.85,1.0169,1.8,0.26,12.0,5.8,18.1,False
20000326,2.5,0.66,1.0131,1.65,0.02,12.0,8.3,15.6,False
20000327,3.0,0.69,1.0083,1.69,0.0,9.4,5.6,13.2,False
20000328,4.9,0.66,1.0073,2.23,0.02,8.6,4.5,12.7,False
20000329,1.5,0.81,1.0101,1.03,0.32,8.1,5.6,10.6,False
20000330,1.1,0.74,1.0151,2.01,0.02,8.1,1.2,15.0,False
20000331,1.1,0.92,1.0097,0.22,1.82,5.5,3.1,7.9,False
20000401,0.9,0.78,1.0083,1.77,0.0,9.5,3.8,15.2,False
20000402,2.8,0.66,1.001,1.48,0.06,10.4,2.9,18.0,False
20000403,7.2,0.64,0.9926,0.82,0.32,13.9,10.0,17.8,False
20000404,5.5,0.7,0.9951,1.75,0.3,14.6,10.7,18.6,False
20000405,3.6,0.83,1.0079,1.03,0.24,10.8,6.2,15.4,False
20000406,8.0,0.7,1.0185,1.9,0.0,9.4,7.2,11.7,False
20000407,5.6,0.63,1.0239,2.43,0.0,10.5,6.2,14.9,False
20000408,3.2,0.61,1.0193,2.25,0.0,12.2,5.3,19.0,True
20000409,1.5,0.85,1.0092,0.49,0.52,10.2,8.6,11.9,False
20000410,1.8,0.83,1.0058,1.1,0.14,12.0,8.3,15.6,False
20000411,1.9,0.85,1.0001,1.53,0.7,12.8,8.6,16.9,False
20000412,3.5,0.66,1.0011,1.34,0.08,12.0,9.0,15.0,False
20000413,2.4,0.75,1.0044,1.75,0.0,14.0,9.7,18.4,True
20000414,4.6,0.67,1.0024,0.81,1.32,13.1,7.7,18.5,False
20000415,2.4,0.64,1.0057,2.22,0.0,13.2,8.0,18.4,True
20000416,2.1,0.8,1.0007,0.28,3.4,12.2,9.2,15.3,False
20000417,3.2,0.74,1.0086,1.52,0.0,12.0,8.1,16.0,False
20000418,2.9,0.65,1.0088,2.68,0.0,13.0,6.9,19.0,True
20000419,4.6,0.64,1.0121,2.69,0.0,11.7,5.6,17.7,False
20000420,3.4,0.61,1.0138,2.69,0.0,16.0,8.7,23.4,True
20000421,2.0,0.65,1.0161,2.44,0.0,16.1,6.4,25.7,True
20000422,3.2,0.66,1.014,2.26,0.0,16.2,8.9,23.6,True
20000423,2.4,0.83,1.0138,0.26,1.8,12.2,9.7,14.8,False
20000424,3.6,0.72,1.0147,2.81,0.0,10.5,4.5,16.5,False
20000425,3.0,0.7,1.0129,2.75,0.0,14.4,6.4,22.3,True
20000426,3.1,0.63,1.0126,2.48,0.0,16.4,10.2,22.5,True
20000427,1.9,0.78,1.0068,0.9,1.06,12.9,7.7,18.1,False
20000428,2.4,0.92,1.0102,0.42,3.44,11.7,11.0,12.4,False
20000429,2.9,0.74,1.016,2.88,0.0,13.8,7.4,20.1,True
20000430,1.8,0.67,1.0184,2.74,0.0,14.6,6.7,22.5,True
20000501,1.8,0.69,1.0149,2.83,0.02,17.4,9.2,25.7,False
20000502,2.6,0.72,1.0142,2.59,0.0,18.4,10.8,25.9,True
20000503,1.9,0.66,1.0166,2.74,0.0,18.7,11.1,26.2,True
20000504,1.5,0.66,1.016,2.76,0.0,17.3,8.7,25.9,True
20000505,1.8,0.72,1.0126,2.21,0.04,18.6,11.8,25.4,False
20000506,2.0,0.82,1.0124,1.17,0.06,17.6,14.0,21.1,False
20000507,0.9,0.84,1.0155,1.4,0.08,17.0,12.6,21.3,False
20000508,1.5,0.74,1.0172,2.88,0.0,17.9,11.2,24.6,True
20000509,2.0,0.85,1.0163,1.63,0.84,18.2,12.6,23.9,False
20000510,2.5,0.87,1.0145,1.19,1.26,18.6,15.6,21.5,False
20000511,3.1,0.76,1.017,2.82,0.02,19.4,15.5,23.4,False
20000512,1.0,0.72,1.019,3.13,0.0,18.4,10.7,26.1,True
20000513,3.1,0.73,1.0199,2.23,0.02,17.5,11.9,23.1,False
20000514,2.9,0.72,1.0203,3.2,0.02,19.5,13.4,25.6,False
20000515,1.8,0.69,1.0202,3.17,0.0,20.4,12.5,28.4,True
20000516,2.4,0.64,1.0184,3.18,0.0,20.2,12.3,28.2,True
20000517,1.9,0.74,1.0169,1.41,0.04,17.7,12.4,23.0,False
20000518,3.4,0.63,1.0131,2.44,0.0,18.8,14.3,23.2,True
20000519,4.4,0.54,1.0138,2.96,0.0,15.9,12.4,19.4,True
20000520,5.2,0.55,1.012,3.43,0.0,15.8,10.9,20.7,True
20000521,3.1,0.58,1.012,3.27,0.0,18.0,10.8,25.2,True
20000522,6.4,0.51,1.0172,3.48,0.0,17.1,13.8,20.4,True
20000523,4.5,0.57,1.0189,3.46,0.0,17.2,10.8,23.5,True
20000524,2.1,0.53,1.0167,3.38,0.0,18.8,10.0,27.5,True
20000525,2.5,0.67,1.017,2.22,0.0,18.6,12.0,25.1,True
20000526,3.5,0.64,1.0147,3.27,2.84,20.8,13.6,27.9,False
20000527,4.4,0.75,1.0163,2.98,0.14,16.5,12.4,20.6,False
20000528,1.2,0.76,1.0149,1.44,0.02,17.0,11.6,22.3,False
20000529,4.5,0.62,1.0173,2.9,0.0,18.6,15.7,21.5,True
20000530,1.5,0.6,1.0181,2.49,0.0,20.5,14.3,26.7,True
20000531,3.1,0.65,1.0196,2.53,0.0,19.7,15.6,23.8,True
20000601,3.4,0.6,1.0216,3.36,0.0,22.4,15.9,28.9,True
20000602,2.2,0.66,1.021,3.37,0.0,21.2,13.3,29.1,True
20000603,2.4,0.62,1.0186,2.99,0.0,21.6,13.2,29.9,True
20000604,2.2,0.61,1.0175,3.29,0.0,22.0,13.8,30.3,True
20000605,3.9,0.64,1.0161,2.18,0.0,22.0,16.8,27.1,True
20000606,8.6,0.63,1.0189,2.81,0.0,17.6,15.2,20.1,True
20000607,7.5,0.57,1.0189,3.44,0.0,18.6,14.2,22.9,True
20000608,4.5,0.59,1.0166,3.35,0.0,22.0,14.3,29.8,True
20000609,4.0,0.69,1.0147,3.08,0.0,23.1,16.8,29.4,True
20000610,2.9,0.83,1.0122,1.52,1.64,21.0,15.9,26.2,False
20000611,5.6,0.83,1.0178,0.72,0.02,16.1,14.2,18.0,False
20000612,6.9,0.73,1.0231,1.97,0.0,17.5,13.8,21.2,True
20000613,4.5,0.7,1.0234,2.49,2.16,21.9,18.2,25.6,False
20000614,2.5,0.85,1.0229,1.73,0.18,21.6,17.1,26.1,False
20000615,6.9,0.63,1.0214,3.49,0.0,23.7,19.5,27.9,True
20000616,6.8,0.57,1.0208,3.53,0.0,22.6,18.5,26.7,True
20000617,5.8,0.52,1.022,3.49,0.0,22.1,17.6,26.6,True
20000618,2.9,0.61,1.0248,3.37,0.0,22.2,14.1,30.2,True
20000619,2.8,0.6,1.0226,3.48,0.0,21.8,13.7,30.0,True
20000620,2.8,0.56,1.0197,3.59,0.0,21.1,12.9,29.3,True
20000621,2.5,0.62,1.0195,3.52,0.0,19.8,11.1,28.5,True
20000622,2.6,0.67,1.0197,2.98,2.84,21.3,12.8,29.8,False
20000623,5.1,0.58,1.0203,3.52,0.0,20.6,17.3,24.0,True
20000624,4.6,0.57,1.0183,3.22,0.0,18.8,13.5,24.1,True
20000625,5.4,0.54,1.0182,3.35,0.0,18.4,15.1,21.8,True
20000626,5.8,0.49,1.0189,3.63,0.0,18.6,13.5,23.6,True
20000627,3.5,0.57,1.0167,3.27,0.0,21.8,14.1,29.5,True
20000628,2.9,0.7,1.0157,2.02,0.0,23.9,18.7,29.1,True
20000629,4.8,0.56,1.0164,3.4,0.0,22.2,17.8,26.6,True
20000630,3.2,0.55,1.0135,3.44,0.0,23.1,17.2,29.0,True
20000701,2.6,0.73,1.0133,2.79,0.08,23.6,18.0,29.3,False
20000702,3.0,0.6,1.0121,3.23,0.0,23.8,15.4,32.3,True
20000703,2.4,0.69,1.008,1.94,0.96,24.2,18.8,29.7,False
20000704,2.5,0.59,1.0114,3.03,0.0,23.1,18.0,28.2,True
20000705,3.2,0.57,1.0173,3.48,0.0,21.0,14.2,27.7,True
20000706,3.2,0.52,1.016,3.31,0.0,24.2,15.9,32.5,True
20000707,3.1,0.52,1.0119,3.24,0.0,25.0,17.9,32.1,True
20000708,5.5,0.54,1.0158,2.72,0.0,20.0,17.2,22.8,True
20000709,2.1,0.57,1.0131,2.9,0.0,19.4,12.8,26.1,True
20000710,1.6,0.89,1.0048,0.64,0.96,17.4,15.7,19.1,False
20000711,2.8,0.66,1.0073,2.8,0.0,16.8,12.3,21.3,True
20000712,4.2,0.64,1.017,2.03,0.0,16.4,12.2,20.5,True
20000713,2.9,0.59,1.0181,2.79,0.0,17.9,12.2,23.6,True
20000714,2.6,0.78,1.0131,1.2,0.02,18.2,16.0,20.4,False
20000715,4.8,0.66,1.012,2.27,0.0,17.6,14.3,21.0,True
20000716,6.0,0.57,1.0149,3.5,0.0,16.8,12.4,21.3,True
20000717,5.4,0.54,1.0165,3.42,0.0,18.8,13.2,24.5,True
20000718,3.9,0.53,1.017,3.36,0.0,20.0,12.4,27.5,True
20000719,5.5,0.51,1.0164,3.16,0.0,21.0,16.1,26.0,True
20000720,6.5,0.52,1.0164,3.38,0.0,21.8,16.5,27.0,True
20000721,5.4,0.51,1.0171,3.4,0.0,23.4,17.8,29.1,True
20000722,2.6,0.58,1.0152,2.95,0.0,22.1,12.8,31.4,True
20000723,2.5,0.72,1.0127,1.51,1.38,23.0,15.1,31.0,False
20000724,1.2,0.81,1.0092,2.21,0.12,22.7,16.9,28.5,False
20000725,1.8,0.84,1.0096,1.47,1.62,18.8,13.9,23.7,False
20000726,1.8,0.68,1.0126,2.78,0.0,21.7,13.7,29.7,True
20000727,2.1,0.62,1.0153,3.0,0.16,24.6,17.4,31.8,False
20000728,5.2,0.65,1.0172,3.16,0.0,23.0,19.0,27.0,True
20000729,5.2,0.58,1.0195,3.12,0.0,21.5,16.5,26.5,True
20000730,6.2,0.56,1.0211,3.26,0.0,21.2,16.0,26.5,True
20000731,3.4,0.56,1.0213,3.25,0.0,24.2,17.5,31.0,True
20000801,2.5,0.63,1.0213,2.91,0.0,22.8,12.9,32.7,True
20000802,3.2,0.75,1.0202,2.16,1.3,24.2,18.5,30.0,False
20000803,2.8,0.83,1.02,0.7,0.24,18.8,17.6,20.0,False
20000804,5.4,0.6,1.0182,3.12,0.0,20.1,15.6,24.6,True
20000805,4.5,0.67,1.0188,1.62,0.02,19.9,17.2,22.6,False
20000806,6.8,0.59,1.0193,2.94,0.0,21.8,17.0,26.5,True
20000807,6.6,0.58,1.0196,2.97,0.0,22.2,17.5,27.0,True
20000808,5.4,0.6,1.0189,2.66,0.0,23.4,18.4,28.5,True
20000809,4.2,0.57,1.0185,2.91,0.0,25.4,20.1,30.6,True
20000810,1.9,0.58,1.0176,2.9,0.0,25.0,16.0,34.1,True
20000811,1.6,0.66,1.0142,2.89,0.0,24.6,16.0,33.3,True
20000812,1.8,0.7,1.014,1.8,0.0,24.5,17.7,31.3,True
20000813,1.9,0.6,1.0168,2.61,0.0,26.0,18.7,33.2,True
20000814,3.6,0.58,1.0194,2.72,0.0,25.8,17.6,34.0,True
20000815,4.8,0.56,1.0192,2.83,0.0,28.0,23.3,32.6,True
20000816,2.8,0.56,1.0158,2.85,0.0,27.8,20.1,35.6,True
20000817,2.1,0.64,1.0147,2.36,0.0,26.8,19.3,34.4,True
20000818,3.1,0.58,1.0143,2.4,0.0,27.1,20.1,34.1,True
20000819,2.6,0.54,1.0147,2.65,0.0,25.9,17.0,34.8,True
20000820,3.8,0.66,1.0141,2.68,0.0,27.0,20.7,33.4,True
20000821,3.9,0.76,1.0152,1.72,1.42,24.3,17.8,30.8,False
20000822,4.4,0.73,1.0169,2.7,0.0,20.2,15.6,24.7,True
20000823,2.8,0.64,1.0172,2.73,0.0,24.8,16.4,33.2,True
20000824,2.0,0.69,1.0197,2.04,0.0,24.6,17.2,32.0,True
20000825,2.8,0.71,1.0153,2.09,0.0,26.4,20.2,32.5,True
20000826,3.0,0.6,1.0105,1.99,0.04,25.7,17.1,34.3,False
20000827,5.1,0.61,1.0177,2.54,0.0,22.6,19.3,25.9,True
20000828,4.2,0.54,1.0194,2.33,0.0,21.4,16.2,26.5,True
20000829,2.9,0.56,1.018,2.65,0.28,22.4,15.2,29.7,False
20000830,1.5,0.86,1.0148,0.66,0.36,19.0,16.6,21.3,False
20000831,2.2,0.78,1.011,1.65,0.04,19.8,16.5,23.0,False
20000901,2.5,0.62,1.0105,2.47,0.0,21.6,14.5,28.8,True
20000902,2.9,0.56,1.0137,1.73,0.0,18.4,12.9,23.9,True
20000903,4.8,0.65,1.0152,2.24,0.0,18.7,14.7,22.7,True
20000904,7.9,0.56,1.018,2.58,0.0,18.6,14.8,22.3,True
20000905,6.5,0.57,1.0211,2.54,0.0,18.4,13.1,23.8,True
20000906,3.9,0.54,1.0174,2.3,0.0,20.2,13.7,26.8,True
20000907,5.4,0.55,1.0157,2.3,0.0,21.8,18.0,25.5,True
20000908,4.4,0.51,1.0201,2.51,0.0,20.6,14.9,26.4,True
20000909,0.9,0.61,1.0224,2.37,0.0,20.2,10.7,29.7,True
20000910,0.9,0.66,1.0196,2.33,0.0,20.8,10.5,31.1,True
20000911,1.5,0.62,1.0151,2.28,0.0,21.6,11.3,32.0,True
20000912,2.5,0.73,1.0144,2.02,0.14,22.8,16.1,29.6,False
20000913,2.0,0.69,1.0146,2.08,0.0,24.3,18.4,30.2,True
20000914,1.6,0.75,1.0158,1.91,0.0,22.4,15.2,29.5,True
20000915,2.6,0.72,1.0158,1.84,0.02,25.1,21.0,29.2,False
20000916,4.4,0.66,1.0144,1.48,0.0,24.6,21.0,28.3,True
20000917,5.4,0.53,1.0116,2.29,0.0,19.2,15.0,23.5,True
20000918,2.4,0.59,1.008,2.2,0.0,19.7,12.4,27.0,True
20000919,3.4,0.78,1.0033,0.95,3.62,20.0,12.2,27.8,False
20000920,3.5,0.88,1.0069,0.74,1.96,15.5,13.2,17.8,False
20000921,4.2,0.65,1.0188,2.15,0.0,16.2,11.5,20.8,True
20000922,6.0,0.63,1.0201,2.15,0.0,19.3,14.5,24.1,True
20000923,2.0,0.66,1.0189,2.11,0.0,20.2,13.4,27.0,True
20000924,1.6,0.72,1.0201,2.09,0.02,17.8,9.3,26.4,False
20000925,0.6,0.8,1.022,1.75,0.0,19.4,12.0,26.8,True
20000926,1.9,0.82,1.0217,1.47,0.02,19.4,13.5,25.2,False
20000927,1.2,0.85,1.02,1.37,0.32,18.5,13.4,23.6,False
20000928,3.9,0.73,1.0115,1.46,0.28,20.6,15.9,25.4,False
20000929,2.0,0.87,1.0032,0.19,2.9,17.6,15.6,19.6,False
20000930,5.0,0.78,1.0063,1.48,0.0,16.0,14.1,18.0,True
20001001,3.5,0.77,1.008,1.89,0.02,15.8,11.5,20.1,False
20001002,3.5,0.8,1.0143,1.19,0.42,13.0,8.4,17.6,False
20001003,6.5,0.64,1.0188,1.74,0.0,15.5,12.3,18.7,True
20001004,6.5,0.7,1.0191,1.73,0.0,15.7,11.9,19.5,True
20001005,6.4,0.71,1.0181,1.47,0.0,16.2,11.6,20.7,True
20001006,7.6,0.59,1.0209,1.47,0.0,14.9,12.7,17.1,False
20001007,7.1,0.62,1.0222,1.69,0.0,12.4,8.4,16.5,False
20001008,4.9,0.68,1.0189,1.23,0.0,13.1,8.6,17.6,False
20001009,2.9,0.7,1.0122,1.6,0.72,13.8,8.3,19.4,False
20001010,1.6,0.79,1.0038,1.31,0.36,13.9,11.1,16.7,False
20001011,2.2,0.9,0.9969,0.32,0.62,12.0,9.3,14.6,False
20001012,2.1,0.93,1.0019,0.22,2.58,12.2,9.3,15.0,False
20001013,5.6,0.91,1.009,0.19,10.6,11.5,11.1,11.8,False
20001014,6.0,0.92,1.0119,0.35,1.66,12.0,10.8,13.3,False
20001015,3.6,0.93,1.0076,0.17,2.54,12.7,12.1,13.3,False
20001016,1.6,0.9,1.0157,0.79,0.18,13.8,10.8,16.8,False
20001017,3.5,0.8,1.0249,1.57,0.0,14.4,10.0,18.7,True
20001018,2.4,0.77,1.024,1.5,0.0,14.3,9.6,19.0,True
20001019,0.6,0.85,1.0217,1.1,0.0,12.6,5.5,19.8,True
20001020,2.4,0.81,1.0207,0.56,0.0,13.8,8.0,19.7,True
20001021,2.8,0.71,1.0239,1.21,0.0,18.4,14.3,22.4,True
20001022,1.4,0.82,1.0279,1.31,0.02,16.3,10.5,22.1,False
20001023,1.1,0.87,1.0271,0.65,0.0,14.0,8.9,19.2,True
20001024,1.2,0.87,1.0247,1.22,0.02,16.8,12.0,21.5,False
20001025,1.8,0.85,1.0209,1.11,0.0,14.6,9.2,20.1,True
20001026,1.0,0.92,1.0191,0.5,0.06,15.5,12.4,18.6,False
20001027,4.6,0.71,1.0208,1.16,0.0,13.7,10.1,17.3,False
20001028,2.6,0.79,1.0211,1.19,0.02,14.0,8.1,20.0,False
20001029,1.9,0.94,1.0208,0.71,0.22,14.0,11.6,16.4,False
20001030,3.6,0.91,1.0102,0.24,3.48,13.2,8.3,18.1,False
20001031,1.6,0.88,1.0079,0.7,0.16,12.5,9.5,15.5,False
20001101,1.4,0.85,1.0134,1.02,0.0,10.8,4.9,16.7,False
20001102,1.1,0.96,1.0069,0.07,1.24,10.7,8.4,13.0,False
20001103,1.9,0.82,1.0046,0.54,0.0,13.5,10.9,16.1,False
20001104,1.0,0.9,1.0158,0.81,0.0,7.8,2.1,13.4,False
20001105,4.8,0.82,1.0113,0.83,2.9,7.8,1.1,14.4,False
20001106,3.6,0.81,0.9904,0.66,0.26,12.9,10.6,15.2,False
20001107,3.4,0.71,0.9966,0.41,0.0,10.6,8.9,12.3,False
20001108,2.1,0.82,1.005,0.59,0.06,8.2,4.5,12.0,False
20001109,1.1,0.9,1.0158,0.61,0.12,8.5,4.4,12.6,False
20001110,1.2,0.85,1.0238,1.16,0.0,9.2,3.2,15.3,False
20001111,2.6,0.77,1.0254,1.09,0.02,7.1,0.3,13.9,False
20001112,3.2,0.75,1.0129,0.07,0.38,12.6,8.0,17.3,False
20001113,6.2,0.79,1.0046,0.14,1.34,16.6,15.2,18.1,False
20001114,1.8,0.89,1.0109,0.75,0.3,10.3,7.8,12.8,False
20001115,2.2,0.92,1.0174,0.58,0.0,6.4,3.1,9.8,False
20001116,4.4,0.8,1.0133,0.67,0.0,7.2,4.3,10.1,False
20001117,6.4,0.64,1.0137,0.52,0.0,9.6,8.2,11.0,False
20001118,5.1,0.74,1.0167,0.85,0.0,8.3,5.7,10.9,False
20001119,1.0,0.92,1.0111,0.27,0.56,5.2,2.2,8.2,False
20001120,1.6,0.96,1.0078,0.2,0.02,7.9,6.8,9.0,False
20001121,1.5,0.87,1.0126,0.72,0.06,7.8,3.2,12.3,False
20001122,2.4,0.83,1.0139,0.23,1.46,11.0,7.5,14.6,False
20001123,5.1,0.88,1.006,0.09,1.84,12.2,9.9,14.5,False
20001124,3.2,0.81,1.0121,0.72,0.0,9.3,6.5,12.1,False
20001125,1.5,0.82,1.012,0.86,0.1,7.9,3.3,12.5,False
20001126,1.8,0.8,1.0144,0.63,0.02,9.6,5.4,13.7,False
20001127,0.8,0.89,1.0207,0.42,0.06,7.8,5.0,10.6,False
20001128,1.1,0.88,1.0218,0.66,0.0,10.0,3.7,16.2,False
20001129,2.1,0.79,1.0178,0.16,0.0,11.6,7.6,15.6,False
20001130,2.2,0.87,1.0188,0.23,0.2,11.0,8.2,13.8,False
20001201,4.2,0.71,1.0201,0.5,0.0,14.3,11.8,16.8,False
20001202,2.2,0.84,1.0177,0.11,2.74,13.2,11.7,14.7,False
20001203,3.8,0.72,1.0207,0.77,0.0,11.2,9.2,13.2,False
20001204,1.4,0.85,1.022,0.74,0.0,7.3,0.7,13.9,False
20001205,2.2,0.76,1.0208,0.18,0.28,7.8,2.2,13.4,False
20001206,2.2,0.81,1.018,0.11,0.6,13.6,11.2,16.1,False
20001207,4.9,0.66,1.0115,0.06,0.38,14.4,11.8,17.0,False
20001208,3.2,0.68,1.0114,0.15,0.0,16.0,15.1,16.9,False
20001209,1.9,0.83,1.0198,0.44,0.06,11.4,8.5,14.3,False
20001210,0.9,0.9,1.0276,0.4,0.0,7.3,3.4,11.2,False
20001211,0.8,0.93,1.0307,0.48,0.0,5.6,1.2,10.1,False
20001212,1.6,0.91,1.0291,0.36,0.0,6.7,1.6,11.8,False
20001213,1.1,0.9,1.0262,0.22,0.0,8.9,6.9,10.9,False
20001214,0.8,0.91,1.0162,0.35,0.0,6.5,1.7,11.3,False
20001215,2.0,0.75,1.0144,0.67,0.0,9.0,6.1,12.0,False
20001216,2.5,0.71,1.0188,0.64,0.0,5.0,0.0,9.9,False
20001217,2.5,0.77,1.0186,0.53,0.0,5.8,2.5,9.2,False
