DATE,SONNBLICK_cloud_cover,SONNBLICK_humidity,SONNBLICK_global_radiation,SONNBLICK_precipitation,SONNBLICK_sunshine,SONNBLICK_temp_mean,SONNBLICK_temp_min,SONNBLICK_temp_max,SONNBLICK_picnic_weather
20000130,8,0.98,0.31,3.59,0.0,-8.3,-9.3,-7.2,False
20000131,4,0.86,1.39,0.0,8.9,-6.3,-8.4,-4.2,False
20000201,1,0.46,1.28,0.0,9.6,-5.3,-8.2,-2.4,False
20000202,6,0.64,1.03,0.8,5.6,-5.0,-7.3,-2.6,False
20000203,8,0.96,1.03,1.04,0.0,-10.3,-14.2,-6.4,False
20000204,1,0.82,1.36,0.14,9.8,-12.3,-15.8,-8.7,False
20000205,8,0.99,0.82,0.6,0.0,-7.5,-10.0,-5.0,False
20000206,3,0.7,1.33,0.0,8.3,-5.9,-7.6,-4.2,False
20000207,6,0.9,1.49,0.34,7.1,-6.7,-7.8,-5.6,False
20000208,7,0.9,1.33,2.17,5.2,-7.3,-9.7,-4.8,False
20000209,8,0.94,0.8,2.5,0.0,-11.3,-17.4,-5.2,False
20000210,3,0.77,1.53,0.12,7.2,-13.7,-17.2,-10.2,False
20000211,7,0.68,0.72,0.0,0.0,-9.4,-12.0,-6.8,False
20000212,4,0.78,1.46,0.0,9.1,-12.0,-13.5,-10.5,False
20000213,6,0.89,1.07,2.07,5.3,-11.7,-13.8,-9.6,False
20000214,7,0.96,1.55,0.25,7.2,-12.1,-14.1,-10.0,False
20000215,8,0.95,1.08,0.82,0.0,-10.6,-13.6,-7.6,False
20000216,7,0.96,1.04,1.55,0.0,-13.9,-17.4,-10.4,False
20000217,6,0.96,1.68,1.16,7.8,-19.1,-21.1,-17.0,False
20000218,8,0.95,1.18,1.29,3.8,-16.1,-20.2,-12.0,False
20000219,8,0.97,1.23,2.49,0.7,-12.2,-13.2,-11.1,False
20000220,8,0.96,1.01,1.2,0.0,-15.1,-16.9,-13.2,False
20000221,6,0.97,1.42,0.08,0.0,-19.1,-21.3,-16.9,False
20000222,6,0.69,1.34,0.1,4.1,-18.3,-22.0,-14.5,False
20000223,7,0.94,1.16,0.23,0.0,-17.1,-18.9,-15.2,False
20000224,4,0.7,1.72,0.18,8.4,-12.0,-17.2,-6.7,False
20000225,7,0.89,1.2,1.95,0.0,-6.7,-8.6,-4.8,False
20000226,2,0.52,1.89,0.0,10.4,-10.4,-12.3,-8.4,False
20000227,1,0.28,1.94,0.0,10.1,-9.7,-13.0,-6.4,False
20000228,0,0.41,1.98,0.0,10.5,-6.3,-8.6,-4.0,False
20000229,6,0.82,1.62,0.77,5.4,-8.8,-10.5,-7.0,False
20000301,8,0.98,0.86,1.22,0.0,-10.1,-11.0,-9.2,False
20000302,8,0.9,1.43,0.41,0.0,-14.4,-18.0,-10.8,False
20000303,5,0.93,1.64,0.0,6.1,-13.3,-18.4,-8.2,False
20000304,7,0.94,1.63,1.59,4.6,-12.6,-15.9,-9.2,False
20000305,8,0.93,1.76,0.76,1.0,-18.3,-20.8,-15.7,False
20000306,1,0.54,2.12,0.0,11.1,-14.5,-20.0,-9.0,False
20000307,3,0.42,2.09,0.0,10.1,-7.6,-9.5,-5.6,False
20000308,6,0.97,1.51,1.03,1.1,-7.0,-9.3,-4.6,False
20000309,6,0.96,1.39,2.85,0.0,-4.1,-5.5,-2.6,False
20000310,8,0.97,1.76,2.98,0.4,-7.6,-9.9,-5.2,False
20000311,5,0.9,1.64,2.06,6.6,-7.0,-9.8,-4.1,False
20000312,3,0.68,2.46,0.0,9.0,-9.1,-12.0,-6.2,False
20000313,2,0.6,2.58,0.11,11.3,-8.4,-10.3,-6.4,False
20000314,7,0.96,1.54,1.67,1.0,-8.2,-10.2,-6.2,False
20000315,8,0.96,1.8,1.65,0.0,-12.7,-17.8,-7.5,False
20000316,8,0.96,0.74,3.36,0.0,-15.6,-18.2,-12.9,False
20000317,8,0.97,0.81,5.08,0.0,-12.8,-15.0,-10.5,False
20000318,8,0.96,1.84,1.79,2.1,-12.9,-14.5,-11.2,False
20000319,8,0.97,1.38,1.49,0.0,-13.9,-15.8,-12.0,False
20000320,3,0.6,2.51,0.0,9.1,-16.1,-18.8,-13.3,False
20000321,1,0.52,2.7,0.0,11.0,-12.1,-15.4,-8.8,False
20000322,1,0.53,2.89,0.0,11.6,-6.8,-9.8,-3.8,False
20000323,4,0.6,2.45,0.0,10.1,-6.5,-9.0,-4.0,False
20000324,7,0.93,1.68,0.26,2.5,-3.9,-6.3,-1.4,False
20000325,8,0.98,1.48,0.32,0.0,-6.5,-8.5,-4.4,False
20000326,7,0.97,1.29,0.65,0.3,-7.8,-9.5,-6.0,False
20000327,8,0.98,1.08,1.13,0.0,-8.1,-10.8,-5.3,False
20000328,6,0.96,2.24,0.46,3.5,-10.2,-12.6,-7.8,False
20000329,8,0.97,0.95,1.72,0.0,-8.5,-10.8,-6.2,False
20000330,8,0.95,1.68,1.29,0.0,-10.5,-12.4,-8.6,False
20000331,7,0.96,1.94,0.23,4.1,-10.7,-13.0,-8.3,False
20000401,8,0.94,2.1,0.76,1.1,-9.0,-11.3,-6.7,False
20000402,6,0.96,2.4,0.0,6.5,-10.8,-13.0,-8.6,False
20000403,8,0.97,1.12,0.27,0.0,-8.2,-10.1,-6.3,False
20000404,6,0.96,0.64,0.0,0.0,-7.3,-8.3,-6.2,False
20000405,7,0.91,2.05,0.39,0.0,-7.8,-9.5,-6.1,False
20000406,8,0.95,2.17,0.69,0.0,-11.2,-14.8,-7.5,False
20000407,3,0.71,3.13,0.41,11.7,-15.0,-18.5,-11.5,False
20000408,5,0.7,3.08,0.0,9.7,-13.2,-14.8,-11.5,False
20000409,6,0.98,2.36,0.04,6.1,-9.9,-11.9,-7.9,False
20000410,7,0.99,2.16,0.0,2.8,-9.6,-11.1,-8.0,False
20000411,7,0.96,1.7,0.17,0.0,-9.0,-11.2,-6.8,False
20000412,8,0.96,1.97,1.79,0.0,-8.4,-9.3,-7.5,False
20000413,8,0.97,1.11,0.7,0.0,-7.8,-9.2,-6.4,False
20000414,7,0.99,1.96,0.02,0.0,-6.7,-8.0,-5.4,False
20000415,8,0.98,1.78,1.12,5.5,-5.8,-7.5,-4.0,False
20000416,6,0.97,2.58,0.05,0.0,-8.5,-12.0,-5.0,False
20000417,7,0.96,2.03,0.03,0.0,-5.4,-7.6,-3.2,False
20000418,8,0.97,1.0,1.01,0.0,-3.7,-5.5,-1.9,False
20000419,7,0.98,2.58,0.37,7.5,-2.1,-4.0,-0.2,False
20000420,2,0.87,3.71,0.0,13.1,-1.7,-3.2,-0.2,False
20000421,2,0.74,3.6,0.0,11.9,-1.7,-4.0,0.6,False
20000422,3,0.78,3.78,0.0,11.7,-0.9,-2.6,0.8,False
20000423,3,0.75,3.73,0.0,13.0,1.1,-1.0,3.2,False
20000424,8,0.97,2.35,0.86,2.0,-2.3,-6.0,1.4,False
20000425,3,0.86,3.63,0.0,11.7,-3.5,-6.5,-0.4,False
20000426,1,0.8,3.87,0.0,14.0,-0.5,-2.9,2.0,False
20000427,5,0.76,2.57,0.0,4.9,0.7,-0.7,2.0,False
20000428,7,0.85,2.38,0.0,1.4,-1.4,-3.2,0.4,False
20000429,8,0.98,1.48,0.16,0.0,-2.7,-4.3,-1.0,False
20000430,7,0.9,1.85,0.02,0.0,-1.2,-3.0,0.7,False
20000501,7,0.96,3.24,0.0,7.2,-1.2,-3.3,1.0,False
20000502,6,0.93,2.45,0.01,3.7,-0.9,-3.0,1.2,False
20000503,3,0.79,3.12,0.4,6.8,-1.0,-3.1,1.2,False
20000504,6,0.97,2.07,0.73,1.2,-0.2,-2.5,2.2,False
20000505,6,0.91,2.4,0.0,6.2,-0.3,-3.1,2.6,False
20000506,6,0.94,2.19,0.0,0.0,-1.3,-2.6,0.1,False
20000507,8,0.97,1.41,0.81,0.0,-1.3,-3.1,0.6,False
20000508,7,0.97,1.9,0.34,0.0,-0.7,-2.5,1.1,False
20000509,3,0.81,3.44,0.0,12.0,1.1,-1.7,3.8,False
20000510,3,0.81,3.44,0.16,11.8,2.5,-0.8,5.8,False
20000511,6,0.67,3.44,0.0,12.3,3.1,-0.2,6.4,False
20000512,7,0.97,1.71,0.7,3.6,1.7,-0.5,3.9,False
20000513,7,0.98,2.67,0.25,2.8,-0.6,-2.0,0.8,False
20000514,1,0.64,3.94,0.0,14.0,-0.2,-2.7,2.4,False
20000515,1,0.59,3.63,0.0,14.4,2.2,-1.2,5.5,False
20000516,5,0.9,3.35,0.62,11.1,2.1,0.0,4.2,False
20000517,5,0.74,2.61,0.0,8.3,2.7,-0.6,5.9,False
20000518,8,0.95,1.09,0.27,0.0,0.6,-1.1,2.3,False
20000519,5,0.91,2.82,2.09,7.9,-3.8,-8.5,0.9,False
20000520,7,0.93,2.63,1.28,3.6,-7.3,-9.2,-5.4,False
20000521,3,0.86,3.59,0.34,9.9,-6.4,-10.8,-2.0,False
20000522,6,0.96,2.95,0.8,4.6,-5.4,-8.0,-2.8,False
20000523,4,0.9,3.76,0.0,10.7,-4.9,-8.0,-1.8,False
20000524,4,0.66,3.29,0.0,10.3,-0.1,-3.4,3.2,False
20000525,4,0.69,3.23,0.05,9.8,2.0,-1.3,5.3,False
20000526,8,0.97,2.14,0.0,0.0,1.5,0.4,2.6,False
20000527,5,0.87,2.4,0.0,3.8,1.4,0.2,2.6,False
20000528,8,0.96,1.2,0.79,0.0,0.3,-0.8,1.3,False
20000529,8,0.97,1.59,0.2,0.0,-3.0,-5.6,-0.4,False
20000530,6,0.96,2.37,0.31,4.5,-5.4,-8.2,-2.5,False
20000531,8,0.97,2.63,0.85,3.2,-2.4,-4.3,-0.4,False
20000601,2,0.64,3.99,0.0,13.8,-1.9,-6.6,2.8,False
20000602,6,0.7,2.77,0.0,9.0,5.1,1.9,8.2,False
20000603,6,0.79,2.2,2.15,4.4,5.1,3.3,6.8,False
20000604,4,0.9,2.45,0.7,7.5,6.1,2.7,9.4,False
20000605,5,0.88,2.45,0.17,7.9,4.1,1.8,6.4,False
20000606,6,0.88,2.75,1.12,8.0,4.7,1.4,8.0,False
20000607,8,0.98,2.61,0.0,0.0,-0.6,-3.1,1.9,False
20000608,7,0.97,2.54,0.0,9.6,1.1,-2.4,4.5,False
20000609,4,0.81,2.64,0.0,9.7,4.5,1.2,7.8,False
20000610,3,0.74,3.64,0.01,13.1,5.7,2.9,8.5,False
20000611,8,0.99,0.97,0.05,0.0,4.2,1.8,6.6,False
20000612,5,0.78,3.37,0.03,11.4,6.7,2.1,11.3,False
20000613,6,0.95,1.0,0.41,2.9,5.1,3.4,6.7,False
20000614,4,0.85,1.67,0.82,6.9,5.5,1.8,9.2,False
20000615,7,0.97,2.44,1.71,2.3,2.5,0.7,4.2,False
20000616,7,0.98,2.04,0.65,0.0,-0.9,-2.8,1.0,False
20000617,4,0.91,1.98,0.0,7.9,-4.8,-6.8,-2.7,False
20000618,3,0.42,4.08,0.0,12.2,0.0,-4.5,4.5,False
20000619,1,0.74,4.03,0.0,14.4,4.3,1.0,7.6,False
20000620,1,0.56,3.24,0.38,13.2,7.5,3.9,11.0,False
20000621,5,0.83,2.42,1.73,8.0,6.3,4.0,8.6,False
20000622,3,0.73,3.95,0.08,12.7,7.6,4.0,11.1,False
20000623,8,0.94,1.49,3.1,3.3,3.9,-1.0,8.8,False
20000624,8,0.98,2.65,2.12,3.7,0.1,-2.6,2.8,False
20000625,8,0.95,2.63,1.19,0.0,-2.8,-5.2,-0.3,False
20000626,7,0.96,3.34,0.0,8.0,-3.4,-6.4,-0.3,False
20000627,2,0.58,4.4,0.0,13.7,-2.3,-5.8,1.2,False
20000628,7,0.91,2.33,0.43,7.3,1.1,-1.3,3.4,False
20000629,7,0.95,2.03,0.68,1.9,-1.6,-3.5,0.3,False
20000630,7,0.97,2.74,0.0,7.3,0.9,-2.1,3.8,False
20000701,7,0.93,2.27,0.45,4.6,2.6,-0.3,5.4,False
20000702,5,0.84,3.63,0.23,12.5,5.0,1.6,8.3,False
20000703,6,0.89,1.81,0.24,6.9,6.2,4.0,8.4,False
20000704,7,0.92,1.42,1.54,3.6,4.3,1.8,6.8,False
20000705,8,0.98,1.41,0.54,0.0,2.6,0.4,4.8,False
20000706,6,0.93,3.35,0.0,10.4,4.9,1.6,8.2,False
20000707,7,0.95,2.02,0.93,5.4,6.1,3.3,8.8,False
20000708,8,0.97,1.36,1.62,0.9,0.5,-2.3,3.3,False
20000709,5,0.95,2.35,0.29,4.2,-3.5,-6.0,-1.0,False
20000710,8,0.97,1.15,0.88,0.0,-0.3,-1.6,1.1,False
20000711,7,0.98,1.88,2.67,3.5,-1.7,-3.7,0.3,False
20000712,8,0.94,3.06,1.45,0.0,-2.4,-5.3,0.6,False
20000713,6,0.95,2.87,0.03,6.7,-4.9,-6.7,-3.0,False
20000714,8,0.97,1.71,2.31,0.0,-2.2,-4.8,0.5,False
20000715,8,0.95,2.05,1.04,0.0,-1.6,-5.2,2.0,False
20000716,8,0.93,2.47,0.86,0.0,-4.4,-6.4,-2.4,False
20000717,5,0.91,3.46,1.25,9.2,-3.5,-6.8,-0.2,False
20000718,6,0.91,2.48,0.0,5.3,-2.1,-4.2,0.0,False
20000719,5,0.94,2.12,0.19,1.9,-1.6,-3.9,0.8,False
20000720,5,0.92,2.94,0.03,5.5,-1.8,-3.5,0.0,False
20000721,7,0.89,1.87,0.0,3.3,-1.9,-4.2,0.4,False
20000722,5,0.86,3.27,0.56,10.6,0.6,-1.6,2.7,False
20000723,7,0.89,2.62,0.44,7.0,3.1,0.0,6.2,False
20000724,8,0.98,0.91,0.31,0.0,3.4,2.8,3.9,False
20000725,8,0.99,1.25,0.18,1.0,2.2,0.5,3.8,False
20000726,8,0.98,1.23,0.85,1.7,2.5,0.9,4.0,False
20000727,5,0.85,2.68,0.6,10.4,2.6,-0.9,6.1,False
20000728,8,0.97,0.66,2.56,0.0,1.4,-1.6,4.4,False
20000729,7,0.93,2.35,2.33,4.6,-1.3,-2.9,0.4,False
20000730,8,0.95,2.29,0.88,7.7,-1.2,-2.6,0.2,False
20000731,7,0.91,2.36,0.0,0.0,-0.5,-1.9,1.0,False
20000801,1,0.87,3.42,0.0,13.9,2.3,-1.0,5.5,False
20000802,3,0.77,2.21,0.01,8.5,5.8,2.4,9.1,False
20000803,6,0.96,0.85,1.28,0.0,3.9,2.4,5.3,False
20000804,8,0.97,0.59,1.33,0.0,1.8,0.0,3.6,False
20000805,8,0.97,0.77,2.69,0.0,1.4,0.1,2.6,False
20000806,8,0.96,1.95,1.05,3.3,1.1,-0.9,3.0,False
20000807,8,0.99,1.13,0.93,0.0,-0.6,-1.1,0.0,False
20000808,6,0.95,2.24,0.33,5.2,-0.1,-1.7,1.6,False
20000809,7,0.96,1.7,0.0,2.5,2.2,0.1,4.3,False
20000810,3,0.83,2.35,0.0,8.3,3.5,0.4,6.5,False
20000811,1,0.76,3.59,0.0,13.9,3.9,2.1,5.7,False
20000812,5,0.74,1.74,0.0,5.2,5.2,3.1,7.3,False
20000813,7,0.91,2.24,0.01,5.9,5.5,2.0,9.0,False
20000814,3,0.84,3.48,0.0,12.6,4.5,2.0,7.0,False
20000815,1,0.71,2.99,0.0,14.0,4.2,2.0,6.3,False
20000816,5,0.89,1.81,0.63,5.8,7.9,3.9,11.8,False
20000817,4,0.81,2.61,1.78,9.8,7.2,3.5,10.8,False
20000818,4,0.76,2.42,0.0,9.2,6.9,4.2,9.5,False
20000819,4,0.74,2.54,0.0,8.9,6.9,4.4,9.3,False
20000820,1,0.63,3.35,0.0,12.5,7.9,5.4,10.4,False
20000821,2,0.64,3.23,0.0,10.2,8.5,6.4,10.6,False
20000822,4,0.8,2.67,0.0,11.4,6.5,3.5,9.5,False
20000823,4,0.77,2.34,0.0,10.1,6.2,3.4,9.0,False
20000824,1,0.58,3.17,0.0,13.3,5.8,3.6,7.9,False
20000825,4,0.81,2.99,0.0,11.6,3.7,0.3,7.0,False
20000826,2,0.58,3.11,0.0,13.4,5.7,2.4,9.0,False
20000827,6,0.77,2.12,1.76,7.3,7.2,3.2,11.2,False
20000828,8,0.96,0.37,1.05,0.0,0.9,-1.4,3.2,False
20000829,7,0.96,2.52,0.0,9.0,-0.5,-4.2,3.2,False
20000830,6,0.9,1.78,0.87,5.4,2.2,0.4,3.9,False
20000831,7,0.99,1.16,1.5,0.0,1.5,0.7,2.2,False
20000901,7,0.98,1.44,0.12,1.2,1.3,-0.3,2.8,False
20000902,8,0.99,0.82,0.57,0.0,-0.1,-2.2,2.0,False
20000903,8,0.96,1.96,0.81,5.5,-2.2,-3.5,-0.8,False
20000904,8,0.98,1.92,1.57,0.0,-4.0,-5.5,-2.5,False
20000905,8,0.97,1.66,1.11,0.0,-4.8,-6.2,-3.4,False
20000906,4,0.86,2.58,1.02,10.5,-4.6,-7.2,-2.0,False
20000907,8,0.97,1.58,3.01,0.8,-3.0,-4.5,-1.4,False
20000908,3,0.63,2.8,0.0,12.1,-2.7,-6.0,0.6,False
20000909,4,0.26,2.7,0.0,12.0,3.8,0.3,7.3,False
20000910,1,0.55,2.72,0.0,12.3,4.1,2.8,5.4,False
20000911,6,0.93,2.6,0.0,10.5,3.1,2.0,4.1,False
20000912,2,0.66,2.65,0.0,12.3,4.1,1.5,6.7,False
20000913,6,0.95,1.23,0.48,3.7,3.5,1.5,5.4,False
20000914,6,0.84,1.94,0.0,8.0,2.7,0.0,5.3,False
20000915,7,0.92,1.54,0.0,3.4,3.6,1.4,5.8,False
20000916,7,0.9,1.2,1.26,4.2,1.1,-2.0,4.2,False
20000917,8,0.98,1.23,0.23,0.5,-1.8,-3.7,0.2,False
20000918,5,0.98,1.41,0.0,5.0,-0.3,-2.4,1.8,False
20000919,6,0.94,1.0,0.08,3.0,0.4,-0.4,1.2,False
20000920,6,0.94,0.91,2.43,3.4,1.8,-0.2,3.7,False
20000921,8,0.97,1.26,1.63,0.6,-1.3,-5.2,2.6,False
20000922,8,0.96,1.04,0.0,0.0,-3.7,-5.3,-2.0,False
20000923,0,0.64,2.64,0.0,12.2,-3.7,-5.8,-1.6,False
20000924,3,0.67,2.6,0.0,12.5,-1.1,-2.5,0.4,False
20000925,5,0.8,1.69,0.0,6.6,-1.1,-2.6,0.5,False
20000926,5,0.79,2.22,0.0,7.4,1.8,-0.4,4.0,False
20000927,3,0.88,1.91,0.0,8.7,2.3,0.0,4.5,False
20000928,5,0.8,1.42,0.0,7.4,2.4,0.9,3.8,False
20000929,4,0.67,1.73,0.0,8.4,0.6,-0.7,1.9,False
20000930,8,0.98,0.66,0.57,0.0,-0.3,-1.6,1.0,False
20001001,8,1.0,0.85,1.9,0.0,-1.0,-2.1,0.2,False
20001002,8,0.97,1.05,0.78,0.0,-1.3,-2.2,-0.4,False
20001003,8,0.97,0.99,0.54,0.0,-3.4,-5.8,-1.0,False
20001004,8,0.99,1.35,0.1,0.0,0.1,-1.6,1.8,False
20001005,5,0.7,2.01,0.23,9.6,-0.4,-2.0,1.2,False
20001006,8,0.99,0.67,1.5,0.0,-4.3,-7.8,-0.8,False
20001007,8,0.98,0.94,3.43,0.0,-8.6,-9.9,-7.2,False
20001008,8,0.96,0.95,0.32,0.0,-6.0,-10.0,-1.9,False
20001009,6,0.97,1.07,0.91,0.1,-4.4,-6.2,-2.5,False
20001010,7,0.96,0.85,0.96,0.0,-5.7,-7.4,-3.9,False
20001011,8,0.97,0.74,2.7,0.0,-5.2,-6.7,-3.7,False
20001012,8,0.97,0.55,1.3,0.0,-2.3,-4.0,-0.6,False
20001013,8,0.98,0.38,0.49,0.0,-0.5,-1.2,0.2,False
20001014,5,0.98,0.64,0.04,0.0,1.0,-0.2,2.2,False
20001015,5,0.93,1.85,0.09,8.7,0.6,-0.4,1.6,False
20001016,6,0.97,1.18,0.0,2.1,-2.6,-5.0,-0.1,False
20001017,7,0.86,0.97,0.1,2.6,-1.9,-5.1,1.4,False
20001018,8,0.97,0.78,1.17,0.0,-3.0,-4.2,-1.7,False
20001019,8,0.95,0.88,0.37,0.0,-3.3,-4.5,-2.0,False
20001020,1,0.81,1.73,0.0,9.2,-1.9,-3.6,-0.2,False
20001021,1,0.38,1.75,0.0,10.6,-1.3,-3.9,1.3,False
20001022,1,0.51,1.72,0.0,10.0,-0.4,-1.5,0.8,False
20001023,0,0.31,1.72,0.0,10.2,0.6,-1.4,2.6,False
20001024,3,0.64,1.6,0.0,9.5,-0.8,-1.5,0.0,False
20001025,3,0.85,1.52,0.0,7.7,-1.5,-3.2,0.2,False
20001026,5,0.78,1.23,0.12,8.1,-1.7,-3.0,-0.4,False
20001027,3,0.85,1.42,0.19,7.1,-4.9,-6.8,-3.0,False
20001028,4,0.89,1.33,0.0,7.8,-3.2,-5.6,-0.8,False
20001029,3,0.88,1.25,0.0,7.8,-1.8,-3.4,-0.1,False
20001030,5,0.99,0.74,0.64,0.5,-4.6,-5.8,-3.3,False
20001031,8,0.98,0.32,1.88,0.0,-3.3,-4.0,-2.6,False
20001101,7,0.96,1.08,0.0,1.5,-6.5,-9.3,-3.7,False
20001102,7,0.97,0.8,1.01,0.0,-8.6,-10.2,-7.0,False
20001103,8,0.98,0.37,3.29,0.0,-5.7,-7.6,-3.7,False
20001104,8,0.96,0.84,0.92,0.0,-7.6,-11.3,-3.8,False
20001105,6,0.94,0.98,0.95,3.6,-10.1,-11.6,-8.6,False
20001106,8,0.94,0.39,3.24,0.0,-8.1,-10.6,-5.6,False
20001107,8,0.94,0.67,1.76,0.0,-7.3,-9.0,-5.6,False
20001108,8,0.94,0.68,0.47,0.0,-9.2,-9.6,-8.8,False
20001109,5,0.94,1.27,0.03,7.7,-10.7,-11.9,-9.4,False
20001110,5,0.9,0.8,0.04,0.2,-9.6,-11.8,-7.4,False
20001111,5,0.76,1.22,0.0,6.4,-11.6,-12.9,-10.2,False
20001112,5,0.76,1.2,0.28,8.7,-8.0,-10.4,-5.5,False
20001113,7,0.97,0.71,0.62,0.0,-5.2,-7.0,-3.4,False
20001114,8,0.97,0.28,1.14,0.0,-3.0,-4.0,-2.0,False
20001115,7,0.96,0.66,1.8,0.0,-5.1,-7.5,-2.6,False
20001116,8,0.97,0.35,2.07,0.0,-5.4,-7.7,-3.0,False
20001117,8,0.97,0.35,1.73,0.0,-4.5,-6.0,-3.0,False
20001118,8,0.97,0.48,1.24,0.0,-7.2,-8.6,-5.8,False
20001119,2,0.65,0.96,0.0,5.9,-9.0,-11.4,-6.5,False
20001120,7,0.87,0.52,1.63,1.3,-8.6,-9.5,-7.6,False
20001121,8,0.97,0.4,2.04,0.9,-7.6,-9.1,-6.0,False
20001122,5,0.84,0.55,0.0,1.6,-7.8,-9.6,-6.0,False
20001123,6,0.95,0.59,0.0,0.0,-6.1,-7.2,-4.9,False
20001124,8,0.97,0.33,1.07,0.0,-6.4,-7.3,-5.5,False
20001125,8,0.97,0.53,0.58,0.0,-7.6,-9.5,-5.7,False
20001126,6,0.86,0.84,1.33,5.0,-11.1,-12.8,-9.4,False
20001127,8,0.97,0.67,0.44,0.0,-13.6,-14.8,-12.4,False
20001128,7,0.94,0.59,0.33,0.0,-8.2,-14.0,-2.3,False
20001129,3,0.27,0.92,0.0,6.6,-0.3,-2.3,1.7,False
20001130,5,0.3,0.68,0.0,0.8,-0.5,-1.9,1.0,False
20001201,1,0.39,0.93,0.0,8.6,-2.0,-2.7,-1.3,False
20001202,6,0.51,0.61,0.0,2.5,-3.8,-5.1,-2.5,False
20001203,6,0.88,0.61,0.06,0.0,-4.6,-6.2,-3.0,False
20001204,2,0.78,0.89,0.0,8.0,-4.8,-6.2,-3.4,False
20001205,1,0.59,0.88,0.0,8.8,-5.2,-7.2,-3.2,False
20001206,1,0.22,0.88,0.0,8.5,-2.2,-4.2,-0.2,False
20001207,6,0.87,0.78,0.0,7.3,-3.7,-6.6,-0.7,False
20001208,8,0.98,0.37,0.93,0.0,-4.9,-5.7,-4.0,False
20001209,8,0.98,0.34,0.27,0.0,-5.2,-6.3,-4.0,False
20001210,3,0.94,0.87,0.85,6.7,-7.4,-8.4,-6.3,False
20001211,5,0.69,0.78,0.16,5.7,-6.1,-8.2,-3.9,False
20001212,3,0.76,0.67,0.0,4.3,-3.4,-4.8,-1.9,False
20001213,6,0.78,0.49,0.0,2.2,-2.4,-4.7,0.0,False
20001214,6,0.8,0.54,0.61,1.3,-7.0,-9.4,-4.6,False
20001215,8,0.97,0.32,3.62,0.0,-10.8,-14.3,-7.2,False
20001216,7,0.94,0.54,0.49,0.0,-15.3,-16.5,-14.0,False
20001217,6,0.95,0.72,0.21,0.0,-14.0,-16.3,-11.6,False
20001218,3,0.94,0.8,0.38,1.9,-13.4,-15.5,-11.2,False
20001219,8,0.96,0.47,1.77,0.0,-10.7,-13.0,-8.4,False
20001220,0,0.6,0.91,0.0,7.7,-11.8,-13.9,-9.7,False
20001221,0,0.22,0.9,0.0,8.7,-11.0,-13.0,-9.0,False
20001222,0,0.24,0.9,0.0,8.8,-10.3,-11.5,-9.0,False
20001223,1,0.24,0.87,0.0,8.8,-7.9,-10.5,-5.3,False
20001224,2,0.39,0.89,0.0,7.5,-8.4,-10.5,-6.2,False
20001225,7,0.97,0.32,1.08,0.0,-9.3,-10.8,-7.8,False
