DATE,MAASTRICHT_cloud_cover,MAASTRICHT_wind_speed,MAASTRICHT_wind_gust,MAASTRICHT_humidity,MAASTRICHT_pressure,MAASTRICHT_global_radiation,MAASTRICHT_precipitation,MAASTRICHT_sunshine,MAASTRICHT_temp_mean,MAASTRICHT_temp_min,MAASTRICHT_temp_max,MAASTRICHT_picnic_weather
20000224,8,5.2,13.0,0.91,1.022,0.24,0.86,0.4,7.8,5.0,10.2,False
20000225,4,5.3,18.0,0.8,1.0256,0.82,0.59,4.4,6.1,-0.1,11.4,False
20000226,2,2.7,8.0,0.78,1.0318,1.18,0.0,8.0,3.0,-1.1,8.2,False
20000227,4,5.5,14.0,0.69,1.023,1.22,0.0,9.0,8.0,-0.4,14.3,False
20000228,6,8.2,18.0,0.81,1.0139,0.19,0.84,0.8,9.0,5.0,13.7,False
20000229,6,8.4,20.0,0.85,1.0074,0.63,0.12,1.5,6.4,4.1,8.8,False
20000301,7,4.8,15.0,0.89,1.006,0.66,0.63,2.2,4.8,2.2,7.4,False
20000302,6,7.6,19.0,0.82,1.0187,0.79,0.06,3.3,4.2,-0.3,7.0,False
20000303,7,9.1,22.0,0.92,1.0065,0.18,1.16,0.2,5.4,2.1,9.2,False
20000304,6,4.3,18.0,0.94,1.0226,0.96,0.3,4.1,1.2,-0.7,4.5,False
20000305,6,4.0,11.0,0.81,1.0323,0.91,0.06,3.9,2.9,-2.8,6.5,False
20000306,5,6.8,14.0,0.68,1.0287,1.3,0.0,7.4,6.3,0.8,9.5,False
20000307,8,8.0,17.0,0.85,1.0239,0.42,0.34,0.4,8.3,6.0,11.5,False
20000308,8,8.6,16.0,0.93,1.0213,0.14,0.52,0.4,10.1,7.8,11.4,False
20000309,8,6.2,15.0,0.89,1.0227,0.2,0.2,0.0,10.7,8.8,12.3,False
20000310,8,4.1,14.0,0.9,1.0255,0.37,0.02,0.0,8.1,5.9,11.1,False
20000311,7,5.6,14.0,0.86,1.0196,0.4,0.14,0.3,8.2,6.1,10.0,False
20000312,7,1.9,5.0,0.82,1.0266,0.66,0.0,0.7,7.0,5.3,9.8,False
20000313,7,4.2,10.0,0.85,1.0256,0.83,0.0,2.3,7.9,2.6,10.9,False
20000314,7,5.6,15.0,0.89,1.0209,0.29,0.27,0.0,8.2,3.7,12.3,False
20000315,6,4.5,11.0,0.73,1.03,1.2,0.0,5.8,5.1,1.3,8.3,False
20000316,8,4.1,11.0,0.91,1.0305,0.27,0.0,0.0,7.7,5.5,9.7,False
20000317,8,4.1,10.0,0.88,1.0298,0.34,0.03,0.0,7.5,5.1,10.6,False
20000318,8,4.3,12.0,0.88,1.0294,0.46,0.12,0.7,6.1,3.3,8.3,False
20000319,7,2.3,7.0,0.94,1.0332,0.38,0.01,1.2,3.8,0.8,6.3,False
20000320,5,1.6,5.0,0.84,1.0295,1.61,0.0,7.2,4.1,-0.7,9.9,False
20000321,2,2.1,5.0,0.8,1.0228,1.78,0.0,10.8,6.3,0.4,12.4,False
20000322,1,2.6,7.0,0.65,1.017,1.82,0.0,10.7,9.8,1.1,16.2,False
20000323,6,2.6,7.0,0.68,1.0132,1.42,0.0,7.9,9.9,2.3,15.4,False
20000324,8,3.5,9.0,0.89,1.0093,0.33,0.38,0.0,9.9,7.9,11.3,False
20000325,7,4.8,11.0,0.86,1.0127,0.85,0.11,2.5,9.4,6.7,12.4,False
20000326,6,3.1,16.0,0.89,1.0093,1.22,1.08,5.4,6.1,3.2,10.4,False
20000327,7,3.1,10.0,0.92,1.0096,1.1,0.15,1.6,5.6,2.5,8.1,False
20000328,8,5.2,10.0,0.93,1.0157,0.32,0.17,0.0,3.4,2.3,5.0,False
20000329,8,6.0,13.0,0.94,1.0123,0.39,0.03,0.0,5.4,2.6,7.0,False
20000330,8,4.2,10.0,0.97,1.0096,0.18,0.21,0.0,6.1,5.2,6.8,False
20000331,8,2.0,5.0,0.94,1.007,0.49,0.0,0.0,5.7,2.8,7.8,False
20000401,7,3.1,9.0,0.9,1.0045,0.91,0.14,2.0,6.1,3.9,9.0,False
20000402,7,4.3,9.0,0.72,1.0012,1.7,0.02,6.8,10.2,6.1,14.6,False
20000403,6,3.5,14.0,0.74,0.9908,0.73,0.01,0.8,10.7,4.6,15.0,False
20000404,6,4.1,10.0,0.76,0.9923,1.71,0.04,6.6,10.8,6.5,16.7,False
20000405,7,6.8,13.0,0.76,1.0108,0.75,0.05,0.6,4.7,1.1,7.1,False
20000406,1,4.1,11.0,0.64,1.0287,2.44,0.0,12.2,4.7,-1.7,10.0,False
20000407,2,2.5,8.0,0.66,1.0324,2.37,0.0,12.1,6.9,0.9,12.3,False
20000408,5,2.0,5.0,0.61,1.0233,1.91,0.0,8.1,8.3,0.2,13.2,False
20000409,6,6.0,13.0,0.6,1.0123,2.07,0.0,10.3,10.4,5.8,15.0,False
20000410,1,4.3,11.0,0.66,1.0102,2.42,0.0,12.3,7.3,2.4,12.5,False
20000411,5,3.2,12.0,0.65,0.9957,1.95,0.01,7.0,7.9,1.8,13.1,False
20000412,6,6.9,17.0,0.72,0.9903,1.63,0.2,5.2,6.8,4.3,10.3,False
20000413,6,7.6,19.0,0.81,0.9944,0.79,0.59,1.7,6.2,3.5,9.7,False
20000414,7,3.8,9.0,0.78,0.9998,1.78,0.12,4.9,8.3,4.1,12.7,False
20000415,7,7.6,21.0,0.79,0.9958,1.17,0.4,2.3,9.1,6.5,13.8,False
20000416,5,5.1,14.0,0.67,0.9994,2.22,0.0,7.5,9.6,5.5,15.6,False
20000417,7,6.6,18.0,0.75,1.0011,1.52,0.28,4.2,10.7,8.2,14.5,False
20000418,7,4.5,11.0,0.74,1.0086,1.65,0.0,3.9,10.3,7.2,14.6,False
20000419,5,4.2,10.0,0.76,1.0107,1.6,0.0,5.4,11.3,5.4,16.5,False
20000420,6,3.7,10.0,0.65,1.0134,2.24,0.0,8.2,13.5,6.0,19.4,True
20000421,6,3.9,12.0,0.59,1.0148,2.36,0.0,10.6,15.0,9.9,19.9,True
20000422,7,3.2,11.0,0.75,1.0107,1.32,1.11,1.8,15.0,9.3,22.0,False
20000423,8,2.5,8.0,0.97,1.0096,0.68,0.93,0.1,12.1,9.1,14.1,False
20000424,5,2.6,7.0,0.79,1.0137,2.03,0.04,5.9,11.9,8.7,16.8,False
20000425,4,3.8,11.0,0.66,1.0116,2.81,0.0,13.5,14.1,6.2,20.5,True
20000426,5,3.6,12.0,0.7,1.0086,2.16,0.0,7.7,16.5,10.3,23.0,True
20000427,7,2.9,8.0,0.79,1.009,1.62,0.0,4.0,16.6,11.2,21.3,True
20000428,6,3.3,9.0,0.77,1.0061,2.11,0.0,6.5,17.3,10.9,23.0,True
20000429,8,3.0,8.0,0.93,1.0161,0.42,0.41,0.0,12.3,11.2,14.4,False
20000430,6,2.3,6.0,0.89,1.021,1.53,0.0,2.6,14.0,11.1,17.6,False
20000501,7,3.3,9.0,0.86,1.021,1.25,0.0,1.8,14.7,12.2,18.2,True
20000502,8,4.5,10.0,0.96,1.0211,0.41,0.01,0.0,11.8,10.4,13.8,False
20000503,8,2.8,6.0,1.0,1.0197,0.32,0.3,0.0,11.4,9.9,12.8,False
20000504,6,2.5,6.0,0.88,1.0183,1.34,0.46,4.6,14.5,11.9,19.1,False
20000505,2,4.0,11.0,0.71,1.0142,2.71,0.0,12.3,17.8,9.8,23.9,True
20000506,3,4.0,11.0,0.68,1.0127,2.54,0.0,8.5,19.0,13.7,25.3,True
20000507,5,1.9,7.0,0.77,1.0145,1.72,0.0,5.2,17.5,10.7,22.8,True
20000508,4,1.7,13.0,0.81,1.0172,2.02,2.91,7.8,17.4,12.0,26.6,False
20000509,2,1.5,5.0,0.7,1.0172,2.89,0.0,13.6,19.7,11.8,25.8,True
20000510,5,2.5,10.0,0.76,1.0157,1.78,0.1,7.0,19.3,13.7,26.3,False
20000511,6,3.0,8.0,0.79,1.0167,1.82,0.05,4.3,18.5,14.9,23.9,False
20000512,6,2.8,8.0,0.84,1.0191,1.89,0.0,3.8,18.2,14.4,23.0,True
20000513,4,1.8,6.0,0.73,1.0214,2.42,0.0,9.6,19.2,14.9,24.3,True
20000514,0,1.6,5.0,0.57,1.0224,3.02,0.0,14.0,20.5,12.3,28.2,True
20000515,4,2.0,7.0,0.49,1.0188,3.07,0.0,13.6,22.0,13.1,28.5,True
20000516,4,3.3,10.0,0.58,1.0131,2.83,0.0,10.8,22.5,15.3,29.4,True
20000517,6,5.5,15.0,0.72,1.0121,1.85,0.21,4.1,15.0,11.9,18.0,False
20000518,6,5.6,16.0,0.78,1.0083,1.63,0.33,4.0,11.3,7.7,15.2,False
20000519,7,5.4,16.0,0.89,1.0082,0.97,0.83,0.9,9.4,7.2,13.7,False
20000520,5,3.2,9.0,0.75,1.0121,1.82,0.02,4.1,11.0,7.1,15.9,False
20000521,7,3.9,11.0,0.86,1.0076,0.99,0.62,1.1,10.6,7.7,13.7,False
20000522,7,4.0,9.0,0.87,1.0155,1.06,0.41,0.4,11.6,9.2,14.3,False
20000523,7,4.8,12.0,0.72,1.0178,1.95,0.0,4.8,15.2,8.9,19.6,True
20000524,8,3.5,9.0,0.93,1.0139,0.77,1.33,0.0,14.4,13.0,16.4,False
20000525,7,6.3,15.0,0.76,1.0117,1.5,0.2,4.1,13.9,9.5,16.8,False
20000526,6,4.1,14.0,0.65,1.0124,2.42,0.0,5.3,15.2,7.6,20.3,True
20000527,6,8.0,20.0,0.6,1.0107,2.19,0.04,6.5,13.1,10.6,17.2,False
20000528,6,8.9,29.0,0.76,1.0046,2.01,0.74,5.1,10.9,7.9,14.8,False
20000529,5,5.7,14.0,0.74,1.0134,2.37,0.46,7.3,10.7,6.8,14.6,False
20000530,7,2.8,6.0,0.84,1.0143,1.43,0.29,1.8,10.3,5.7,14.5,False
20000531,5,1.8,6.0,0.69,1.019,2.87,0.0,11.3,13.8,9.2,18.4,True
20000601,4,5.2,13.0,0.73,1.0201,2.57,0.0,7.4,16.8,11.5,23.3,True
20000602,2,2.7,9.0,0.74,1.0187,3.28,0.0,14.0,19.2,11.7,25.4,True
20000603,6,3.3,12.0,0.76,1.0166,2.67,1.02,7.7,20.8,14.6,28.2,False
20000604,7,3.9,10.0,0.79,1.0171,1.92,0.0,5.1,18.4,14.8,22.6,True
20000605,8,3.7,20.0,0.9,1.0164,0.44,1.24,0.0,13.1,10.9,15.1,False
20000606,7,4.5,10.0,0.81,1.0195,1.81,0.02,3.5,13.7,10.8,18.5,False
20000607,4,4.2,10.0,0.69,1.0232,2.54,0.0,9.2,13.8,9.0,17.8,False
20000608,1,3.4,12.0,0.62,1.0185,3.34,0.0,14.6,16.7,7.5,22.9,True
20000609,2,4.3,13.0,0.59,1.0113,3.2,0.0,13.6,23.2,12.9,30.0,True
20000610,7,2.6,8.0,0.78,1.0156,1.33,0.0,1.4,17.8,15.3,20.4,True
20000611,5,3.0,8.0,0.63,1.0189,2.87,0.0,9.5,16.6,12.2,21.3,True
20000612,4,4.5,11.0,0.73,1.026,3.17,0.0,12.6,16.8,9.6,22.8,True
20000613,2,3.6,10.0,0.72,1.0249,3.36,0.0,13.8,20.2,14.0,26.1,True
20000614,7,4.7,11.0,0.82,1.0241,1.42,0.0,1.9,17.7,13.7,21.8,True
20000615,5,4.3,11.0,0.78,1.0246,1.36,0.23,4.8,15.9,11.4,19.6,False
20000616,4,2.6,9.0,0.61,1.0285,3.0,0.0,9.9,14.4,10.4,19.0,True
20000617,1,2.6,6.0,0.53,1.0296,3.52,0.0,15.2,15.5,8.1,21.5,True
20000618,1,2.3,5.0,0.48,1.0251,3.34,0.0,14.5,22.1,12.3,30.0,True
20000619,0,3.8,11.0,0.48,1.0186,3.38,0.0,15.0,25.9,16.5,32.5,True
20000620,1,4.0,12.0,0.48,1.0135,3.33,0.0,13.9,26.9,19.1,33.3,True
20000621,5,4.3,11.0,0.69,1.0135,1.89,0.38,4.2,21.9,17.6,26.4,False
20000622,6,5.6,15.0,0.65,1.0154,2.62,0.01,5.9,17.9,14.7,21.4,False
20000623,7,6.4,14.0,0.72,1.017,1.38,0.04,1.5,15.9,13.6,18.8,False
20000624,7,4.8,11.0,0.85,1.0161,1.24,0.54,2.1,12.5,10.7,16.3,False
20000625,7,3.9,10.0,0.82,1.0195,1.72,0.35,2.1,12.7,10.6,16.2,False
20000626,5,3.6,11.0,0.67,1.0243,2.23,0.0,5.9,12.6,9.3,17.4,False
20000627,3,2.5,9.0,0.63,1.0233,3.23,0.0,12.9,13.3,5.8,19.0,True
20000628,4,2.9,7.0,0.63,1.0201,2.31,0.0,7.4,13.1,7.7,18.2,True
20000629,6,2.7,10.0,0.72,1.0203,2.02,0.0,3.2,12.6,7.7,17.4,False
20000630,7,1.5,4.0,0.79,1.0156,1.3,0.01,1.0,15.2,12.1,19.4,False
20000701,7,2.2,8.0,0.81,1.0101,1.82,0.13,5.5,17.9,14.2,23.2,False
20000702,6,2.2,14.0,0.77,1.01,2.27,1.6,6.0,20.4,15.2,26.6,False
20000703,6,2.2,6.0,0.85,1.0095,1.56,0.06,3.2,18.4,14.8,22.1,False
20000704,7,3.9,12.0,0.84,1.0062,1.72,1.87,1.8,17.3,12.7,22.1,False
20000705,7,5.8,15.0,0.83,1.0134,1.97,0.27,4.7,16.1,13.4,21.2,False
20000706,7,2.4,6.0,0.8,1.0188,1.64,0.0,3.9,17.0,14.4,20.5,True
20000707,8,5.5,15.0,0.86,1.0137,0.43,1.39,0.0,13.9,11.1,15.2,False
20000708,7,4.0,11.0,0.83,1.016,1.31,0.2,2.2,12.2,8.5,15.7,False
20000709,8,6.3,14.0,0.9,1.0023,0.82,0.64,0.0,13.5,11.8,15.3,False
20000710,7,8.1,17.0,0.81,0.9931,1.98,0.24,5.6,14.4,11.9,17.6,False
20000711,8,5.2,16.0,0.93,1.0008,0.51,3.59,0.5,12.3,10.7,15.3,False
20000712,5,3.7,8.0,0.89,1.0149,0.93,0.18,3.6,10.5,7.2,13.3,False
20000713,8,4.6,11.0,0.9,1.0113,0.71,0.18,0.0,13.7,10.5,16.6,False
20000714,7,4.0,11.0,0.9,1.0075,1.19,1.11,1.8,13.2,10.9,16.0,False
20000715,7,3.4,10.0,0.88,1.0107,1.55,0.48,3.4,12.0,10.1,15.3,False
20000716,7,2.8,8.0,0.9,1.0149,0.93,1.05,2.0,13.2,10.7,16.2,False
20000717,7,2.9,8.0,0.82,1.0194,1.53,0.0,2.0,14.1,11.8,17.5,False
20000718,6,3.4,9.0,0.72,1.0197,2.52,0.0,7.3,15.0,11.7,20.2,True
20000719,6,2.6,8.0,0.79,1.0204,1.3,0.05,1.4,15.4,12.0,19.3,False
20000720,4,3.3,9.0,0.7,1.0213,2.58,0.0,9.1,17.5,12.3,21.8,True
20000721,4,3.1,8.0,0.76,1.0236,2.95,0.0,9.8,15.8,12.1,21.1,True
20000722,6,2.0,5.0,0.86,1.0203,1.0,0.0,1.4,14.1,11.0,17.9,False
20000723,5,3.2,9.0,0.82,1.014,2.37,0.0,7.6,17.1,11.8,22.5,True
20000724,7,5.1,12.0,0.9,1.0036,0.66,1.16,0.2,16.5,14.6,19.9,False
20000725,8,4.6,11.0,0.95,1.0057,0.3,1.51,0.0,14.9,14.2,16.1,False
20000726,8,1.8,5.0,0.91,1.011,0.61,0.0,0.0,14.6,12.7,16.7,False
20000727,6,3.0,15.0,0.89,1.0142,1.14,0.98,1.1,16.0,11.1,21.1,False
20000728,7,3.5,10.0,0.86,1.0143,2.0,1.38,4.2,16.3,13.7,21.0,False
20000729,7,3.6,11.0,0.9,1.0169,1.03,0.11,1.0,15.6,13.2,19.6,False
20000730,5,3.8,12.0,0.89,1.0224,1.49,0.03,3.1,15.5,12.1,22.0,False
20000731,4,1.8,5.0,0.77,1.0236,2.72,0.0,9.2,18.8,13.8,24.8,True
20000801,3,3.4,10.0,0.64,1.018,2.79,0.0,10.5,22.3,15.4,28.1,True
20000802,5,4.7,12.0,0.7,1.0166,2.52,0.11,8.6,18.3,15.3,22.3,False
20000803,5,4.3,11.0,0.76,1.017,2.14,0.0,5.6,16.9,13.2,22.3,True
20000804,5,2.0,6.0,0.8,1.0209,1.44,0.02,2.2,16.5,11.5,21.1,False
20000805,4,2.1,7.0,0.8,1.0238,2.12,0.0,7.5,17.1,12.2,23.1,True
20000806,6,2.6,8.0,0.77,1.0228,2.15,0.0,4.6,18.2,12.5,24.6,True
20000807,7,2.3,6.0,0.79,1.0223,1.72,0.0,3.2,19.1,16.0,24.0,True
20000808,6,2.3,8.0,0.81,1.0207,1.87,0.24,4.4,18.5,14.8,23.8,False
20000809,4,1.6,6.0,0.78,1.0202,2.49,0.0,8.9,19.2,13.1,24.5,True
20000810,6,4.4,12.0,0.77,1.0164,2.04,0.0,5.6,19.4,16.6,22.9,True
20000811,4,2.5,7.0,0.7,1.0156,2.52,0.0,10.4,19.4,14.2,25.2,True
20000812,2,1.4,6.0,0.72,1.0149,2.47,0.0,11.4,20.1,13.3,26.4,True
20000813,0,2.0,5.0,0.65,1.0172,2.44,0.0,11.3,22.6,14.0,29.3,True
20000814,5,3.4,11.0,0.71,1.0183,2.1,0.06,6.7,23.0,18.8,27.7,False
20000815,7,3.3,8.0,0.81,1.0196,1.03,0.1,2.1,19.2,13.4,22.0,False
20000816,7,3.4,10.0,0.76,1.0161,1.57,0.59,3.1,18.6,13.3,23.2,False
20000817,6,4.1,11.0,0.77,1.0135,1.89,0.3,6.0,18.7,13.5,23.1,False
20000818,7,2.0,5.0,0.7,1.014,1.92,0.36,4.8,18.5,12.2,23.9,False
20000819,7,2.9,9.0,0.87,1.0123,1.49,0.5,3.4,19.0,16.2,23.1,False
20000820,7,1.7,8.0,0.87,1.012,1.04,1.47,1.8,19.1,17.0,22.3,False
20000821,7,2.2,10.0,0.8,1.0153,1.88,0.38,4.5,16.0,12.6,19.9,False
20000822,4,2.2,6.0,0.72,1.0206,2.48,0.0,10.1,16.4,11.7,22.2,True
20000823,2,3.3,8.0,0.74,1.0231,2.41,0.0,11.5,16.6,11.0,22.3,True
20000824,1,2.0,6.0,0.7,1.0233,2.37,0.0,11.7,18.3,11.2,24.8,True
20000825,2,3.5,8.0,0.75,1.0215,2.47,0.0,12.4,17.3,10.4,22.7,True
20000826,4,4.1,9.0,0.71,1.0115,2.4,0.0,11.8,20.8,12.6,29.0,True
20000827,6,2.8,11.0,0.87,1.0154,1.08,0.82,3.1,17.2,14.4,21.6,False
20000828,4,3.4,9.0,0.75,1.0197,2.0,0.0,8.5,16.0,11.4,20.6,True
20000829,5,2.7,8.0,0.71,1.0203,2.04,0.0,7.5,16.3,11.1,21.0,True
20000830,5,2.3,6.0,0.74,1.0175,2.09,0.0,8.7,15.8,11.0,20.7,True
20000831,3,2.0,5.0,0.73,1.0116,2.32,0.0,10.6,15.7,10.0,21.8,True
20000901,7,4.9,13.0,0.79,1.0046,0.97,0.35,2.6,15.6,12.1,19.2,False
20000902,7,5.0,17.0,0.9,1.0048,0.89,0.82,1.5,13.7,12.4,17.0,False
20000903,7,3.3,8.0,0.79,1.0143,1.08,0.01,2.8,14.1,12.3,17.2,False
20000904,7,3.0,7.0,0.81,1.0214,1.17,0.08,1.4,13.7,11.8,16.2,False
20000905,6,3.2,8.0,0.74,1.0227,1.88,0.0,6.7,14.6,11.2,18.5,True
20000906,7,5.5,13.0,0.88,1.012,0.36,0.51,0.0,14.2,12.3,15.7,False
20000907,6,4.2,10.0,0.78,1.0158,1.4,0.0,4.9,14.5,11.1,17.6,False
20000908,7,5.3,11.0,0.83,1.0209,1.41,0.0,3.0,17.5,13.4,21.2,True
20000909,5,2.3,8.0,0.81,1.0241,1.44,0.0,5.0,19.2,16.1,23.5,True
20000910,2,1.5,5.0,0.79,1.0228,1.73,0.0,7.7,19.3,13.6,25.2,True
20000911,2,2.7,7.0,0.76,1.0169,2.03,0.0,10.9,19.9,14.2,25.9,True
20000912,6,3.6,8.0,0.79,1.0113,1.42,0.0,4.3,20.4,16.6,27.1,True
20000913,7,3.7,8.0,0.84,1.0138,0.79,0.0,1.1,16.4,13.8,19.5,True
20000914,5,2.4,6.0,0.8,1.0155,1.27,0.0,4.0,17.0,12.8,21.9,True
20000915,6,3.0,17.0,0.82,1.0107,1.27,1.14,4.7,17.9,12.4,23.9,False
20000916,8,6.3,14.0,0.93,1.0056,0.15,3.59,0.0,13.9,12.5,16.2,False
20000917,7,2.9,8.0,0.96,1.0109,0.21,0.41,0.0,14.0,11.1,15.7,False
20000918,3,3.3,8.0,0.83,1.0078,1.72,0.0,7.8,14.9,10.8,20.2,True
20000919,3,4.3,10.0,0.74,1.0022,1.9,0.0,10.7,17.7,11.2,23.3,True
20000920,8,1.8,7.0,0.9,1.0068,0.26,0.75,0.0,14.2,11.8,16.5,False
20000921,6,2.3,7.0,0.82,1.0165,1.41,0.0,6.0,14.0,9.8,19.5,True
20000922,4,2.5,7.0,0.81,1.0225,1.59,0.0,7.3,16.0,9.5,20.8,True
20000923,3,3.9,10.0,0.81,1.0221,1.78,0.0,10.5,14.9,10.3,19.4,True
20000924,6,3.3,9.0,0.78,1.0175,1.74,0.0,10.6,15.6,8.9,21.7,True
20000925,5,2.5,7.0,0.76,1.0217,1.49,0.0,8.0,16.0,12.7,19.8,True
20000926,4,3.3,9.0,0.75,1.0181,1.59,0.0,7.4,18.0,14.0,23.4,True
20000927,6,4.2,10.0,0.79,1.0152,1.03,0.0,3.9,16.5,14.3,20.1,True
20000928,8,4.0,10.0,0.81,1.0061,0.25,0.39,0.2,16.9,15.5,18.3,False
20000929,7,3.1,10.0,0.74,1.003,0.93,0.0,1.9,18.5,15.0,23.3,True
20000930,8,2.5,6.0,0.89,1.006,0.49,0.5,0.1,14.9,13.3,17.0,False
20001001,6,2.7,7.0,0.93,1.0065,0.53,1.97,3.2,13.2,10.6,16.1,False
20001002,6,4.5,10.0,0.86,1.0081,0.87,0.05,3.5,12.9,10.2,16.5,False
20001003,5,3.3,8.0,0.82,1.0213,1.23,0.01,6.0,12.9,9.7,17.3,False
20001004,7,3.1,8.0,0.88,1.0209,0.52,0.05,0.8,12.6,9.6,15.4,False
