DATE,TOURS_wind_speed,TOURS_humidity,TOURS_pressure,TOURS_global_radiation,TOURS_precipitation,TOURS_temp_mean,TOURS_temp_min,TOURS_temp_max,TOURS_picnic_weather
20000801,2.9,0.65,1.0175,2.92,0.0,22.8,14.5,31.1,True
20000802,4.5,0.65,1.0206,2.52,0.0,19.6,14.8,24.4,True
20000803,3.9,0.78,1.0198,2.41,0.06,18.4,13.2,23.6,False
20000804,3.4,0.84,1.0224,1.4,0.28,17.2,13.4,21.0,False
20000805,3.5,0.73,1.0245,2.49,0.02,17.3,11.4,23.3,False
20000806,3.0,0.77,1.025,2.23,0.0,17.2,10.9,23.6,True
20000807,2.0,0.75,1.0237,2.2,0.0,19.7,13.1,26.3,True
20000808,1.8,0.74,1.0211,1.61,0.0,20.0,14.2,25.9,True
20000809,2.1,0.66,1.0195,2.6,0.0,22.4,15.4,29.5,True
20000810,1.8,0.69,1.0174,3.0,0.02,21.0,13.0,29.0,False
20000811,3.1,0.62,1.0135,2.7,0.0,23.1,15.4,30.8,True
20000812,3.6,0.7,1.0135,2.49,0.0,23.2,16.4,30.0,True
20000813,2.9,0.74,1.0172,2.42,0.0,22.8,16.6,28.9,True
20000814,4.4,0.73,1.0208,2.29,0.0,22.8,16.9,28.7,True
20000815,3.2,0.69,1.0215,2.66,0.0,22.2,18.2,26.2,True
20000816,2.0,0.68,1.0167,2.81,0.0,19.8,11.9,27.6,True
20000817,3.2,0.69,1.0153,2.18,0.0,20.8,15.1,26.5,True
20000818,1.8,0.66,1.0118,1.82,0.0,20.5,14.3,26.7,True
20000819,2.4,0.81,1.0127,0.91,1.08,19.0,15.3,22.8,False
20000820,2.5,0.92,1.0131,0.76,0.62,16.6,14.0,19.3,False
20000821,2.0,0.82,1.0167,1.48,0.02,15.3,10.7,19.9,False
20000822,4.0,0.71,1.0166,2.59,0.0,16.6,9.2,24.0,True
20000823,5.0,0.68,1.0164,2.43,0.0,20.8,13.4,28.2,True
20000824,4.4,0.6,1.0177,2.48,0.0,24.2,15.7,32.8,True
20000825,5.0,0.56,1.0125,2.18,0.0,26.2,18.0,34.4,True
20000826,4.6,0.8,1.0121,1.27,0.38,20.6,16.9,24.3,False
20000827,3.8,0.76,1.0191,2.06,0.0,19.0,14.8,23.3,True
20000828,3.0,0.7,1.021,2.05,0.0,17.5,12.3,22.7,True
20000829,1.5,0.68,1.018,2.28,0.0,17.7,10.6,24.8,True
20000830,4.5,0.81,1.0126,0.91,3.8,18.4,14.1,22.8,False
20000831,2.9,0.76,1.0113,2.37,0.0,18.2,12.6,23.8,True
20000901,5.5,0.77,1.0087,1.77,0.38,17.1,13.5,20.7,False
20000902,4.8,0.82,1.0124,1.18,0.36,16.8,13.5,20.1,False
20000903,2.4,0.84,1.0182,1.38,0.28,15.8,11.3,20.2,False
20000904,1.8,0.73,1.0238,2.16,0.0,13.6,7.5,19.7,True
20000905,1.4,0.71,1.0236,2.22,0.0,14.0,6.7,21.4,True
20000906,4.4,0.84,1.0172,0.95,0.02,17.2,13.4,21.0,False
20000907,2.1,0.71,1.019,2.27,0.0,17.8,13.1,22.5,True
20000908,2.2,0.72,1.0215,2.28,0.0,20.1,14.4,25.8,True
20000909,3.6,0.7,1.0222,2.28,0.0,20.7,14.2,27.2,True
20000910,3.0,0.7,1.019,2.29,0.0,22.1,14.9,29.3,True
20000911,2.1,0.7,1.0134,2.13,0.0,23.0,15.2,30.9,True
20000912,2.9,0.86,1.0137,0.98,0.0,19.0,16.4,21.5,True
20000913,1.1,0.82,1.0151,0.79,0.0,17.4,14.6,20.3,True
20000914,1.4,0.8,1.0157,1.14,0.0,18.8,15.4,22.1,True
20000915,4.6,0.78,1.0122,1.93,0.06,18.6,10.8,26.4,False
20000916,3.5,0.78,1.0163,1.55,0.02,15.8,10.9,20.6,False
20000917,1.5,0.8,1.0139,1.47,0.02,13.8,7.8,19.8,False
20000918,4.2,0.76,1.0057,1.56,0.32,15.1,8.3,21.9,False
20000919,3.6,0.92,0.9985,0.37,1.26,14.4,13.1,15.6,False
20000920,4.0,0.82,1.0076,1.5,0.04,13.9,9.0,18.8,False
20000921,3.9,0.83,1.0177,1.1,0.02,13.0,6.9,19.2,False
20000922,2.9,0.74,1.0207,1.5,0.0,19.6,14.3,24.8,True
20000923,4.0,0.69,1.0149,1.97,0.0,20.2,13.9,26.5,True
20000924,2.8,0.84,1.0175,0.65,0.02,15.6,12.7,18.6,False
20000925,1.5,0.76,1.0211,1.68,0.02,16.4,10.2,22.7,False
20000926,3.2,0.76,1.0176,1.67,0.0,18.2,10.7,25.6,True
20000927,3.6,0.77,1.0164,1.19,0.38,16.2,11.2,21.3,False
20000928,4.8,0.92,1.0041,0.29,0.56,15.8,15.1,16.5,False
20000929,3.0,0.88,1.0011,0.7,0.02,15.2,13.3,17.1,False
20000930,2.9,0.86,1.0059,1.13,0.04,14.6,10.7,18.4,False
20001001,3.9,0.88,1.0071,0.83,0.14,12.0,6.9,17.0,False
20001002,5.5,0.75,1.0154,0.73,0.0,13.0,10.0,16.1,False
20001003,1.6,0.72,1.0215,1.53,0.0,13.9,8.7,19.1,True
20001004,1.4,0.93,1.0205,0.46,1.7,14.5,12.4,16.6,False
20001005,3.0,0.89,1.0215,1.15,0.06,12.7,9.1,16.3,False
20001006,2.5,0.82,1.0269,1.42,0.0,10.2,4.4,16.0,False
20001007,2.6,0.79,1.0246,1.14,0.0,10.8,5.8,15.8,False
20001008,3.9,0.93,1.0185,0.49,0.42,13.2,11.2,15.3,False
20001009,6.0,0.85,1.0072,0.91,1.5,11.0,8.0,14.1,False
20001010,7.6,0.82,0.9942,0.96,1.22,10.8,7.3,14.4,False
20001011,5.8,0.83,0.9865,1.15,0.56,13.0,9.8,16.1,False
20001012,5.5,0.87,0.9968,0.78,0.1,12.2,8.7,15.7,False
20001013,1.9,0.92,1.012,0.86,0.04,11.0,7.0,15.0,False
20001014,0.8,0.93,1.0157,0.61,0.0,8.4,3.6,13.3,False
20001015,2.0,0.9,1.0089,0.45,0.78,11.0,8.3,13.6,False
20001016,2.6,0.96,1.0123,0.23,1.5,10.8,9.7,11.9,False
20001017,0.9,0.84,1.0252,1.39,0.02,10.4,4.9,15.8,False
20001018,4.1,0.95,1.0206,0.44,1.14,11.0,6.2,15.7,False
20001019,2.1,0.96,1.019,0.29,0.2,13.4,12.6,14.2,False
20001020,3.1,0.95,1.0127,0.21,1.1,14.7,13.4,16.0,False
20001021,2.6,0.9,1.0196,0.37,0.24,15.6,14.4,16.9,False
20001022,3.0,0.84,1.0237,0.65,0.02,16.6,13.2,20.0,False
20001023,3.1,0.92,1.0225,0.54,0.02,14.5,11.1,17.9,False
20001024,1.5,0.89,1.0234,0.98,0.02,11.6,8.3,15.0,False
20001025,3.5,0.96,1.0159,0.26,0.44,11.2,6.7,15.6,False
20001026,2.5,0.85,1.0198,0.94,0.0,12.2,9.3,15.2,False
20001027,4.1,0.82,1.0212,0.56,0.0,11.2,7.9,14.6,False
20001028,5.6,0.79,1.0147,0.61,0.2,14.0,11.3,16.7,False
20001029,7.5,0.79,1.015,0.95,0.02,12.0,9.0,15.1,False
20001030,8.4,0.87,0.9997,0.16,1.58,10.4,7.5,13.3,False
20001031,6.2,0.84,1.0032,0.88,0.06,11.2,7.6,14.7,False
20001101,5.8,0.9,1.0052,0.49,0.64,10.2,7.5,12.8,False
20001102,6.1,0.82,0.9977,0.43,0.42,11.4,9.3,13.4,False
20001103,4.8,0.87,1.0016,0.75,0.16,9.6,6.9,12.3,False
20001104,2.2,0.86,1.0121,0.92,0.04,8.2,4.3,12.1,False
20001105,6.1,0.84,0.999,0.64,1.9,7.9,2.4,13.4,False
20001106,7.6,0.88,0.9762,0.42,0.98,9.2,7.6,10.9,False
20001107,6.1,0.86,0.9852,0.33,0.04,8.4,6.1,10.7,False
20001108,4.1,0.9,0.9958,0.32,0.12,8.7,7.0,10.4,False
20001109,3.0,0.83,1.0112,0.97,0.0,8.4,5.0,11.9,False
20001110,3.1,0.83,1.021,0.92,0.02,7.2,2.5,11.8,False
20001111,5.2,0.73,1.0175,0.78,0.0,9.9,6.5,13.3,False
20001112,5.8,0.88,1.0031,0.1,1.36,9.8,8.3,11.2,False
20001113,3.2,0.92,1.0017,0.57,0.04,10.0,7.7,12.4,False
20001114,4.1,0.88,1.0072,0.7,0.28,8.0,5.0,11.1,False
20001115,3.6,0.9,1.0138,0.63,0.0,6.8,2.8,10.9,False
20001116,4.5,0.93,1.0112,0.2,0.36,7.2,5.0,9.5,False
20001117,3.2,0.9,1.0167,0.67,0.02,5.2,1.0,9.4,False
20001118,4.6,0.91,1.0164,0.43,0.42,7.6,3.7,11.6,False
20001119,5.9,0.87,1.0047,0.51,0.4,10.2,8.5,12.0,False
20001120,4.4,0.88,1.0037,0.44,0.04,6.0,3.7,8.4,False
20001121,6.5,0.92,1.0024,0.14,1.38,8.2,4.4,12.1,False
20001122,3.4,0.92,1.0051,0.24,1.12,10.0,8.4,11.5,False
20001123,4.9,0.92,1.0015,0.23,0.08,9.8,7.4,12.2,False
20001124,3.6,0.91,1.0103,0.66,0.5,6.8,2.5,11.0,False
20001125,5.8,0.93,1.0043,0.09,1.68,10.0,7.7,12.3,False
20001126,5.4,0.85,1.0096,0.57,0.14,8.0,4.4,11.6,False
20001127,4.2,0.95,1.0146,0.15,0.36,10.4,6.6,14.2,False
20001128,3.4,0.9,1.0126,0.38,0.0,13.0,10.8,15.2,False
20001129,4.0,0.81,1.0096,0.33,0.1,13.3,10.1,16.5,False
20001130,3.6,0.92,1.0127,0.31,0.02,10.2,6.5,13.8,False
20001201,5.9,0.86,1.0103,0.17,0.7,12.8,11.1,14.6,False
20001202,3.1,0.96,1.0129,0.13,2.16,10.0,8.7,11.4,False
20001203,2.9,0.93,1.0189,0.48,0.02,7.8,4.3,11.2,False
20001204,5.1,0.82,1.0131,0.46,0.08,9.1,4.8,13.4,False
20001205,5.6,0.81,1.0091,0.18,0.38,11.2,8.0,14.4,False
20001206,4.4,0.87,1.0096,0.23,0.46,13.0,11.3,14.6,False
20001207,6.2,0.81,0.9966,0.13,0.38,13.1,7.7,18.5,False
20001208,6.2,0.82,1.006,0.45,0.04,11.2,8.8,13.7,False
20001209,5.8,0.84,1.0139,0.48,0.4,10.0,7.6,12.4,False
20001210,7.6,0.85,1.0183,0.26,0.06,11.4,8.4,14.5,False
20001211,5.6,0.85,1.0242,0.23,0.08,11.4,8.8,14.0,False
20001212,6.0,0.74,1.0193,0.26,0.08,11.9,10.3,13.5,False
20001213,6.5,0.79,1.0204,0.42,2.16,11.7,9.8,13.6,False
20001214,5.2,0.93,1.0109,0.14,0.8,8.4,7.2,9.7,False
20001215,3.8,0.89,1.0138,0.48,0.04,5.6,2.8,8.5,False
20001216,3.4,0.94,1.0162,0.2,0.1,4.0,0.6,7.4,False
20001217,3.1,0.9,1.0157,0.43,0.28,6.0,3.1,9.0,False
20001218,4.1,0.88,1.0159,0.34,0.02,8.9,6.5,11.3,False
20001219,3.4,0.9,1.016,0.36,0.02,9.5,6.8,12.2,False
