DATE,MALMO_wind_speed,MALMO_precipitation,MALMO_temp_mean,MALMO_temp_min,MALMO_temp_max,MALMO_picnic_weather
20000207,5.3,0.17,5.8,4.8,7.3,False
20000208,5.1,0.41,5.5,4.5,6.3,False
20000209,5.6,0.02,3.9,3.4,5.3,False
20000210,5.0,0.26,4.4,1.3,6.3,False
20000211,4.5,0.0,4.5,3.1,5.9,False
20000212,5.3,0.24,4.3,3.2,5.5,False
20000213,5.7,0.0,2.8,1.3,5.1,False
20000214,5.2,0.3,1.7,-0.1,4.1,False
20000215,3.7,0.05,3.5,-0.5,6.8,False
20000216,2.4,0.24,2.6,1.7,4.1,False
20000217,2.2,0.0,1.3,0.5,3.3,False
20000218,3.2,0.0,0.3,-1.8,1.6,False
20000219,3.5,0.0,1.7,1.0,2.4,False
20000220,1.2,0.0,1.0,-0.9,3.6,False
20000221,0.9,0.0,-1.6,-5.8,3.8,False
20000222,1.2,0.0,-1.5,-4.6,2.0,False
20000223,1.5,0.0,-0.9,-4.5,3.5,False
20000224,4.5,0.43,3.0,-0.8,6.1,False
20000225,5.1,0.0,4.0,2.0,6.5,False
20000226,3.5,0.0,4.2,2.0,6.7,False
20000227,4.5,0.0,3.3,0.0,6.3,False
20000228,5.6,0.0,6.8,4.9,9.7,False
20000229,5.1,0.26,4.9,3.6,6.4,False
20000301,6.4,0.07,5.3,3.5,7.4,False
20000302,6.3,0.56,3.5,2.2,6.0,False
20000303,8.4,0.16,5.0,2.3,7.1,False
20000304,6.2,0.05,1.7,-1.1,4.8,False
20000305,4.9,0.07,1.3,0.1,3.2,False
20000306,6.8,0.42,4.0,0.3,6.1,False
20000307,3.8,1.33,4.9,3.0,7.4,False
20000308,4.8,0.36,5.5,2.6,8.6,False
20000309,5.8,0.0,3.9,2.2,7.6,False
20000310,3.5,0.23,2.3,0.3,4.3,False
20000311,3.6,1.1,0.7,0.1,2.1,False
20000312,1.5,0.11,0.7,-3.8,3.3,False
20000313,3.4,0.05,4.7,1.6,7.1,False
20000314,4.6,0.2,5.2,4.2,7.1,False
20000315,5.4,0.0,3.5,2.4,5.3,False
20000316,3.1,0.03,2.9,0.9,5.5,False
20000317,2.8,0.0,2.4,-0.7,5.8,False
20000318,1.5,0.0,2.7,-2.4,6.6,False
20000319,1.9,0.0,4.3,-1.9,9.8,False
20000320,4.2,0.0,7.6,3.8,11.9,False
20000321,3.8,0.0,7.6,4.2,13.1,False
20000322,2.6,0.0,5.8,4.7,8.5,False
20000323,2.8,0.0,4.7,3.1,7.6,False
20000324,2.2,0.0,2.1,-4.1,7.5,False
20000325,3.1,0.13,3.2,-0.1,4.1,False
20000326,3.7,0.1,4.0,3.3,4.8,False
20000327,4.6,0.79,2.8,1.1,5.3,False
20000328,6.1,0.05,2.4,-0.3,5.6,False
20000329,4.2,0.0,3.1,-1.6,7.8,False
20000330,3.8,0.0,4.5,1.0,9.5,False
20000331,1.3,0.0,4.7,-1.2,10.4,False
20000401,2.5,0.0,5.5,2.9,8.6,False
20000402,1.4,0.0,5.8,3.1,10.4,False
20000403,4.3,0.0,5.8,0.2,11.8,False
20000404,2.5,0.7,7.0,5.9,9.2,False
20000405,5.8,0.0,3.2,1.9,8.2,False
20000406,3.6,0.0,5.4,-1.6,10.2,False
20000407,3.7,0.0,7.4,5.5,10.8,False
20000408,1.3,0.0,4.1,-2.7,10.3,False
20000409,1.6,0.0,2.5,-3.5,7.1,False
20000410,1.7,0.0,5.5,2.8,9.6,False
20000411,2.8,0.0,6.2,3.1,10.8,False
20000412,2.5,1.52,5.2,1.2,8.6,False
20000413,4.4,0.0,6.5,3.7,9.8,False
20000414,3.3,0.0,6.1,4.7,9.1,False
20000415,2.5,0.9,6.4,3.2,10.0,False
20000416,2.5,0.0,8.8,6.6,12.4,False
20000417,4.0,0.03,9.4,3.7,14.0,False
20000418,1.6,0.0,9.6,5.5,13.9,False
20000419,2.5,0.07,10.4,4.0,16.9,False
20000420,1.1,0.0,10.4,5.8,16.5,False
20000421,2.2,0.0,11.0,4.3,15.7,False
20000422,2.7,0.0,12.3,5.1,18.1,True
20000423,2.7,0.0,14.9,10.8,20.7,True
20000424,3.0,0.04,13.9,9.5,20.6,False
20000425,2.7,0.0,11.5,9.1,14.5,False
20000426,3.8,0.0,10.4,3.4,16.1,False
20000427,4.2,0.0,15.3,8.3,21.5,True
20000428,4.9,0.0,17.5,11.6,23.4,True
20000429,4.8,0.0,20.4,15.2,25.2,True
20000430,1.9,0.0,20.2,14.2,26.1,True
20000501,5.0,0.0,14.2,10.6,20.7,True
20000502,4.7,0.0,11.6,7.5,16.5,False
20000503,1.9,0.0,12.3,4.6,18.1,True
20000504,1.4,0.0,12.7,6.2,19.2,True
20000505,1.1,0.0,11.1,4.2,17.0,False
20000506,2.7,0.0,12.4,3.7,21.0,True
20000507,2.4,0.0,11.1,4.2,17.2,False
20000508,1.8,0.0,13.3,1.4,22.1,True
20000509,2.6,0.0,14.3,5.4,21.5,True
20000510,1.7,0.0,14.9,5.6,22.5,True
20000511,2.3,0.0,14.6,7.9,21.0,True
20000512,1.5,0.0,10.4,3.6,16.5,False
20000513,2.3,0.0,13.4,5.4,19.7,True
20000514,1.0,0.0,16.6,5.9,23.2,True
20000515,1.7,0.0,18.4,8.6,25.5,True
20000516,2.5,0.0,18.5,8.3,25.5,True
20000517,3.4,1.8,18.4,13.6,26.2,False
20000518,2.4,0.0,12.9,9.1,16.2,False
20000519,2.2,0.0,12.8,10.5,15.8,False
20000520,1.0,0.13,11.9,6.1,17.1,False
20000521,1.7,0.06,12.7,7.7,17.5,False
20000522,1.2,0.0,12.9,8.1,16.8,False
20000523,3.0,0.11,13.0,7.6,16.7,False
20000524,3.0,0.95,13.9,12.3,16.6,False
20000525,4.5,0.21,13.0,9.8,16.1,False
20000526,4.4,0.0,12.9,9.4,16.6,False
20000527,4.5,0.28,13.4,9.1,17.4,False
20000528,4.7,0.01,12.7,9.1,16.8,False
20000529,6.4,0.02,10.7,9.0,15.2,False
20000530,3.9,0.0,11.1,8.8,14.1,False
20000531,2.8,0.0,11.4,6.9,15.7,False
20000601,2.3,0.4,12.3,5.8,18.0,False
20000602,4.6,0.0,15.1,12.8,18.0,True
20000603,2.6,0.0,13.0,9.8,16.6,False
20000604,1.4,0.05,10.0,5.4,14.7,False
20000605,2.6,0.2,11.8,4.6,16.9,False
20000606,3.0,0.84,9.3,7.4,14.0,False
20000607,5.0,0.21,10.7,7.2,14.0,False
20000608,4.4,0.0,13.4,9.4,17.3,False
20000609,2.8,0.0,14.3,6.9,19.3,True
20000610,4.3,0.0,18.9,12.6,24.7,True
20000611,2.6,0.0,16.8,14.6,21.9,True
20000612,4.8,0.0,15.3,12.2,18.4,True
20000613,4.6,0.0,17.4,13.5,22.6,True
20000614,3.5,0.0,14.8,12.3,17.9,False
20000615,5.0,0.0,13.8,11.2,17.7,False
20000616,5.6,0.0,13.2,10.1,16.6,False
20000617,3.0,0.0,15.9,11.0,20.4,True
20000618,2.1,0.0,14.3,12.6,18.0,True
20000619,1.8,0.0,18.0,9.5,24.1,True
20000620,1.8,0.0,24.7,16.8,30.7,True
20000621,2.8,0.81,24.3,16.9,30.1,False
20000622,1.9,0.05,18.5,15.7,26.8,False
20000623,3.0,0.04,17.3,14.7,20.8,False
20000624,1.8,0.37,15.0,13.4,17.5,False
20000625,2.6,0.73,14.3,11.3,18.4,False
20000626,5.8,0.09,13.0,12.1,15.0,False
20000627,6.3,0.0,13.4,10.7,16.4,False
20000628,2.0,0.0,13.0,10.0,16.5,False
20000629,2.2,0.04,13.5,8.8,17.2,False
20000630,5.6,0.49,12.6,12.0,15.2,False
20000701,2.4,0.0,14.3,11.6,17.5,False
20000702,1.2,0.0,15.5,7.6,20.6,True
20000703,1.1,0.0,16.9,8.1,22.7,True
20000704,1.4,0.0,17.0,9.5,22.9,True
20000705,2.6,0.0,16.5,14.2,19.3,True
20000706,3.9,0.0,16.0,14.6,19.0,True
20000707,4.4,0.0,13.4,12.1,15.5,False
20000708,3.5,0.0,14.5,11.2,18.1,True
20000709,2.8,0.0,13.7,11.5,16.8,False
20000710,3.4,1.7,14.2,11.4,17.0,False
20000711,2.5,0.0,16.1,11.2,20.1,True
20000712,3.7,0.0,16.0,12.4,20.6,True
20000713,4.9,0.0,14.1,11.7,16.7,False
20000714,1.6,0.0,15.5,12.6,19.6,True
20000715,2.2,0.0,15.7,9.3,21.1,True
20000716,1.9,0.0,17.8,12.7,22.1,True
20000717,2.6,0.0,16.4,10.0,21.6,True
20000718,4.3,0.0,14.8,13.4,17.8,False
20000719,3.7,0.0,14.4,12.1,17.8,False
20000720,4.0,0.0,16.2,13.4,19.6,True
20000721,3.1,0.99,16.9,15.7,20.8,False
20000722,1.6,0.09,16.4,12.8,21.1,False
20000723,0.9,0.0,16.0,12.6,21.6,True
20000724,1.2,0.0,17.2,12.3,24.2,True
20000725,1.5,0.0,16.0,13.0,19.3,True
20000726,1.4,0.0,18.1,12.8,23.5,True
20000727,2.1,0.0,16.9,12.1,20.5,True
20000728,0.9,0.0,17.3,14.6,21.5,True
20000729,1.1,0.0,17.3,14.4,21.0,True
20000730,2.7,0.0,16.4,11.8,21.9,True
20000731,3.2,0.0,15.8,13.9,18.3,True
20000801,1.9,0.28,16.2,13.3,20.2,False
20000802,1.4,0.37,17.7,13.9,21.2,False
20000803,2.2,0.0,17.2,14.0,21.4,True
20000804,1.5,0.0,16.1,10.8,21.9,True
20000805,2.7,0.0,15.6,12.1,18.1,True
20000806,3.7,0.05,17.3,13.8,20.6,False
20000807,5.5,0.0,15.0,12.7,18.5,True
20000808,4.1,0.0,14.8,12.4,18.2,True
20000809,2.8,0.0,16.2,12.2,20.5,True
20000810,1.8,0.14,14.7,8.9,19.3,False
20000811,2.7,0.45,16.4,15.1,18.7,False
20000812,2.0,0.0,15.7,13.5,19.1,True
20000813,0.6,0.0,15.7,7.9,22.0,True
20000814,2.4,0.0,16.7,9.2,23.6,True
20000815,2.6,0.0,19.5,16.3,23.2,True
20000816,2.3,0.0,17.4,14.4,21.5,True
20000817,1.6,0.0,17.5,14.5,21.8,True
20000818,2.1,0.0,17.7,13.3,22.2,True
20000819,1.4,0.05,16.1,13.2,18.4,False
20000820,1.8,0.8,17.1,13.3,21.0,False
20000821,1.2,0.24,14.3,9.9,19.0,False
20000822,3.6,0.0,15.2,10.3,19.5,True
20000823,3.8,0.0,15.4,11.8,19.2,True
20000824,4.6,0.3,14.1,12.5,16.5,False
20000825,2.5,0.0,15.8,10.8,20.4,True
20000826,2.5,0.0,14.5,6.8,21.6,True
20000827,5.4,0.0,17.1,13.3,20.9,True
20000828,3.5,0.27,17.5,14.8,20.9,False
20000829,1.6,0.25,16.6,14.3,20.4,False
20000830,1.4,0.0,15.1,12.2,19.3,True
20000831,1.5,0.0,14.4,11.7,18.0,True
20000901,1.6,1.85,14.1,8.2,18.4,False
20000902,2.0,3.0,13.9,13.0,14.9,False
20000903,3.0,0.06,14.1,12.3,18.5,False
20000904,3.1,0.0,12.3,8.6,16.4,False
20000905,0.9,0.0,11.7,4.2,17.0,False
20000906,2.8,0.3,13.7,8.6,16.5,False
20000907,3.2,0.03,14.7,13.0,17.3,False
20000908,3.2,0.0,14.2,12.6,16.9,False
20000909,3.3,0.0,16.7,14.0,20.1,True
20000910,2.8,0.0,15.3,12.4,18.6,True
20000911,2.4,0.0,13.6,10.4,17.1,False
20000912,2.5,1.71,10.6,8.0,13.4,False
20000913,4.0,0.0,12.9,10.9,14.4,False
20000914,3.4,0.0,13.1,11.5,15.9,False
20000915,4.4,0.0,13.3,10.3,16.4,False
20000916,5.5,0.0,14.4,11.7,17.7,False
20000917,4.4,0.0,12.4,8.2,16.6,False
20000918,4.2,0.0,11.2,7.9,15.0,False
20000919,4.2,0.0,11.5,4.3,15.1,False
20000920,4.4,0.0,12.3,9.9,16.0,False
20000921,3.6,0.0,12.5,7.3,16.5,False
20000922,2.7,0.0,11.5,5.3,17.5,False
20000923,2.2,0.0,11.0,6.5,16.7,False
20000924,2.7,0.0,9.5,3.6,15.6,False
20000925,2.6,0.0,9.4,4.1,15.1,False
20000926,2.1,0.0,11.6,8.1,15.5,False
20000927,3.3,0.67,14.8,11.2,17.8,False
20000928,2.7,0.0,14.8,13.0,16.5,False
20000929,2.9,0.0,16.2,13.9,20.4,True
20000930,4.6,0.02,14.7,12.3,18.8,False
20001001,3.2,0.0,12.8,9.8,16.9,False
20001002,2.8,0.07,14.3,11.8,15.4,False
20001003,1.9,0.0,13.3,11.3,17.3,False
20001004,1.6,0.0,12.9,7.5,17.6,False
20001005,1.2,0.0,13.7,11.2,17.1,False
20001006,0.9,0.14,12.5,10.8,14.4,False
20001007,0.8,0.04,11.4,8.6,13.5,False
20001008,1.1,0.25,10.3,9.6,12.6,False
20001009,1.6,0.59,9.5,7.5,10.3,False
20001010,4.4,0.24,10.6,9.1,11.6,False
20001011,4.5,0.68,11.1,8.4,12.9,False
20001012,1.9,0.0,11.5,9.6,14.6,False
20001013,0.5,0.0,10.7,6.1,13.5,False
20001014,0.7,0.0,9.9,7.1,14.8,False
20001015,3.2,0.0,10.1,4.5,15.3,False
20001016,5.0,0.0,13.4,11.2,15.7,False
20001017,0.9,0.0,11.9,9.3,16.3,False
20001018,1.1,0.0,10.3,6.1,13.4,False
20001019,2.6,0.0,11.3,6.1,13.0,False
20001020,2.4,0.11,11.4,10.9,12.7,False
20001021,4.2,0.0,11.7,10.4,13.3,False
20001022,1.9,0.0,11.8,8.9,15.0,False
20001023,2.8,0.28,12.5,8.0,15.5,False
20001024,5.4,0.0,12.0,10.5,13.3,False
20001025,5.3,0.4,10.9,10.1,11.8,False
20001026,5.0,0.2,10.3,8.8,12.4,False
20001027,2.5,0.33,8.9,6.2,11.8,False
20001028,2.5,0.16,11.1,6.9,13.7,False
20001029,4.6,0.23,11.1,8.4,13.0,False
20001030,6.9,0.09,11.1,8.5,12.0,False
20001031,6.2,0.0,10.1,8.8,13.1,False
20001101,4.3,0.0,10.0,9.0,10.8,False
20001102,3.6,0.0,8.1,7.1,10.6,False
20001103,1.9,0.55,9.4,6.6,11.8,False
20001104,1.3,0.0,8.0,6.7,11.3,False
20001105,1.6,0.0,6.4,3.4,7.5,False
20001106,6.0,0.16,7.2,3.5,9.8,False
20001107,4.6,0.81,9.5,8.7,10.3,False
20001108,2.6,0.0,9.0,6.4,10.8,False
20001109,3.0,0.09,8.8,7.2,10.0,False
20001110,3.5,0.11,8.4,8.0,9.4,False
20001111,3.4,0.31,7.9,7.2,9.2,False
20001112,3.7,0.71,7.8,6.7,8.7,False
20001113,2.3,0.1,8.0,5.8,10.5,False
20001114,0.6,0.08,6.7,3.4,9.6,False
20001115,0.9,0.32,7.0,4.3,8.4,False
20001116,1.9,0.33,6.7,5.4,8.5,False
20001117,2.3,0.37,6.6,5.0,8.7,False
20001118,3.2,0.01,6.0,5.0,6.8,False
20001119,5.3,0.04,6.8,5.6,7.3,False
20001120,3.3,0.0,6.3,5.1,7.2,False
20001121,1.5,0.71,5.9,3.5,8.2,False
20001122,3.3,0.7,6.6,5.3,7.9,False
20001123,3.2,0.0,7.5,6.0,8.7,False
20001124,3.3,0.0,7.5,6.9,8.4,False
20001125,1.4,0.0,6.6,5.4,7.9,False
20001126,1.9,0.0,6.7,4.3,7.5,False
20001127,2.0,0.0,6.9,4.2,8.2,False
20001128,2.8,0.72,6.8,5.6,7.5,False
20001129,2.7,0.0,10.0,6.2,12.5,False
20001130,2.3,0.0,8.5,7.2,10.8,False
20001201,2.7,0.06,7.2,2.9,9.2,False
20001202,1.8,0.18,8.7,6.7,10.5,False
20001203,3.5,0.0,8.4,7.8,9.0,False
20001204,3.4,0.0,7.1,5.5,9.0,False
20001205,2.9,0.0,7.8,6.2,8.8,False
20001206,3.4,0.0,6.8,5.9,7.8,False
20001207,2.9,0.0,7.1,4.7,8.8,False
20001208,3.8,0.44,7.4,5.8,8.6,False
20001209,2.7,0.0,8.2,6.5,9.8,False
20001210,2.8,0.1,7.7,6.7,8.5,False
20001211,4.1,0.19,8.6,7.3,9.7,False
20001212,2.6,0.73,9.8,9.0,10.6,False
20001213,6.5,1.03,9.8,8.9,11.1,False
20001214,6.5,0.01,7.2,5.6,9.0,False
20001215,5.5,0.56,6.2,5.1,7.0,False
20001216,1.4,0.51,4.8,3.8,6.2,False
20001217,0.5,0.0,-0.8,-2.4,3.9,False
20001218,0.5,0.0,-1.2,-3.8,2.0,False
20001219,1.4,0.0,-0.5,-1.6,1.2,False
20001220,0.3,0.0,-2.5,-4.8,1.4,False
20001221,0.3,0.0,-1.7,-4.9,0.1,False
20001222,1.7,0.0,-0.8,-3.8,0.2,False
20001223,1.0,0.0,0.8,-1.9,2.8,False
20001224,1.5,0.0,-1.1,-3.1,2.6,False
20001225,1.7,0.0,-4.1,-6.4,-1.6,False
20001226,1.1,0.0,-5.8,-9.0,-2.2,False
20001227,1.9,0.34,-0.6,-5.0,0.5,False
20001228,2.0,0.54,1.9,0.5,2.8,False
20001229,4.2,0.0,1.2,-0.1,2.7,False
20001230,1.5,0.0,0.8,-1.1,2.3,False
20001231,3.6,0.0,0.5,-0.8,1.5,False
20010101,4.0,1.12,0.7,-5.2,2.8,False
20010102,2.3,0.17,2.9,0.4,3.9,False
20010103,2.6,0.19,5.0,3.2,5.8,False
20010104,4.2,0.15,2.9,0.4,5.6,False
20010105,5.2,1.0,4.7,3.0,5.8,False
20010106,4.0,0.2,5.4,4.6,6.2,False
20010107,3.9,0.0,4.9,4.0,5.4,False
20010108,4.0,0.0,4.6,4.1,5.8,False
20010109,3.7,0.05,4.4,3.9,5.2,False
20010110,2.2,0.0,1.0,-0.4,4.1,False
20010111,2.8,0.0,1.0,-5.0,3.4,False
20010112,1.0,0.0,0.3,-3.9,2.9,False
20010113,1.2,0.0,0.1,-2.8,2.6,False
20010114,1.5,0.0,-0.4,-1.7,2.7,False
20010115,1.2,0.0,-1.7,-2.2,-0.5,False
20010116,1.0,0.0,-2.0,-2.8,-1.3,False
20010117,2.0,0.0,-0.2,-1.9,2.0,False
20010118,3.1,0.0,0.0,-1.6,0.8,False
20010119,2.8,0.05,0.4,-0.5,1.8,False
20010120,1.4,0.0,-0.1,-0.6,0.5,False
20010121,2.5,0.05,-0.3,-2.4,1.9,False
20010122,6.0,0.05,0.4,-0.3,1.6,False
20010123,5.2,0.2,1.2,-0.2,2.0,False
20010124,5.6,0.4,4.4,1.9,6.0,False
20010125,2.7,0.23,2.5,1.0,5.7,False
20010126,2.2,0.0,3.7,2.5,4.7,False
20010127,2.9,0.0,2.7,1.2,5.1,False
20010128,2.7,0.07,2.5,1.0,3.1,False
20010129,1.2,0.0,1.5,0.4,3.4,False
20010130,2.0,0.0,2.5,-0.6,3.3,False
20010131,0.6,0.0,0.8,-0.6,4.0,False
20010201,3.3,0.0,0.1,-1.9,1.9,False
20010202,2.8,0.0,-6.6,-9.3,-1.9,False
20010203,4.5,0.65,-8.9,-11.5,-5.3,False
20010204,3.3,0.2,-7.3,-10.4,-3.9,False
20010205,6.9,0.12,-4.4,-11.2,-2.2,False
20010206,3.5,0.47,3.5,-2.8,6.1,False
20010207,3.1,0.14,5.6,4.5,7.4,False
20010208,3.3,0.21,6.3,3.8,9.3,False
20010209,2.4,0.0,2.0,0.9,7.0,False
20010210,1.1,0.12,-2.1,-5.8,3.1,False
20010211,5.3,1.34,2.6,-1.7,5.7,False
20010212,3.9,0.22,6.4,5.3,7.6,False
20010213,2.8,0.0,4.1,2.8,6.8,False
20010214,3.5,0.0,3.5,0.9,4.6,False
20010215,3.3,0.0,2.2,0.2,5.7,False
20010216,1.2,0.0,3.0,1.8,5.4,False
20010217,2.7,0.0,-0.4,-5.0,3.8,False
20010218,3.6,0.0,5.0,2.2,8.5,False
20010219,3.2,0.0,2.6,-1.6,3.9,False
20010220,5.5,0.0,3.8,1.5,6.4,False
20010221,8.7,0.0,4.9,3.9,6.6,False
20010222,5.6,0.0,2.0,0.9,4.0,False
20010223,2.4,0.0,-5.1,-6.9,1.0,False
20010224,1.6,0.0,-7.0,-11.4,-3.4,False
20010225,3.0,0.03,0.3,-3.5,4.1,False
20010226,1.0,0.0,-2.3,-4.3,-0.1,False
20010227,2.2,0.0,-0.9,-3.4,1.3,False
20010228,1.8,0.0,-0.6,-2.7,1.8,False
20010301,2.9,0.0,0.0,-1.5,1.8,False
20010302,1.5,0.0,-2.4,-4.9,-0.2,False
20010303,1.2,0.0,-3.1,-4.4,-0.1,False
20010304,2.1,0.0,-3.1,-9.1,2.0,False
20010305,1.1,0.0,-3.1,-7.3,2.1,False
20010306,2.5,0.0,0.5,-5.4,4.8,False
20010307,3.6,0.0,-0.9,-7.1,4.4,False
20010308,2.8,0.11,3.4,2.0,5.6,False
20010309,2.1,0.05,4.2,2.9,7.1,False
20010310,2.0,0.05,6.3,4.0,8.2,False
20010311,1.9,0.2,7.1,5.5,8.7,False
20010312,4.5,0.25,6.8,5.3,9.4,False
20010313,2.8,0.17,3.2,-1.2,7.4,False
20010314,2.5,0.0,3.2,2.1,5.0,False
20010315,2.0,0.3,4.0,2.0,6.9,False
20010316,2.8,0.0,3.6,1.1,6.4,False
20010317,2.8,0.0,1.2,-0.8,3.9,False
20010318,5.0,0.1,-0.5,-1.6,1.4,False
20010319,5.7,0.12,-2.0,-3.1,-0.5,False
20010320,2.4,0.0,-1.3,-3.7,1.3,False
20010321,0.6,0.0,-2.3,-8.1,2.6,False
20010322,2.5,0.0,-0.8,-6.4,3.7,False
20010323,4.7,0.0,-0.4,-4.3,3.5,False
20010324,6.7,0.0,1.3,-0.6,4.2,False
20010325,6.0,0.0,0.7,-1.3,3.7,False
20010326,2.8,0.0,-0.5,-3.5,4.0,False
20010327,2.2,0.0,-0.9,-6.0,2.5,False
20010328,6.9,0.0,1.1,-5.0,3.7,False
20010329,8.3,0.14,2.6,1.0,4.0,False
20010330,2.4,0.0,3.8,2.9,4.8,False
20010331,2.7,0.0,4.9,1.0,8.4,False
20010401,3.0,0.0,7.2,5.5,9.7,False
20010402,2.0,0.0,7.0,3.4,12.7,False
20010403,3.8,0.0,9.4,6.4,13.4,False
20010404,4.4,0.13,6.5,1.8,9.9,False
20010405,5.3,0.0,6.8,5.2,10.5,False
20010406,3.4,0.3,6.1,3.3,8.5,False
20010407,2.9,0.29,8.4,5.9,12.4,False
20010408,3.1,0.05,6.7,4.9,9.5,False
20010409,3.0,0.0,6.2,3.9,9.8,False
20010410,3.1,0.0,5.2,0.2,9.9,False
20010411,1.7,0.14,5.0,-1.0,11.0,False
20010412,5.3,0.0,3.5,2.1,6.2,False
20010413,3.9,0.0,2.8,0.4,6.0,False
20010414,2.8,0.0,1.5,-2.0,5.4,False
20010415,2.9,0.0,1.9,-3.8,5.7,False
20010416,1.0,0.0,4.5,2.3,6.9,False
20010417,3.0,0.32,4.6,0.3,8.0,False
20010418,3.1,1.13,4.2,2.9,6.3,False
20010419,2.7,0.0,3.5,0.4,7.8,False
20010420,1.5,0.0,4.5,-1.0,9.4,False
20010421,2.1,0.0,5.7,-2.6,11.0,False
20010422,2.3,0.44,4.9,-0.3,9.4,False
20010423,2.7,1.41,5.8,4.4,7.2,False
20010424,2.8,0.0,7.9,5.5,11.1,False
20010425,5.5,0.87,8.8,3.4,13.5,False
20010426,2.1,0.0,8.9,7.0,12.0,False
20010427,2.1,0.1,8.1,5.1,12.2,False
20010428,2.9,0.45,7.5,6.0,10.8,False
20010429,2.1,0.17,9.1,4.0,13.1,False
20010430,2.5,0.0,11.4,4.6,17.4,False
20010501,2.9,0.0,9.2,5.2,12.3,False
20010502,1.9,0.0,10.9,6.1,16.7,False
20010503,4.0,0.0,12.6,3.7,18.8,True
20010504,3.8,0.0,10.9,9.5,16.8,False
20010505,3.2,0.0,9.8,6.6,12.6,False
20010506,2.8,0.0,10.2,4.6,16.9,False
20010507,2.0,0.0,8.6,3.6,13.1,False
20010508,2.7,0.0,12.6,5.7,19.2,True
20010509,0.9,0.0,13.3,3.2,19.9,True
20010510,2.1,0.0,15.0,6.0,22.8,True
20010511,2.2,0.0,13.0,4.2,20.2,True
20010512,1.6,0.0,15.2,7.3,20.8,True
20010513,2.3,0.0,16.3,9.1,22.0,True
20010514,1.5,0.0,15.9,7.9,21.8,True
20010515,1.1,0.0,12.2,6.2,20.6,True
20010516,2.5,0.24,13.5,8.0,18.8,False
20010517,3.0,0.28,14.4,11.1,17.7,False
20010518,4.8,0.02,11.5,8.3,16.0,False
20010519,7.4,0.0,10.1,7.2,13.0,False
20010520,5.1,0.0,11.4,7.8,15.4,False
20010521,3.0,0.0,12.2,8.9,16.9,False
20010522,1.6,0.0,11.4,3.4,18.0,True
20010523,2.7,0.0,14.4,7.4,19.5,True
20010524,3.1,0.0,13.3,10.1,17.1,False
20010525,1.8,0.0,13.8,9.2,18.6,True
20010526,1.8,0.0,12.8,4.7,18.4,True
20010527,3.3,0.15,15.5,11.1,19.7,False
20010528,4.9,0.04,15.7,13.0,20.7,False
20010529,4.1,0.72,12.9,11.0,17.1,False
20010530,3.1,0.3,12.0,10.9,14.0,False
20010531,1.2,0.02,11.4,7.7,15.0,False
20010601,2.2,0.17,12.0,8.0,16.0,False
20010602,3.0,0.4,11.4,9.3,14.5,False
20010603,1.5,0.22,10.7,9.4,13.2,False
20010604,3.1,0.04,12.4,9.2,16.4,False
20010605,2.7,0.11,12.1,10.3,13.8,False
20010606,1.8,0.03,14.1,9.0,18.5,False
20010607,3.8,0.05,12.7,9.8,16.3,False
20010608,3.0,0.0,12.0,8.7,15.4,False
20010609,2.2,0.0,11.4,7.2,15.5,False
