DATE,DRESDEN_cloud_cover,DRESDEN_wind_speed,DRESDEN_wind_gust,DRESDEN_humidity,DRESDEN_global_radiation,DRESDEN_precipitation,DRESDEN_sunshine,DRESDEN_temp_mean,DRESDEN_temp_min,DRESDEN_temp_max,DRESDEN_picnic_weather
20000406,2,5.0,13.5,0.6,2.47,0.0,10.8,3.6,-0.6,8.3,False
20000407,5,4.5,11.5,0.89,0.95,0.1,3.1,3.8,1.8,6.9,False
20000408,7,2.5,6.7,0.68,1.31,0.0,1.8,6.1,2.1,9.0,False
20000409,7,3.0,6.3,0.83,1.27,0.0,2.3,5.4,2.9,8.3,False
20000410,6,2.9,9.1,0.71,1.53,0.0,2.8,5.4,1.7,10.4,False
20000411,5,1.6,7.0,0.78,1.84,0.13,7.4,6.9,1.2,12.9,False
20000412,5,4.7,14.6,0.87,0.91,0.55,0.7,6.4,2.8,11.4,False
20000413,5,6.4,15.4,0.59,1.52,0.0,3.7,8.4,3.2,12.4,False
20000414,8,4.1,10.8,0.74,0.78,0.1,0.2,8.0,5.8,10.2,False
20000415,5,4.5,12.6,0.74,2.22,0.98,10.0,11.6,4.2,20.2,False
20000416,2,4.9,13.1,0.52,2.67,0.0,11.0,11.7,7.0,16.5,False
20000417,6,5.5,12.1,0.6,2.36,0.21,9.8,13.8,8.3,21.1,False
20000418,7,2.5,8.5,0.8,1.71,0.2,4.4,10.9,8.0,15.8,False
20000419,6,2.5,10.6,0.84,1.82,0.0,6.3,12.6,7.7,18.7,True
20000420,0,2.0,5.7,0.74,2.51,0.0,11.8,14.5,8.4,18.9,True
20000421,3,2.3,7.5,0.67,2.09,0.0,9.4,17.4,9.0,23.1,True
20000422,3,3.7,9.7,0.59,2.54,0.0,11.7,19.3,10.9,25.9,True
20000423,5,5.2,10.3,0.4,2.62,0.0,11.7,22.0,16.2,27.3,True
20000424,5,5.4,12.2,0.83,1.46,0.0,5.4,13.2,10.0,21.1,True
20000425,5,3.1,9.6,0.87,1.23,0.0,3.5,10.1,8.4,13.1,False
20000426,1,3.3,9.2,0.73,2.85,0.0,13.2,15.2,5.3,21.8,True
20000427,5,4.7,10.7,0.56,2.46,0.0,9.4,19.0,11.9,24.1,True
20000428,5,8.1,18.1,0.5,2.23,0.0,8.0,20.2,16.8,24.8,True
20000429,3,6.3,16.8,0.51,2.28,0.0,7.6,20.0,16.5,25.6,True
20000430,3,3.7,11.4,0.51,2.53,0.0,11.4,19.6,13.5,26.5,True
20000501,7,2.1,6.9,0.75,2.11,0.0,5.5,18.1,12.3,23.7,True
20000502,3,4.8,12.7,0.51,2.92,0.0,13.0,15.8,12.2,22.2,True
20000503,6,3.9,8.7,0.38,3.0,0.0,13.7,16.0,7.8,22.1,True
20000504,6,2.6,7.0,0.51,2.88,0.0,13.0,16.6,7.9,22.6,True
20000505,2,2.6,8.0,0.55,2.16,0.0,9.5,18.1,8.8,23.8,True
20000506,2,4.0,11.5,0.46,2.72,0.0,12.2,19.4,9.6,25.4,True
20000507,2,4.5,13.4,0.42,2.9,0.0,13.4,21.0,12.5,26.2,True
20000508,7,3.2,10.0,0.53,1.72,0.48,5.4,20.4,14.3,25.5,False
20000509,3,2.0,6.1,0.75,2.02,0.0,4.9,18.0,13.8,23.9,True
20000510,1,1.8,5.2,0.67,2.97,0.0,13.2,20.2,12.7,25.2,True
20000511,1,2.6,6.3,0.61,3.01,0.0,13.8,20.1,13.1,26.2,True
20000512,0,4.9,11.8,0.46,3.26,0.0,14.5,14.4,10.7,19.6,True
20000513,0,3.7,10.7,0.38,3.39,0.0,15.0,14.6,6.5,19.9,True
20000514,0,2.6,8.4,0.41,3.35,0.0,15.1,18.4,6.6,24.0,True
20000515,0,3.3,8.7,0.38,3.32,0.0,14.9,21.6,9.4,27.2,True
20000516,3,2.9,8.7,0.36,3.25,0.0,13.0,22.3,13.0,29.2,True
20000517,5,3.8,15.4,0.59,2.25,0.54,8.9,20.0,14.5,28.6,False
20000518,8,2.4,7.7,0.76,1.0,0.02,0.5,14.4,12.7,17.8,False
20000519,6,2.9,11.4,0.74,1.46,0.16,4.4,11.0,9.1,15.9,False
20000520,8,4.7,13.5,0.81,1.44,0.05,1.8,8.8,7.9,13.0,False
20000521,7,2.7,7.7,0.68,2.08,0.3,4.3,12.9,7.6,15.9,False
20000522,8,3.8,10.9,0.94,0.54,0.54,0.0,10.4,9.5,13.6,False
20000523,6,2.6,8.5,0.66,2.62,0.0,8.6,15.2,8.3,18.9,True
20000524,7,2.9,8.7,0.61,2.23,0.0,4.3,17.6,11.0,21.4,True
20000525,7,5.4,16.3,0.64,1.89,0.11,3.9,17.6,12.5,25.2,False
20000526,5,3.0,8.9,0.59,2.69,0.0,9.9,16.8,10.1,21.4,True
20000527,5,4.9,17.3,0.73,1.33,0.01,2.9,14.4,10.2,22.4,False
20000528,7,4.5,13.6,0.69,1.89,0.06,5.1,15.4,7.7,20.7,False
20000529,5,5.7,15.1,0.56,2.43,0.05,8.8,10.9,8.7,16.3,False
20000530,6,3.5,12.4,0.68,2.52,0.3,7.1,11.6,5.7,16.0,False
20000531,5,2.6,11.9,0.77,1.75,0.04,4.0,11.0,8.4,16.3,False
20000601,7,3.9,9.9,0.54,2.62,0.0,8.9,16.4,6.5,21.3,True
20000602,3,4.4,9.4,0.5,3.3,0.0,15.0,22.0,13.6,27.7,True
20000603,2,2.6,6.9,0.52,3.37,0.0,14.2,23.8,15.5,28.9,True
20000604,5,3.0,9.5,0.61,3.18,0.0,12.9,22.8,15.9,28.8,True
20000605,6,3.1,11.6,0.69,2.12,0.19,7.4,21.8,16.0,29.4,False
20000606,7,4.8,11.4,0.78,1.19,0.0,0.5,15.6,13.8,19.8,True
20000607,3,4.7,15.4,0.8,1.88,0.5,4.0,12.2,9.3,16.7,False
20000608,3,2.2,6.7,0.52,3.5,0.0,14.9,16.4,8.9,21.3,True
20000609,0,4.5,11.1,0.49,3.54,0.0,15.8,21.3,11.9,27.1,True
20000610,2,4.9,11.4,0.45,3.42,0.0,14.0,26.0,17.8,30.8,True
20000611,5,3.1,12.1,0.78,2.78,0.73,9.9,21.1,17.5,29.5,False
20000612,5,3.4,9.3,0.68,2.62,0.0,8.7,19.1,15.0,23.3,True
20000613,3,2.4,9.0,0.53,3.37,0.35,14.4,24.6,13.3,30.0,False
20000614,5,2.2,9.6,0.75,1.95,0.0,4.0,19.9,16.0,24.3,True
20000615,6,4.0,14.0,0.79,1.15,0.18,1.6,15.2,12.0,20.2,False
20000616,4,5.5,14.7,0.58,2.23,0.0,5.9,11.8,9.3,16.7,False
20000617,3,3.3,9.3,0.56,2.81,0.0,8.3,12.7,5.1,17.9,False
20000618,4,2.9,8.6,0.41,3.13,0.0,12.7,19.2,6.8,24.3,True
20000619,0,2.8,7.5,0.34,3.58,0.0,15.5,24.6,13.0,30.1,True
20000620,0,2.9,9.9,0.35,3.43,0.0,15.1,27.6,16.5,33.7,True
20000621,3,3.2,23.6,0.32,3.41,0.01,12.8,28.8,19.3,35.3,False
20000622,4,3.7,13.9,0.46,3.06,0.04,11.1,24.8,20.0,32.3,False
20000623,7,3.4,13.7,0.63,1.44,0.35,3.8,18.2,16.5,22.3,False
20000624,7,3.9,13.2,0.74,1.72,0.26,3.3,14.8,13.1,20.5,False
20000625,7,4.5,14.9,0.74,1.61,0.38,1.6,13.4,10.9,17.8,False
20000626,7,5.5,13.9,0.65,1.55,0.0,1.4,12.2,9.5,15.9,False
20000627,7,6.1,14.4,0.62,1.36,0.04,0.8,11.8,9.1,14.3,False
20000628,7,4.0,11.0,0.56,2.06,0.0,3.4,12.4,7.6,16.6,False
20000629,7,4.3,11.6,0.62,1.35,0.0,1.1,11.6,10.1,14.5,False
20000630,7,4.2,13.4,0.54,2.35,0.0,5.8,14.4,9.2,18.5,True
20000701,5,3.8,13.3,0.58,2.33,0.03,7.9,19.1,9.3,23.6,False
20000702,5,2.8,10.0,0.69,2.57,0.18,7.2,19.6,14.1,25.6,False
20000703,5,2.3,10.0,0.69,2.48,0.0,8.4,21.7,15.4,26.5,True
20000704,4,2.7,8.6,0.8,2.08,0.36,5.8,18.9,15.7,25.3,False
20000705,6,6.5,17.6,0.84,0.71,0.8,1.0,15.7,14.6,19.0,False
20000706,6,4.5,10.9,0.72,1.94,0.0,5.1,17.0,13.9,22.0,True
20000707,8,2.4,6.3,0.76,1.34,2.3,1.6,16.4,12.5,19.9,False
20000708,8,4.3,11.4,0.94,0.54,0.24,0.0,11.3,9.7,15.6,False
20000709,7,4.1,12.5,0.69,1.77,0.04,2.6,14.8,10.5,18.4,False
20000710,7,5.4,14.1,0.72,1.43,0.68,2.2,16.8,12.9,21.0,False
20000711,7,3.6,9.5,0.75,1.18,0.02,1.3,15.4,14.5,20.4,False
20000712,8,5.5,12.8,0.64,1.14,0.0,0.5,14.0,12.8,16.5,False
20000713,5,5.1,13.4,0.6,2.16,0.03,5.0,14.5,10.4,19.4,False
20000714,7,3.5,12.9,0.89,1.18,0.38,1.1,13.2,11.5,18.1,False
20000715,7,3.2,7.5,0.74,1.33,0.0,1.9,13.1,11.1,17.6,False
20000716,7,2.8,10.2,0.71,1.88,0.34,4.8,14.8,9.0,18.3,False
20000717,8,3.2,7.4,0.89,0.76,0.31,0.1,14.0,11.7,15.9,False
20000718,8,3.8,8.9,0.77,0.82,0.0,0.0,14.0,12.2,16.3,False
20000719,8,5.1,12.2,0.77,1.25,0.2,1.2,13.2,11.4,15.8,False
20000720,7,4.8,11.7,0.68,1.16,0.0,0.6,15.3,12.1,19.0,True
20000721,7,4.4,10.1,0.8,0.7,0.0,0.0,13.3,11.8,15.2,False
20000722,6,3.3,7.7,0.9,1.01,0.08,0.3,14.2,12.0,17.3,False
20000723,4,2.1,7.1,0.67,2.86,0.0,10.5,18.6,11.4,23.2,True
20000724,7,2.6,7.9,0.72,1.46,0.0,3.0,19.2,12.7,23.8,True
20000725,5,4.2,15.6,0.78,1.9,0.04,4.3,18.6,16.8,25.5,False
20000726,7,3.7,9.5,0.71,1.79,0.1,4.1,18.8,15.2,23.1,False
20000727,7,3.8,10.1,0.74,1.93,0.0,4.2,19.3,15.4,23.6,True
20000728,7,4.5,10.6,0.68,1.73,0.03,3.0,18.5,15.9,22.5,False
20000729,8,6.0,15.0,0.97,0.49,0.39,0.0,14.0,13.3,17.0,False
20000730,6,3.9,9.6,0.79,1.58,0.09,2.1,15.7,13.7,20.0,False
20000731,5,3.1,10.3,0.7,2.22,0.0,6.3,17.7,12.8,22.8,True
20000801,1,2.4,6.0,0.59,3.04,0.0,13.5,20.8,11.4,26.7,True
20000802,5,4.8,12.9,0.68,1.75,0.05,6.7,20.3,17.8,28.1,False
20000803,7,2.4,6.7,0.52,2.25,0.01,7.8,20.5,14.0,24.9,False
20000804,4,3.0,10.1,0.59,2.51,0.0,9.8,18.9,14.7,24.8,True
20000805,4,2.1,6.9,0.59,2.79,0.0,12.4,19.5,11.2,25.0,True
20000806,6,2.6,7.4,0.78,1.57,0.09,4.6,17.6,12.2,24.0,False
20000807,4,3.4,11.0,0.66,1.66,0.16,5.8,16.4,14.1,20.9,False
20000808,7,2.4,8.8,0.68,1.79,0.0,3.7,16.6,13.2,21.7,True
20000809,4,3.5,9.2,0.64,1.96,0.0,5.6,17.0,14.3,22.1,True
20000810,6,3.2,11.9,0.73,1.43,0.2,5.0,19.5,10.7,26.5,False
20000811,6,2.7,7.8,0.7,1.79,0.0,3.5,18.8,17.1,23.3,True
20000812,1,1.9,6.4,0.56,2.39,0.0,9.3,20.3,14.4,25.1,True
20000813,0,2.6,7.0,0.47,2.84,0.0,13.3,22.6,12.9,29.2,True
20000814,1,2.7,7.5,0.44,2.73,0.0,13.1,25.4,15.0,31.7,True
20000815,4,3.2,11.9,0.61,2.21,0.0,8.9,23.3,17.2,31.6,True
20000816,3,3.1,9.1,0.58,2.43,0.0,9.4,22.9,17.8,27.1,True
20000817,5,3.6,14.5,0.51,2.06,0.11,8.4,23.6,15.7,32.3,False
20000818,5,2.3,6.0,0.67,1.67,0.0,7.3,21.4,15.3,25.6,True
20000819,7,3.6,10.3,0.55,1.8,0.0,4.9,24.8,18.0,30.7,True
20000820,4,3.0,17.4,0.62,2.4,2.34,9.5,23.6,17.8,29.4,False
20000821,6,4.7,14.4,0.83,1.92,1.69,6.6,19.0,16.6,24.5,False
20000822,4,2.2,7.1,0.76,1.84,0.0,6.3,16.0,12.9,19.8,True
20000823,2,2.6,7.0,0.73,2.3,0.0,11.2,15.8,10.6,21.4,True
20000824,6,3.4,9.3,0.67,2.37,0.0,10.6,17.3,9.9,22.7,True
20000825,5,4.3,10.7,0.67,1.39,0.0,2.3,16.0,14.0,19.7,True
20000826,3,4.4,10.7,0.58,2.71,0.0,13.5,16.2,10.3,21.7,True
20000827,5,5.6,13.1,0.51,2.69,0.0,12.2,18.8,12.7,23.3,True
20000828,8,2.4,6.3,0.85,0.64,0.01,0.0,16.0,14.0,18.3,False
20000829,5,2.5,6.9,0.65,2.14,0.0,9.1,18.4,11.7,23.4,True
20000830,7,2.3,7.0,0.71,1.97,0.15,6.6,17.4,13.2,22.8,False
20000831,5,3.5,8.0,0.8,1.58,0.0,4.5,16.5,14.2,20.9,True
20000901,7,2.1,10.5,0.83,1.7,0.61,4.7,16.6,11.6,23.3,False
20000902,5,5.8,12.1,0.69,1.62,0.23,5.0,16.1,13.4,19.8,False
20000903,8,7.3,16.5,0.95,0.58,1.57,0.3,12.7,12.3,15.4,False
20000904,7,4.5,11.1,0.93,0.53,0.15,0.1,11.1,10.3,13.2,False
20000905,7,3.2,8.8,0.79,1.15,0.0,3.0,12.0,9.2,15.5,False
20000906,6,3.3,8.3,0.71,1.39,1.02,4.0,13.8,10.0,17.4,False
20000907,5,3.0,10.2,0.84,1.3,0.12,3.1,13.8,11.1,16.5,False
20000908,7,3.3,7.6,0.76,1.46,0.0,2.5,16.6,9.2,20.6,True
20000909,5,2.6,7.8,0.68,1.88,0.0,8.1,19.6,15.5,24.4,True
20000910,6,1.8,5.8,0.77,1.62,0.0,5.9,18.8,15.0,22.7,True
20000911,6,2.6,7.4,0.81,1.63,0.0,6.2,17.8,15.9,22.8,True
20000912,4,2.8,7.8,0.72,1.26,0.0,6.2,19.9,14.3,25.9,True
20000913,7,3.9,11.7,0.77,1.26,0.02,9.1,18.0,15.7,20.7,False
20000914,6,2.4,8.5,0.8,0.97,0.0,2.2,15.6,14.3,19.0,True
20000915,6,3.8,9.6,0.78,1.26,0.0,2.2,15.5,10.3,19.5,True
20000916,6,5.6,14.3,0.68,1.11,0.44,3.9,14.9,12.2,19.6,False
20000917,7,2.1,5.9,0.87,0.96,0.11,1.1,12.5,11.0,16.8,False
20000918,6,3.6,7.9,0.8,1.05,0.0,1.6,10.8,9.1,14.5,False
20000919,1,4.9,10.8,0.75,2.02,0.0,9.7,9.3,5.9,15.9,False
20000920,4,6.5,13.9,0.8,1.78,0.0,8.0,10.0,4.6,14.9,False
20000921,7,5.9,12.8,0.9,0.27,0.75,0.0,9.2,8.4,10.8,False
20000922,6,2.6,5.8,0.81,0.86,0.0,0.9,10.9,8.2,15.4,False
20000923,1,3.7,10.6,0.75,1.87,0.0,11.4,10.4,8.2,15.6,False
20000924,0,4.3,8.8,0.69,1.87,0.0,11.2,10.8,4.9,16.6,False
20000925,3,3.9,8.0,0.72,1.76,0.0,9.8,13.6,6.4,17.4,False
20000926,4,3.2,8.0,0.75,1.33,0.0,6.6,14.6,10.8,20.1,True
20000927,4,4.6,10.9,0.76,1.63,0.01,9.6,16.0,11.1,22.3,False
20000928,5,5.6,11.4,0.72,1.36,0.0,7.5,17.7,13.8,22.0,True
20000929,1,7.0,13.7,0.51,1.64,0.0,10.8,17.2,13.8,21.5,True
20000930,0,6.4,13.1,0.57,1.61,0.0,10.5,17.8,14.1,22.0,True
20001001,7,5.3,13.0,0.73,1.31,0.77,5.9,17.6,14.5,21.6,False
20001002,6,3.5,8.8,0.85,0.84,0.05,2.2,14.1,13.0,17.6,False
20001003,6,2.4,5.8,0.88,0.98,0.0,5.0,13.4,8.3,16.6,False
20001004,7,2.3,6.5,0.83,0.86,0.0,1.3,15.7,12.0,18.3,True
20001005,5,1.8,7.4,0.88,0.77,0.1,3.4,15.2,12.3,19.1,False
20001006,8,2.9,11.1,0.95,0.13,1.03,0.0,10.3,8.7,14.7,False
20001007,8,3.0,7.8,1.0,0.1,1.18,0.0,8.0,7.6,9.6,False
20001008,8,2.8,6.3,0.92,0.33,0.21,0.0,8.4,7.0,9.6,False
20001009,8,3.4,8.7,0.84,0.61,0.02,0.7,9.3,8.0,11.8,False
20001010,6,6.0,15.3,0.82,0.46,0.04,1.9,9.4,6.9,11.2,False
20001011,7,5.3,19.0,0.76,0.72,0.08,1.0,12.0,7.0,14.7,False
20001012,7,2.1,7.8,0.85,0.68,0.02,1.6,11.9,10.2,15.7,False
20001013,7,1.7,6.0,0.88,0.95,0.0,4.3,13.2,9.0,17.4,False
20001014,8,2.3,7.6,0.96,0.27,0.0,0.0,13.2,11.2,14.4,False
20001015,6,6.2,18.9,0.69,0.99,0.0,4.5,18.1,12.3,22.5,True
20001016,5,6.3,17.7,0.72,0.67,0.0,3.2,15.9,14.0,20.2,True
20001017,6,2.7,8.1,0.81,0.91,0.1,5.1,12.4,9.7,16.1,False
20001018,8,1.5,5.5,0.98,0.16,1.05,0.1,9.9,9.4,12.1,False
20001019,5,3.4,9.7,0.88,0.92,0.0,5.5,11.1,8.5,14.5,False
20001020,5,4.4,12.3,0.84,0.5,0.0,1.3,10.7,7.9,13.1,False
20001021,1,8.3,16.5,0.61,1.15,0.0,8.8,11.0,8.8,14.1,False
20001022,4,5.2,10.7,0.7,1.14,0.0,9.6,10.2,6.5,15.9,False
20001023,2,5.2,9.2,0.73,1.13,0.1,9.4,8.8,5.5,14.5,False
20001024,7,5.7,13.2,0.74,0.5,0.0,1.8,11.4,6.2,15.7,False
20001025,7,6.0,19.1,0.73,0.54,0.01,0.6,13.8,9.2,16.3,False
20001026,7,4.8,13.5,0.82,0.38,0.06,0.9,9.9,8.2,14.7,False
20001027,7,5.3,10.6,0.78,0.65,0.0,2.6,9.3,6.7,11.4,False
20001028,6,4.7,10.5,0.84,0.37,0.0,0.0,12.4,9.3,14.2,False
20001029,6,6.2,13.9,0.68,0.4,0.0,1.3,10.7,8.4,15.3,False
20001030,8,7.9,14.5,0.66,0.32,0.0,0.4,11.4,7.7,13.5,False
20001031,8,5.5,11.3,0.77,0.09,0.06,0.0,10.1,9.4,13.3,False
20001101,4,4.9,11.0,0.75,0.71,0.0,4.9,8.4,7.0,13.0,False
20001102,5,5.4,13.5,0.71,0.9,0.0,7.6,9.0,5.9,14.1,False
20001103,6,5.4,15.0,0.78,0.52,0.52,3.5,9.4,6.9,12.2,False
20001104,6,3.2,7.0,0.8,0.42,0.0,0.7,7.6,6.0,10.6,False
20001105,4,3.4,8.2,0.8,0.51,0.0,1.6,5.7,3.5,9.1,False
