DATE,KASSEL_wind_speed,KASSEL_wind_gust,KASSEL_humidity,KASSEL_pressure,KASSEL_global_radiation,KASSEL_precipitation,KASSEL_sunshine,KASSEL_temp_mean,KASSEL_temp_min,KASSEL_temp_max,KASSEL_picnic_weather
20000309,5.1,17.6,0.81,1.0157,0.65,0.86,1.4,10.0,8.8,13.0,False
20000310,2.7,12.0,0.73,1.0232,1.23,0.28,3.9,5.2,2.7,8.8,False
20000311,3.5,16.3,0.84,1.014,0.65,0.28,0.9,7.2,5.4,10.0,False
20000312,1.3,8.1,0.79,1.025,0.52,0.01,0.1,5.4,3.1,8.1,False
20000313,1.9,7.5,0.75,1.0233,1.46,0.01,6.2,8.2,3.0,12.8,False
20000314,3.3,16.4,0.87,1.0167,0.43,1.07,0.1,6.4,3.4,11.0,False
20000315,4.4,16.8,0.75,1.0239,1.17,0.35,3.9,3.0,0.8,6.0,False
20000316,4.1,16.8,0.7,1.0243,1.01,0.01,2.1,6.2,3.2,8.3,False
20000317,4.4,15.4,0.94,1.0234,0.24,0.54,0.0,6.2,5.8,7.2,False
20000318,3.0,9.3,0.92,1.025,0.34,0.13,0.0,5.6,4.6,7.7,False
20000319,2.8,9.4,0.7,1.0306,1.56,0.0,7.0,5.1,3.8,9.0,False
20000320,1.6,7.2,0.71,1.0281,1.61,0.0,8.1,6.2,2.5,12.0,False
20000321,0.9,4.3,0.76,1.0232,1.56,0.0,7.0,5.8,0.0,12.5,False
20000322,2.1,6.0,0.69,1.0174,1.84,0.0,11.0,8.8,0.0,16.6,False
20000323,1.1,4.6,0.68,1.0142,1.56,0.16,8.6,9.6,2.5,16.1,False
20000324,2.2,8.9,0.83,1.0101,0.81,0.39,0.8,10.3,7.4,14.7,False
20000325,2.8,8.8,0.85,1.0132,0.84,0.1,0.9,9.2,6.7,12.8,False
20000326,1.8,8.7,0.91,1.0096,0.85,0.12,1.0,4.9,3.7,8.8,False
20000327,2.3,9.5,0.73,1.0084,1.57,0.03,5.9,6.9,1.6,11.6,False
20000328,3.0,9.0,0.92,1.0139,0.31,0.3,0.0,1.9,1.4,6.3,False
20000329,3.8,10.4,0.88,1.0129,0.27,0.02,0.0,6.0,1.8,6.8,False
20000330,3.7,10.0,0.8,1.007,0.31,0.0,0.0,6.4,5.6,8.0,False
20000331,1.2,5.6,0.88,1.0065,0.48,0.13,0.0,5.6,4.4,8.4,False
20000401,2.4,7.9,0.89,1.0053,0.84,0.13,0.4,4.9,1.9,9.0,False
20000402,2.2,8.2,0.75,1.0045,1.45,0.0,3.1,8.2,3.0,12.9,False
20000403,1.9,7.4,0.51,0.9939,2.14,0.0,10.8,12.8,4.7,19.0,True
20000404,3.1,13.8,0.6,0.991,1.92,0.0,7.9,12.0,10.5,16.3,False
20000405,3.7,11.5,0.69,1.0067,1.2,0.0,3.5,4.2,3.1,11.3,False
20000406,3.3,9.6,0.52,1.0262,2.37,0.0,12.3,5.3,-0.3,9.8,False
20000407,2.1,9.7,0.65,1.0307,2.05,0.0,8.0,6.1,-0.4,11.8,False
20000408,0.9,4.1,0.7,1.0244,1.7,0.0,6.3,7.2,-0.8,11.2,False
20000409,2.8,8.9,0.65,1.0153,1.53,0.0,5.2,7.2,4.6,11.6,False
20000410,2.4,7.9,0.63,1.011,1.87,0.0,6.0,6.8,1.3,12.1,False
20000411,1.5,8.2,0.59,0.998,2.09,0.13,9.2,8.6,-0.7,13.7,False
20000412,3.1,14.4,0.72,0.9923,1.31,0.27,3.8,5.3,2.1,10.6,False
20000413,4.3,14.6,0.74,0.9964,1.57,0.25,3.6,6.4,1.7,11.7,False
20000414,2.8,9.6,0.9,1.0006,0.7,0.14,0.0,6.0,4.6,8.6,False
20000415,2.5,10.1,0.83,0.9991,1.0,0.0,1.3,7.8,4.5,13.5,False
20000416,3.2,12.0,0.58,1.0013,2.39,0.0,8.3,10.0,4.2,16.8,False
20000417,2.8,12.4,0.69,1.0023,1.2,0.0,1.5,10.4,6.4,14.7,False
20000418,2.1,7.0,0.75,1.0103,1.03,0.68,0.0,10.4,7.4,12.7,False
20000419,1.2,4.0,0.86,1.0108,0.86,0.0,2.4,10.5,8.3,15.0,False
20000420,1.6,7.5,0.69,1.0157,2.51,0.0,12.3,13.0,4.7,19.8,True
20000421,1.9,7.9,0.6,1.0152,2.03,0.0,7.5,15.7,7.9,22.0,True
20000422,2.1,9.5,0.51,1.0124,2.36,0.0,10.3,19.4,10.3,26.4,True
20000423,2.0,8.4,0.6,1.0078,1.83,1.17,5.3,18.1,12.1,22.4,False
20000424,1.6,8.7,0.91,1.0117,0.42,0.23,0.0,9.4,7.4,17.3,False
20000425,1.1,4.4,0.72,1.0147,2.38,0.0,9.2,11.7,4.1,18.9,True
20000426,1.8,8.1,0.63,1.0108,2.62,0.0,13.0,16.8,7.3,23.7,True
20000427,2.1,9.1,0.58,1.0106,2.15,0.0,8.8,18.7,10.2,25.1,True
20000428,1.6,6.6,0.66,1.0062,1.37,0.0,0.0,18.7,14.4,21.3,True
20000429,1.8,7.3,0.88,1.0132,1.09,0.42,0.7,15.2,14.0,19.7,False
20000430,1.9,5.2,0.9,1.0201,0.99,0.01,0.3,14.8,12.7,17.3,False
20000501,2.8,9.2,0.83,1.0196,1.82,0.0,5.9,15.4,13.3,19.5,True
20000502,2.4,6.8,0.81,1.0193,1.4,0.0,2.9,17.0,12.8,21.5,True
20000503,2.2,6.0,0.56,1.0176,2.52,0.0,9.9,17.6,13.1,24.1,True
20000504,2.1,7.0,0.51,1.0178,2.68,0.0,11.1,16.7,10.7,24.0,True
20000505,1.9,7.0,0.46,1.0167,2.82,0.0,13.0,18.5,8.4,24.7,True
20000506,3.0,11.0,0.46,1.0152,2.88,0.0,13.1,19.4,12.9,25.0,True
20000507,2.1,8.0,0.49,1.0156,2.64,0.0,11.3,20.8,13.5,26.5,True
20000508,1.5,5.6,0.71,1.017,2.1,0.13,5.9,18.7,14.3,24.7,False
20000509,1.1,4.6,0.76,1.018,2.04,0.0,5.4,17.6,12.5,24.4,True
20000510,1.3,6.0,0.68,1.017,2.37,0.0,7.3,19.2,11.6,26.5,True
20000511,2.4,7.1,0.51,1.0172,2.7,0.0,12.7,20.4,14.7,26.5,True
20000512,3.1,9.3,0.51,1.0205,2.82,0.0,13.0,17.2,14.1,23.4,True
20000513,2.1,6.9,0.42,1.0238,3.13,0.0,13.9,16.3,9.2,22.6,True
20000514,1.2,5.5,0.42,1.0243,3.11,0.0,13.9,18.5,8.2,26.3,True
20000515,1.3,6.3,0.49,1.0208,3.14,0.0,14.0,19.2,8.5,27.3,True
20000516,1.9,7.7,0.54,1.0156,3.0,0.0,13.7,20.0,10.0,27.8,True
20000517,2.1,8.8,0.8,1.0115,1.59,0.55,5.9,14.5,11.9,24.0,False
20000518,2.5,11.5,0.87,1.0092,1.68,0.8,4.1,9.5,7.9,15.6,False
20000519,2.6,11.3,0.88,1.0084,1.67,1.03,3.4,9.1,6.7,14.4,False
20000520,1.8,9.3,0.81,1.0107,1.46,0.25,3.2,9.3,6.6,14.2,False
20000521,1.7,10.2,0.85,1.0098,1.5,0.72,4.6,10.1,4.7,14.7,False
20000522,1.2,5.9,0.87,1.0135,1.05,0.29,1.0,10.4,8.4,13.6,False
20000523,2.6,7.6,0.77,1.0198,1.94,0.01,3.6,13.0,7.2,17.5,False
20000524,2.5,8.3,0.81,1.0155,1.28,0.55,0.7,14.1,10.8,17.8,False
20000525,2.9,13.6,0.86,1.0119,1.1,0.14,1.4,12.6,9.9,17.0,False
20000526,2.0,7.9,0.6,1.016,2.81,0.0,10.4,15.1,5.4,19.9,True
20000527,3.0,10.5,0.62,1.0114,1.53,0.13,3.9,12.8,9.1,17.1,False
20000528,3.8,19.1,0.65,1.0072,1.55,0.04,2.9,11.4,7.5,16.9,False
20000529,2.9,12.8,0.75,1.0126,2.3,0.1,8.0,9.0,5.2,14.1,False
20000530,2.2,9.0,0.76,1.0156,2.08,0.0,5.0,10.1,4.1,15.2,False
20000531,1.5,5.5,0.62,1.0183,1.86,0.0,4.3,12.8,7.9,17.0,False
20000601,2.7,9.1,0.67,1.0218,2.16,0.0,2.8,16.5,8.5,20.9,True
20000602,2.6,9.6,0.62,1.0189,3.11,0.0,13.9,21.3,12.3,26.6,True
20000603,1.4,13.5,0.71,1.0186,2.64,4.13,8.0,19.2,13.7,28.9,False
20000604,2.1,8.1,0.75,1.0167,2.35,0.37,7.2,20.1,14.6,26.1,False
20000605,1.5,13.9,0.9,1.0152,1.48,1.15,3.8,16.6,15.1,23.4,False
20000606,2.1,8.9,0.76,1.0174,1.1,0.36,1.3,12.4,11.0,15.7,False
20000607,2.0,9.7,0.86,1.0214,1.57,0.16,3.3,11.0,9.6,15.3,False
20000608,1.2,5.7,0.69,1.022,3.06,0.0,10.7,14.8,6.7,21.0,True
20000609,2.0,7.0,0.56,1.0156,3.25,0.0,14.6,22.1,11.7,28.3,True
20000610,1.7,13.2,0.65,1.0134,2.68,0.0,10.8,22.9,14.4,29.8,True
20000611,2.4,8.8,0.82,1.0168,0.96,0.71,0.1,15.9,14.0,21.2,False
20000612,1.4,6.4,0.68,1.0249,3.09,0.0,12.8,17.6,10.3,23.9,True
20000613,1.8,8.7,0.64,1.0243,3.2,0.0,13.5,21.2,11.4,27.6,True
20000614,1.3,7.7,0.69,1.0227,1.9,0.05,4.8,19.9,16.1,23.9,False
20000615,2.4,10.2,0.7,1.0218,1.71,0.1,4.1,15.9,13.4,18.9,False
20000616,2.3,9.8,0.61,1.0271,2.55,0.0,9.0,11.6,8.1,16.4,False
20000617,1.3,6.7,0.53,1.0305,3.41,0.0,14.2,13.6,4.7,19.5,True
20000618,1.7,6.2,0.52,1.0269,3.22,0.0,13.4,19.9,6.4,27.1,True
20000619,1.9,7.0,0.47,1.0212,3.33,0.0,14.7,23.2,12.4,31.2,True
20000620,2.1,8.2,0.44,1.0157,3.34,0.0,14.9,25.4,14.6,32.6,True
20000621,2.6,8.4,0.53,1.0136,3.23,0.0,13.5,24.5,16.7,31.4,True
20000622,2.0,10.3,0.63,1.0152,2.19,0.1,5.1,19.0,17.2,24.1,False
20000623,2.4,11.9,0.68,1.017,2.25,0.69,4.7,15.8,12.6,20.2,False
20000624,2.0,9.6,0.78,1.0145,1.28,0.36,1.8,12.9,11.4,17.2,False
20000625,2.2,11.5,0.69,1.0168,1.68,0.11,2.2,13.3,9.7,17.1,False
20000626,2.6,9.5,0.67,1.0215,1.52,0.0,1.5,11.4,9.3,14.9,False
20000627,2.2,9.0,0.61,1.022,1.96,0.01,5.5,11.6,6.7,16.6,False
20000628,1.7,8.2,0.6,1.0189,1.89,0.0,3.3,12.4,5.1,15.5,False
20000629,1.5,6.6,0.69,1.019,1.23,0.0,1.5,11.2,8.2,15.8,False
20000630,1.4,8.1,0.69,1.0156,2.27,0.01,6.9,13.5,6.0,20.1,False
20000701,1.4,5.5,0.82,1.0116,1.38,0.05,1.2,15.9,8.3,21.8,False
20000702,1.2,7.7,0.86,1.0121,1.61,1.6,2.4,18.3,12.9,23.3,False
20000703,1.4,11.2,0.89,1.009,1.15,0.12,1.3,17.1,14.4,23.4,False
20000704,1.5,7.7,0.85,1.0064,1.17,1.17,0.3,16.9,13.1,21.8,False
20000705,2.1,10.0,0.77,1.0119,1.21,0.21,0.9,16.2,13.8,20.0,False
20000706,1.8,6.9,0.83,1.0191,1.23,0.0,2.7,15.3,12.5,19.6,True
20000707,2.8,8.5,0.8,1.0143,1.02,0.17,0.1,14.9,11.5,17.9,False
20000708,2.4,8.4,0.78,1.0142,1.02,0.0,0.0,11.9,9.3,14.9,False
20000709,3.3,10.5,0.85,1.0058,1.33,0.7,1.1,12.6,9.3,17.1,False
20000710,3.8,12.7,0.82,0.9944,1.84,0.32,4.4,14.2,11.8,18.8,False
20000711,3.3,12.4,0.77,0.9988,1.48,0.02,1.6,14.2,9.8,17.9,False
20000712,2.4,10.4,0.7,1.0116,1.52,0.0,1.5,11.8,10.2,17.3,False
20000713,3.4,9.4,0.84,1.0124,1.17,0.18,2.1,12.5,6.7,15.0,False
20000714,2.0,9.1,0.86,1.005,1.23,0.22,1.8,12.5,11.6,17.3,False
20000715,1.3,10.2,0.81,1.0082,1.17,0.44,1.0,11.8,9.5,15.7,False
20000716,0.9,6.5,0.8,1.013,1.62,0.02,1.6,13.6,9.1,18.0,False
20000717,1.4,7.2,0.77,1.018,1.07,0.0,0.8,14.0,9.9,17.7,False
20000718,1.7,6.4,0.78,1.0184,1.09,0.0,1.8,12.8,11.9,17.3,False
20000719,2.2,12.2,0.78,1.0177,1.02,0.04,0.7,13.8,8.6,18.0,False
20000720,2.2,8.2,0.64,1.0197,2.06,0.0,4.3,17.1,12.4,20.5,True
20000721,2.2,8.6,0.65,1.0212,1.62,0.0,4.8,15.4,11.8,20.8,True
20000722,1.2,6.4,0.85,1.0192,0.84,0.0,1.0,14.3,12.3,17.8,False
20000723,1.4,6.0,0.71,1.0152,2.45,0.0,7.6,18.0,11.1,24.4,True
20000724,1.6,5.6,0.85,1.0076,0.74,0.75,0.5,17.1,14.2,19.6,False
20000725,2.4,9.4,0.93,1.0049,0.56,1.32,0.1,15.6,13.2,18.6,False
20000726,1.4,6.0,0.79,1.0096,1.32,0.0,0.6,16.8,13.4,19.7,True
20000727,1.9,9.9,0.85,1.015,1.72,1.4,3.1,15.9,13.0,22.5,False
20000728,2.2,8.2,0.87,1.0127,0.76,0.06,0.3,14.9,13.8,17.2,False
20000729,1.7,7.2,0.9,1.0154,1.67,0.61,3.2,14.6,12.0,20.4,False
20000730,1.4,8.6,0.9,1.0211,1.27,0.76,2.3,15.8,12.5,20.1,False
20000731,1.6,5.7,0.81,1.0241,1.9,0.0,4.8,16.6,11.8,22.3,True
20000801,1.7,7.5,0.73,1.0204,2.68,0.0,10.7,19.3,10.9,26.4,True
20000802,2.1,8.1,0.73,1.0158,1.4,0.05,3.5,17.6,14.8,23.3,False
20000803,2.2,11.0,0.75,1.0179,1.95,0.08,4.7,15.9,11.3,22.4,False
20000804,1.3,8.1,0.82,1.0204,2.06,0.38,9.0,15.7,10.8,21.4,False
20000805,1.9,6.9,0.7,1.0229,2.85,0.0,12.4,17.6,10.3,23.8,True
20000806,1.5,6.3,0.67,1.0214,2.14,0.16,8.8,18.4,10.7,22.5,False
20000807,1.9,7.6,0.73,1.021,1.49,0.07,2.7,17.6,15.3,21.5,False
20000808,1.2,6.4,0.89,1.0204,1.18,0.51,1.6,15.8,13.5,19.8,False
20000809,1.0,4.3,0.78,1.021,1.71,0.0,4.1,17.7,12.6,23.3,True
20000810,2.1,10.0,0.82,1.0163,1.56,0.28,4.1,17.9,14.3,24.9,False
20000811,1.4,5.3,0.75,1.0158,1.64,0.0,2.9,17.4,14.4,23.2,True
20000812,1.0,6.4,0.63,1.0151,2.42,0.0,8.7,20.3,12.5,26.7,True
20000813,0.8,3.6,0.61,1.0183,2.62,0.0,12.7,21.0,12.0,29.1,True
20000814,1.5,7.7,0.6,1.019,2.51,0.0,12.0,22.9,12.9,30.3,True
20000815,1.8,12.1,0.77,1.019,1.5,0.73,3.2,19.8,16.7,27.5,False
20000816,1.8,7.9,0.77,1.0168,2.11,0.0,6.0,19.5,14.9,25.1,True
20000817,1.7,10.4,0.74,1.0128,2.2,0.0,8.4,19.2,15.0,26.7,True
20000818,1.1,4.6,0.72,1.015,1.82,2.61,6.3,19.8,14.2,25.2,False
20000819,2.0,9.7,0.9,1.0134,1.13,1.17,1.8,18.8,14.3,24.6,False
20000820,1.6,6.4,0.88,1.0131,1.42,0.85,4.6,18.4,16.5,24.0,False
20000821,2.3,9.0,0.85,1.014,1.56,0.01,3.2,15.3,13.7,19.8,False
20000822,1.1,3.8,0.8,1.0204,1.73,0.0,5.7,14.7,11.6,20.8,True
20000823,1.7,6.5,0.74,1.024,2.32,0.0,9.4,15.4,9.9,22.0,True
20000824,1.1,7.9,0.68,1.0233,2.42,0.0,12.3,16.7,8.0,24.3,True
20000825,1.3,5.3,0.73,1.0229,1.54,0.0,5.0,15.6,11.1,20.3,True
20000826,2.2,10.1,0.57,1.0168,2.47,0.0,12.6,18.8,11.3,24.0,True
20000827,1.9,7.6,0.73,1.015,1.78,0.2,7.9,17.6,12.5,23.7,False
20000828,1.5,6.1,0.7,1.0196,1.73,0.02,5.7,16.6,12.5,21.9,False
20000829,1.7,8.8,0.73,1.0205,1.71,0.0,5.6,16.1,11.1,22.2,True
20000830,1.7,5.6,0.68,1.0175,2.07,0.0,9.5,16.2,9.6,21.7,True
20000831,2.2,6.1,0.71,1.0118,1.58,0.0,4.2,16.7,13.7,20.7,True
20000901,2.4,9.7,0.86,1.0068,1.08,0.41,2.3,15.0,10.7,20.4,False
20000902,2.8,10.3,0.94,1.0042,0.65,1.03,0.6,12.8,11.8,15.5,False
20000903,2.9,13.0,0.83,1.0102,0.97,0.11,2.0,13.2,11.2,15.5,False
20000904,2.2,7.6,0.66,1.0189,2.01,0.0,9.3,13.6,9.1,17.4,False
20000905,1.0,6.0,0.8,1.0225,0.7,0.0,1.1,11.6,9.9,14.7,False
20000906,3.4,10.7,0.93,1.014,0.66,1.05,0.9,12.2,9.6,14.3,False
20000907,2.4,10.9,0.79,1.0123,1.32,0.1,4.2,14.6,10.7,18.5,False
20000908,2.9,8.7,0.87,1.0219,0.84,0.0,0.6,15.4,11.8,19.3,True
20000909,1.5,5.9,0.82,1.0243,1.38,0.0,2.9,17.2,14.1,23.0,True
20000910,1.0,3.6,0.87,1.024,0.97,0.0,0.6,16.3,12.8,22.0,True
20000911,1.0,4.6,0.8,1.0192,1.87,0.0,8.4,18.0,11.9,25.2,True
20000912,2.7,12.3,0.75,1.013,1.56,0.01,8.8,18.9,12.2,24.7,False
20000913,1.4,9.4,0.71,1.0122,1.39,0.0,4.5,18.0,14.8,22.5,True
20000914,1.2,4.1,0.86,1.0165,0.83,0.0,0.4,15.0,11.6,18.7,True
20000915,1.3,5.6,0.79,1.0147,1.2,0.83,4.2,17.2,12.6,21.8,False
20000916,3.0,10.9,0.93,1.0067,0.73,0.34,0.8,13.1,12.0,17.6,False
20000917,0.8,4.7,0.88,1.0101,0.84,0.0,0.9,14.3,10.4,18.8,True
20000918,1.3,5.7,0.91,1.0105,0.37,0.0,0.0,13.2,12.2,15.6,False
20000919,1.7,6.9,0.82,1.0082,1.55,0.0,7.6,13.4,9.2,19.1,True
20000920,1.9,8.4,0.78,1.0093,1.38,0.05,6.1,11.5,7.9,15.1,False
20000921,1.5,5.9,0.96,1.016,0.18,0.57,0.0,9.5,9.0,11.6,False
20000922,0.9,4.5,0.87,1.0251,1.01,0.0,1.9,10.7,8.7,15.9,False
20000923,1.5,8.2,0.74,1.0266,1.45,0.0,6.4,12.5,7.5,18.3,True
20000924,1.4,7.4,0.74,1.0223,1.79,0.0,11.1,11.7,6.3,18.9,True
20000925,1.4,4.2,0.93,1.0225,0.53,0.73,1.5,12.6,7.5,16.8,False
20000926,1.9,5.6,0.91,1.022,0.58,0.0,0.2,13.4,11.6,17.2,False
20000927,2.9,7.8,0.94,1.0176,0.54,0.04,1.2,15.2,11.5,17.2,False
20000928,1.7,10.1,0.88,1.0106,0.89,0.13,3.0,16.6,13.0,20.9,False
20000929,1.3,6.9,0.74,1.0056,1.53,0.0,10.4,17.6,12.6,25.5,True
20000930,1.0,4.4,0.87,1.0053,1.4,0.0,9.7,15.2,10.5,22.1,True
20001001,2.0,9.2,0.93,1.0056,0.46,0.01,0.0,14.4,12.8,17.4,False
20001002,2.2,9.0,0.85,1.0085,1.25,0.0,6.0,13.0,10.9,18.5,True
20001003,1.3,5.4,0.86,1.0222,1.09,0.0,5.7,11.4,8.4,17.4,False
20001004,1.1,3.9,0.87,1.0221,0.77,0.0,2.0,12.5,6.8,16.5,False
20001005,1.2,4.0,0.92,1.0177,0.65,0.27,0.4,12.6,11.2,16.1,False
20001006,1.3,11.4,0.79,1.021,0.84,0.0,3.0,9.0,7.6,13.1,False
20001007,0.8,2.4,0.92,1.0254,0.54,0.0,0.0,6.4,4.2,9.9,False
20001008,2.7,10.7,0.82,1.02,0.89,0.15,3.0,8.2,3.2,13.3,False
20001009,2.1,7.3,0.95,1.0104,0.48,0.03,0.5,7.6,5.8,12.3,False
20001010,4.0,14.4,0.83,0.9951,0.69,0.36,2.9,7.6,5.3,12.2,False
20001011,3.6,14.2,0.87,0.9894,0.25,0.29,0.1,8.8,4.1,12.4,False
20001012,2.5,12.2,0.8,1.0009,1.02,0.16,4.7,10.9,7.5,15.1,False
20001013,1.2,6.2,0.91,1.0119,0.64,0.01,1.8,11.6,9.5,15.3,False
20001014,1.6,5.4,0.87,1.0172,0.91,0.0,4.8,12.5,8.1,15.9,False
20001015,2.0,5.8,0.9,1.011,0.71,0.0,0.4,14.0,11.7,16.7,False
20001016,3.0,11.9,0.77,1.0097,0.89,0.0,5.2,14.1,9.4,18.3,True
20001017,1.5,6.1,0.81,1.0228,0.59,0.0,2.3,9.4,6.4,15.1,False
20001018,1.6,6.7,0.95,1.0265,0.75,0.0,3.1,4.9,1.6,9.9,False
