DATE,MUENCHEN_cloud_cover,MUENCHEN_wind_speed,MUENCHEN_wind_gust,MUENCHEN_humidity,MUENCHEN_pressure,MUENCHEN_global_radiation,MUENCHEN_precipitation,MUENCHEN_sunshine,MUENCHEN_temp_mean,MUENCHEN_temp_min,MUENCHEN_temp_max,MUENCHEN_picnic_weather
20000229,8,1.7,6.6,0.74,1.0183,0.8,0.05,1.7,8.4,6.6,11.5,False
20000301,8,4.1,14.1,0.83,1.0067,0.43,0.39,0.0,4.8,2.6,8.4,False
20000302,5,4.4,13.9,0.78,1.0228,1.17,0.04,4.7,2.0,0.7,5.0,False
20000303,7,7.5,19.9,0.52,1.0154,1.34,0.35,6.1,7.2,1.1,9.8,False
20000304,7,6.3,18.6,0.81,1.019,0.92,0.16,2.4,1.4,-0.5,7.8,False
20000305,5,4.9,14.2,0.66,1.0342,0.89,0.0,2.1,-0.3,-2.7,1.9,False
20000306,1,1.9,6.0,0.48,1.0327,1.86,0.0,11.0,3.5,-2.1,9.7,False
20000307,2,3.6,11.8,0.56,1.0283,1.86,0.03,10.8,6.5,-0.8,11.6,False
20000308,8,7.7,18.5,0.69,1.026,0.47,0.01,0.0,9.1,6.1,10.9,False
20000309,7,8.7,19.8,0.64,1.0224,0.78,0.18,1.2,11.6,9.2,15.2,False
20000310,8,5.3,15.5,0.84,1.0254,0.65,0.07,0.5,7.4,5.9,10.4,False
20000311,7,6.8,18.2,0.67,1.0186,0.64,0.02,0.4,9.4,7.2,13.0,False
20000312,4,2.3,10.1,0.68,1.0256,1.35,0.0,5.0,5.8,4.1,10.4,False
20000313,3,1.4,5.8,0.72,1.0264,1.74,0.01,8.4,5.7,-0.5,11.1,False
20000314,8,4.8,14.9,0.81,1.0219,0.57,1.07,0.1,8.2,3.8,10.5,False
20000315,6,5.6,15.5,0.66,1.0269,1.2,0.22,3.5,2.9,-0.4,8.6,False
20000316,8,6.2,16.2,0.94,1.0267,0.52,1.89,0.0,3.0,0.4,4.1,False
20000317,8,5.5,15.4,0.98,1.0238,0.53,2.55,0.0,5.2,0.0,5.5,False
20000318,8,2.1,7.5,0.94,1.0254,0.54,0.3,0.0,3.5,1.1,5.5,False
20000319,7,2.3,7.5,0.76,1.029,0.67,0.05,0.3,3.4,2.7,6.0,False
20000320,4,1.4,5.1,0.63,1.0285,1.84,0.0,8.2,4.7,-0.5,8.0,False
20000321,2,1.5,5.3,0.64,1.0232,2.19,0.0,11.3,6.8,0.5,13.0,False
20000322,0,1.9,8.4,0.61,1.0198,2.25,0.0,11.7,8.8,0.2,15.9,False
20000323,6,2.2,6.5,0.48,1.0156,2.0,0.0,9.1,12.2,5.3,17.2,False
20000324,7,1.9,10.3,0.68,1.0128,1.09,0.39,2.1,10.6,8.0,15.6,False
20000325,3,2.1,5.8,0.68,1.0165,1.69,0.0,6.2,9.5,5.9,14.3,False
20000326,7,2.4,9.5,0.86,1.0129,0.88,0.6,0.9,5.4,4.8,9.7,False
20000327,8,1.8,6.5,0.95,1.0078,0.59,0.59,0.0,3.8,3.5,6.3,False
20000328,8,2.7,8.1,0.82,1.0114,0.66,0.0,0.1,4.9,3.2,7.0,False
20000329,8,4.8,14.0,0.85,1.006,0.86,0.92,0.7,5.8,3.1,10.1,False
20000330,8,9.4,21.0,0.92,1.0085,0.61,1.22,0.0,2.8,2.2,4.8,False
20000331,5,4.6,15.0,0.67,1.0096,1.67,0.0,5.4,6.2,3.0,11.3,False
20000401,7,2.0,9.0,0.82,1.0077,1.19,0.02,2.2,5.3,0.6,9.0,False
20000402,4,2.8,9.2,0.59,1.006,2.39,0.0,11.0,8.6,1.5,14.9,False
20000403,5,2.3,6.6,0.48,0.9942,2.0,0.0,7.6,13.4,4.0,21.2,True
20000404,4,2.2,9.0,0.58,0.9935,2.24,0.1,9.4,12.6,9.3,18.4,False
20000405,8,3.0,9.6,0.87,1.0032,0.91,1.59,0.7,8.5,7.0,11.6,False
20000406,7,3.1,10.8,0.6,1.0242,1.39,0.0,3.0,2.2,0.1,7.5,False
20000407,4,1.7,7.0,0.59,1.0304,2.62,0.0,12.3,5.8,-1.2,9.7,False
20000408,4,2.1,6.6,0.56,1.0243,2.14,0.0,8.1,7.2,1.4,11.8,False
20000409,5,3.2,8.4,0.58,1.0122,2.6,0.0,11.8,8.6,2.2,13.8,False
20000410,6,2.2,6.4,0.58,1.0068,2.24,0.0,8.6,9.6,3.4,14.2,False
20000411,7,2.0,9.8,0.8,0.9991,1.35,0.01,2.5,9.0,5.9,12.5,False
20000412,6,3.5,12.2,0.82,0.9977,1.04,0.75,1.0,5.6,3.9,9.6,False
20000413,7,1.8,7.2,0.85,1.004,0.7,0.47,0.0,7.1,3.0,8.5,False
20000414,4,2.2,7.6,0.65,1.002,2.52,0.0,10.4,13.6,5.9,19.0,True
20000415,6,3.5,15.8,0.68,1.0017,2.0,0.0,6.3,8.9,6.4,20.2,True
20000416,5,3.2,11.0,0.45,1.0038,2.4,0.0,9.2,12.4,4.8,18.3,True
20000417,7,3.8,10.1,0.71,1.0051,1.39,0.66,2.4,9.8,6.9,16.0,False
20000418,8,2.3,6.5,0.81,1.0122,0.73,0.11,0.0,8.2,5.3,10.4,False
20000419,6,2.2,6.5,0.74,1.0122,1.05,0.0,0.8,10.5,6.9,13.7,False
20000420,0,1.9,8.3,0.73,1.0158,2.81,0.0,12.0,12.7,4.6,18.4,True
20000421,3,1.9,8.2,0.56,1.0164,2.88,0.0,12.5,16.2,8.5,23.2,True
20000422,1,1.7,6.8,0.46,1.0132,2.92,0.0,12.7,18.4,9.9,26.4,True
20000423,5,2.2,10.6,0.5,1.008,2.44,0.03,8.8,19.3,10.4,25.0,False
20000424,8,4.5,13.1,0.96,1.0134,0.76,0.07,0.0,8.9,7.0,18.8,False
20000425,3,2.0,8.1,0.74,1.0145,2.11,0.0,6.3,12.6,8.6,17.9,False
20000426,1,1.8,6.2,0.66,1.0119,2.87,0.0,11.8,15.9,7.2,23.6,True
20000427,5,2.2,7.7,0.72,1.0098,1.59,0.0,3.0,16.5,9.5,19.5,True
20000428,7,2.4,10.5,0.49,1.0054,2.26,0.0,7.1,19.6,10.7,27.5,True
20000429,8,2.2,7.5,0.66,1.0125,2.14,0.0,6.2,16.9,13.1,23.2,True
20000430,7,2.1,6.1,0.9,1.0188,0.79,0.0,0.0,14.4,13.6,17.0,False
20000501,6,1.4,11.3,0.79,1.0166,1.9,0.09,4.0,15.3,11.7,22.9,False
20000502,3,2.2,10.3,0.69,1.0159,2.47,0.01,7.7,16.6,9.8,22.7,False
20000503,5,1.9,11.4,0.69,1.0166,2.7,1.66,9.4,15.8,9.3,22.8,False
20000504,7,1.8,8.9,0.91,1.0176,1.82,0.75,3.4,14.3,12.9,20.6,False
20000505,2,2.2,8.7,0.71,1.0151,2.96,0.0,11.4,16.4,10.7,22.0,True
20000506,4,1.8,11.1,0.78,1.0138,2.81,1.82,10.0,16.1,10.3,23.9,False
20000507,4,1.4,6.4,0.64,1.0148,3.15,0.0,12.8,17.6,9.9,24.5,True
20000508,7,2.1,9.5,0.68,1.0165,2.08,0.14,4.7,17.1,11.9,23.4,False
20000509,2,1.9,8.3,0.63,1.0175,3.19,0.0,13.0,19.0,12.5,24.9,True
20000510,2,1.6,7.0,0.52,1.0148,3.25,0.0,13.4,21.4,12.3,27.3,True
20000511,4,1.8,6.2,0.5,1.0136,3.18,0.0,12.7,22.0,14.0,27.6,True
20000512,7,2.8,10.0,0.88,1.0185,0.96,1.22,0.1,15.4,14.0,21.2,False
20000513,4,2.4,7.7,0.78,1.0216,2.43,0.0,6.7,15.6,13.8,20.1,True
20000514,0,3.1,10.3,0.5,1.0228,3.45,0.0,14.8,16.3,8.3,23.0,True
20000515,1,1.5,5.1,0.52,1.0206,3.45,0.0,14.7,18.5,8.5,25.7,True
20000516,5,1.6,6.1,0.49,1.0167,3.33,0.0,13.6,22.1,13.3,27.1,True
20000517,4,2.7,15.1,0.62,1.0131,3.11,9.79,11.6,18.6,13.7,27.8,False
20000518,7,2.4,8.9,0.91,1.012,0.87,1.38,0.0,12.1,10.7,15.1,False
20000519,7,3.2,10.3,0.72,1.0119,2.12,0.61,4.5,11.2,8.0,14.7,False
20000520,6,3.4,18.4,0.76,1.0134,2.29,0.39,5.5,9.2,6.2,14.3,False
20000521,5,2.0,14.8,0.61,1.0107,2.7,0.24,8.2,13.6,5.3,17.9,False
20000522,8,4.5,14.1,0.79,1.0172,1.24,0.03,0.6,10.2,7.7,13.5,False
20000523,3,2.0,6.2,0.63,1.0211,3.03,0.0,10.6,13.8,7.8,18.6,True
20000524,2,2.0,7.4,0.6,1.017,3.47,0.0,14.2,17.5,8.1,22.9,True
20000525,7,2.9,10.1,0.6,1.015,2.41,0.03,6.1,18.6,11.6,24.7,False
20000526,6,2.5,9.1,0.77,1.0157,2.67,0.03,7.8,18.2,12.9,22.1,False
20000527,7,2.5,17.8,0.85,1.0159,1.42,0.2,1.1,13.2,11.1,19.4,False
20000528,7,2.8,11.9,0.8,1.0126,2.18,0.68,4.6,13.9,9.9,19.3,False
20000529,7,3.1,18.1,0.82,1.0175,1.84,0.4,2.8,9.8,7.4,13.0,False
20000530,7,2.4,11.1,0.7,1.0176,2.51,2.08,6.6,12.4,7.6,16.5,False
20000531,6,3.1,13.6,0.89,1.0183,1.33,0.18,0.8,11.4,10.0,14.8,False
20000601,2,1.6,7.4,0.64,1.0249,3.34,0.0,13.5,16.6,6.7,22.0,True
20000602,4,1.7,5.2,0.61,1.0215,3.28,0.0,13.0,20.1,12.1,26.9,True
20000603,3,2.5,12.7,0.56,1.0185,3.42,0.06,14.1,22.2,13.9,28.6,False
20000604,4,2.0,13.8,0.72,1.0188,2.38,1.19,6.7,20.8,15.3,26.5,False
20000605,5,2.3,11.5,0.65,1.015,3.12,0.67,11.7,21.3,14.7,28.5,False
20000606,8,2.8,10.2,0.96,1.0194,0.87,0.83,0.1,13.4,11.9,19.0,False
20000607,4,3.5,14.8,0.66,1.0235,2.62,0.0,8.2,14.4,10.9,18.7,True
20000608,1,3.1,9.6,0.56,1.021,3.51,0.0,14.7,17.6,9.7,22.5,True
20000609,1,2.5,9.4,0.62,1.0154,3.57,0.0,15.1,21.7,13.0,28.2,True
20000610,3,1.6,6.5,0.52,1.0128,2.98,0.0,10.6,24.3,16.9,29.8,True
20000611,6,2.7,11.3,0.65,1.013,2.63,0.0,8.2,22.0,15.7,30.1,True
20000612,6,2.2,8.3,0.78,1.0248,1.85,0.0,3.6,19.6,16.5,23.8,True
20000613,5,2.6,14.8,0.63,1.023,3.28,0.31,12.8,23.7,15.8,29.6,False
20000614,4,3.5,13.2,0.69,1.0228,3.12,0.01,11.6,20.2,16.3,26.4,False
20000615,7,4.1,14.2,0.72,1.0227,1.57,0.11,2.3,18.1,15.8,22.5,False
20000616,5,3.5,10.9,0.59,1.0257,2.62,0.0,8.1,14.8,12.4,19.4,True
20000617,1,1.9,6.9,0.44,1.0295,3.44,0.0,14.0,15.6,9.1,20.3,True
20000618,0,1.9,6.2,0.4,1.0282,3.62,0.0,15.4,18.9,8.5,25.9,True
20000619,1,2.0,7.1,0.43,1.0219,3.62,0.0,15.4,22.6,12.3,29.7,True
20000620,0,2.0,7.2,0.41,1.0162,3.61,0.0,15.4,24.7,14.4,31.9,True
20000621,2,2.4,10.7,0.41,1.0141,3.56,0.0,15.0,26.1,17.8,32.1,True
20000622,5,3.3,9.9,0.55,1.0154,3.16,2.61,11.9,23.0,19.8,30.0,False
20000623,7,2.3,8.6,0.81,1.0193,1.32,0.35,1.3,16.4,14.1,20.3,False
20000624,7,3.2,12.9,0.8,1.0167,1.37,0.31,1.5,13.1,10.6,18.7,False
20000625,6,3.6,11.7,0.77,1.0184,1.61,0.0,2.5,12.6,10.2,15.5,False
20000626,6,3.2,11.5,0.59,1.0207,2.26,0.0,5.9,13.6,11.0,17.6,False
20000627,1,2.1,8.6,0.5,1.0204,3.24,0.0,12.5,14.2,9.3,19.8,True
20000628,5,2.1,9.1,0.52,1.0152,2.99,0.0,10.7,17.2,8.1,21.5,True
20000629,6,2.9,11.5,0.43,1.0164,2.61,0.0,8.1,17.1,11.7,21.0,True
20000630,3,2.6,10.6,0.51,1.0149,3.2,0.0,12.3,18.7,11.8,23.9,True
20000701,3,2.6,12.2,0.52,1.0118,3.24,0.48,12.6,21.6,12.3,28.0,False
20000702,4,2.9,15.2,0.59,1.0119,3.13,1.51,11.8,23.2,16.2,29.1,False
20000703,7,3.2,11.8,0.78,1.011,2.06,0.77,4.8,20.0,17.6,26.6,False
20000704,6,2.7,11.7,0.77,1.0086,1.73,0.05,3.1,19.0,16.5,22.1,False
20000705,4,4.3,15.4,0.53,1.0155,3.36,0.0,13.6,19.9,15.7,23.3,True
20000706,2,2.3,9.1,0.52,1.0187,2.99,0.17,10.9,20.6,14.5,25.4,False
20000707,7,2.3,14.9,0.9,1.011,1.46,0.6,1.9,17.3,14.6,22.8,False
20000708,7,4.6,16.5,0.81,1.0127,1.52,0.02,2.2,13.0,10.9,17.4,False
20000709,7,3.7,14.3,0.79,1.0111,1.27,0.49,1.2,13.4,11.1,18.2,False
20000710,8,3.1,13.8,0.84,1.0014,0.91,0.89,0.2,14.8,12.4,18.6,False
20000711,7,3.6,10.7,0.79,1.0028,1.58,0.42,2.5,13.3,11.3,18.7,False
20000712,7,4.0,11.9,0.78,1.0134,1.51,0.45,2.2,12.4,10.5,16.3,False
20000713,6,3.8,11.4,0.73,1.0169,1.79,0.62,3.5,12.9,8.5,16.4,False
20000714,7,4.7,14.5,0.91,1.009,0.91,1.05,0.2,12.0,11.3,13.7,False
20000715,6,3.5,11.0,0.9,1.0098,1.68,0.45,3.0,10.3,9.2,13.9,False
20000716,6,3.1,11.3,0.91,1.0147,1.83,0.39,3.8,10.6,9.2,15.0,False
20000717,4,2.2,6.5,0.66,1.0183,2.73,0.06,9.4,14.7,9.3,19.8,False
20000718,4,2.0,8.0,0.69,1.0181,2.68,0.0,9.1,15.8,11.7,21.0,True
20000719,4,3.2,13.8,0.71,1.0184,2.41,0.09,7.3,15.0,12.5,19.2,False
20000720,6,2.4,7.9,0.65,1.021,1.55,0.0,2.5,16.0,11.9,18.9,True
20000721,5,3.0,8.7,0.59,1.02,2.47,0.0,7.8,17.6,12.9,22.4,True
20000722,2,1.8,6.5,0.56,1.0171,3.33,0.0,14.2,19.0,10.1,24.1,True
20000723,7,1.6,8.1,0.82,1.0139,1.94,0.18,4.6,18.0,12.6,24.3,False
20000724,7,2.3,11.4,0.81,1.0079,1.64,0.97,3.0,18.5,15.7,25.6,False
20000725,4,3.5,10.9,0.61,1.0082,2.73,0.25,9.8,20.8,14.9,25.0,False
20000726,6,3.7,18.7,0.77,1.0107,2.06,0.69,5.4,17.7,15.6,24.8,False
20000727,5,1.9,12.9,0.62,1.016,2.81,0.05,10.5,20.9,13.5,26.2,False
20000728,6,3.1,14.0,0.91,1.0152,1.45,1.19,2.2,15.2,12.7,21.0,False
20000729,6,4.6,12.1,0.77,1.0176,1.82,0.29,4.1,15.8,13.3,20.0,False
20000730,7,3.4,10.6,0.88,1.0228,1.62,2.07,3.1,15.2,13.1,19.5,False
20000731,1,1.7,5.8,0.71,1.0241,2.93,0.0,11.7,18.1,12.0,24.2,True
20000801,0,1.6,5.0,0.54,1.021,3.26,0.0,14.4,21.6,12.0,28.0,True
20000802,5,2.9,12.7,0.61,1.018,2.44,0.02,8.2,21.2,17.3,29.0,False
20000803,8,1.7,6.1,0.92,1.0202,1.17,1.08,1.2,16.1,14.9,21.2,False
20000804,7,1.8,4.8,0.83,1.0208,0.96,0.08,0.5,15.8,14.4,18.2,False
20000805,8,2.1,7.9,0.95,1.0194,0.69,2.97,0.0,15.9,13.8,17.6,False
20000806,8,3.0,8.3,0.99,1.0181,0.69,5.86,0.0,14.5,13.9,16.2,False
20000807,6,3.0,9.5,0.92,1.0219,1.3,0.18,1.8,15.9,13.6,19.1,False
20000808,7,2.1,8.1,0.8,1.021,2.06,0.08,6.0,17.7,13.7,23.3,False
20000809,4,1.6,5.5,0.8,1.0211,2.43,0.0,8.6,18.5,14.3,23.6,True
20000810,5,1.9,7.7,0.61,1.0172,2.5,0.0,9.2,22.0,14.6,27.2,True
20000811,1,2.7,9.5,0.56,1.014,2.97,0.0,13.0,22.0,17.9,28.8,True
20000812,2,1.6,7.3,0.59,1.0131,2.93,0.0,12.8,22.6,14.3,29.3,True
20000813,1,1.7,6.7,0.56,1.0164,2.92,0.0,12.8,22.4,15.6,29.3,True
20000814,1,1.3,6.1,0.53,1.019,2.82,0.0,12.1,23.2,15.8,29.6,True
20000815,2,2.2,8.0,0.56,1.019,2.65,0.36,10.8,23.3,17.6,30.2,False
20000816,3,1.5,9.1,0.75,1.0168,2.61,0.0,10.6,22.3,18.0,28.1,True
20000817,4,2.8,17.3,0.57,1.0138,2.5,0.29,9.8,23.4,17.4,31.1,False
20000818,6,2.2,10.2,0.76,1.0158,1.39,0.27,2.6,21.0,17.5,24.5,False
20000819,1,1.8,7.0,0.61,1.0138,2.84,0.0,12.9,23.8,16.1,30.7,True
20000820,3,2.5,8.8,0.5,1.0112,2.74,0.0,12.1,26.8,18.2,33.5,True
20000821,6,3.3,17.3,0.71,1.0132,2.22,1.77,8.1,20.5,17.7,28.3,False
20000822,6,2.1,8.4,0.72,1.0192,1.4,0.0,2.8,18.1,15.0,21.2,True
20000823,1,2.0,6.5,0.68,1.02,2.75,0.0,12.6,19.4,12.7,25.0,True
20000824,1,2.0,9.4,0.59,1.0208,2.73,0.0,12.6,21.5,13.4,28.0,True
20000825,1,2.7,9.3,0.59,1.0202,2.59,0.0,11.5,19.4,14.8,25.7,True
20000826,1,3.6,10.2,0.5,1.0151,2.72,0.0,12.8,18.4,12.9,25.0,True
20000827,5,3.2,12.1,0.7,1.0154,2.05,0.2,7.4,17.0,10.9,23.7,False
20000828,4,2.4,7.0,0.83,1.0201,0.94,0.01,0.9,16.3,14.4,19.8,False
20000829,2,1.3,5.5,0.73,1.0198,2.39,0.0,10.3,16.4,11.0,22.8,True
20000830,6,1.9,7.4,0.75,1.0146,2.09,0.05,8.0,18.0,11.3,24.7,False
20000831,7,2.0,6.9,0.84,1.009,1.45,4.07,3.6,16.6,13.7,21.6,False
20000901,6,2.4,6.2,0.79,1.0081,1.71,0.03,5.2,18.0,14.2,22.2,False
20000902,6,4.7,18.2,0.71,1.0091,1.49,0.06,3.7,14.6,12.5,19.4,False
20000903,7,4.1,11.6,0.94,1.0127,0.98,0.84,1.0,12.5,11.4,15.6,False
20000904,6,3.1,10.5,0.84,1.0189,1.2,0.5,2.1,11.6,10.2,13.9,False
20000905,7,2.5,8.6,0.78,1.0228,1.15,0.0,1.9,12.8,9.9,16.2,False
20000906,7,2.0,11.7,0.82,1.0176,1.4,0.93,3.4,12.9,10.1,17.2,False
20000907,7,4.1,14.4,0.96,1.015,1.12,0.74,1.8,11.8,11.2,14.6,False
20000908,3,1.6,5.7,0.79,1.023,2.27,0.0,10.9,14.1,10.8,19.8,True
20000909,1,1.6,5.5,0.8,1.0241,2.34,0.0,11.8,15.6,8.4,23.3,True
20000910,2,1.4,6.6,0.82,1.0216,2.36,0.0,12.2,17.0,9.5,24.8,True
20000911,1,1.6,6.9,0.77,1.017,2.32,0.0,12.0,17.5,11.4,24.8,True
20000912,3,1.8,7.5,0.74,1.0138,2.23,0.0,11.2,18.1,10.6,26.0,True
20000913,6,2.6,10.1,0.87,1.0138,0.98,0.75,1.4,17.0,15.3,18.6,False
20000914,7,1.7,6.4,0.89,1.0162,1.3,0.0,3.4,17.3,13.7,21.3,True
20000915,7,1.5,4.6,0.79,1.0142,1.76,0.0,7.2,19.6,14.8,25.1,True
20000916,7,3.0,11.3,0.82,1.0112,0.83,1.21,0.8,14.1,12.3,19.7,False
20000917,8,4.5,13.4,0.96,1.0119,0.53,0.14,0.0,12.2,10.9,13.2,False
20000918,5,1.8,6.1,0.87,1.0101,1.01,0.0,1.8,13.4,11.6,18.0,True
20000919,5,2.8,6.8,0.94,1.0075,1.11,0.0,2.5,12.3,9.0,17.6,False
20000920,7,2.5,9.0,0.93,1.0059,1.2,3.34,3.2,13.8,8.8,19.6,False
20000921,8,4.3,14.3,1.0,1.0125,0.51,6.49,0.0,11.0,10.3,13.6,False
20000922,8,2.2,8.5,0.94,1.0243,0.5,0.05,0.0,12.3,10.1,14.1,False
20000923,4,3.0,9.8,0.85,1.0238,1.26,0.0,3.9,11.5,9.9,16.4,False
20000924,3,1.6,4.5,0.92,1.0214,1.37,0.0,4.9,10.3,6.6,15.3,False
20000925,5,1.3,5.2,0.9,1.0223,1.75,0.0,8.7,14.8,8.0,20.9,True
20000926,4,1.5,4.4,0.89,1.0219,1.72,0.0,8.6,15.8,12.4,22.0,True
20000927,2,1.2,4.5,0.84,1.0186,1.9,0.0,10.8,16.6,10.5,23.1,True
20000928,2,2.3,7.7,0.82,1.0119,1.84,0.0,10.3,17.5,13.7,24.1,True
20000929,1,2.4,7.2,0.81,1.0041,1.86,0.0,10.8,17.2,10.6,24.4,True
20000930,6,2.1,7.5,0.79,1.0032,1.66,0.02,8.7,17.0,10.1,24.1,False
20001001,7,2.4,7.5,0.88,1.0064,0.79,1.28,1.3,13.7,12.7,16.7,False
20001002,8,2.2,9.7,0.99,1.0104,0.44,2.75,0.0,11.5,10.2,14.4,False
20001003,8,1.9,6.1,0.99,1.0218,0.44,0.33,0.0,10.7,9.7,11.5,False
20001004,8,1.4,4.4,0.92,1.0217,0.43,0.0,0.0,11.0,9.3,11.7,False
