DATE,OSLO_cloud_cover,OSLO_wind_speed,OSLO_wind_gust,OSLO_humidity,OSLO_pressure,OSLO_global_radiation,OSLO_precipitation,OSLO_sunshine,OSLO_temp_mean,OSLO_temp_min,OSLO_temp_max,OSLO_picnic_weather
20000222,8,2.4,5.1,0.89,1.0212,0.28,0.0,0.0,-1.9,-5.4,0.1,False
20000223,7,2.1,7.7,0.89,1.0237,0.12,0.43,0.0,-3.0,-5.9,-1.0,False
20000224,6,2.7,8.7,0.94,1.0038,0.5,0.83,3.0,-0.3,-1.2,2.6,False
20000225,3,1.2,4.6,0.9,1.0058,0.08,0.0,2.5,-3.2,-7.2,1.7,False
20000226,6,1.0,4.1,0.91,1.0167,0.2,0.0,0.0,-1.1,-4.3,1.5,False
20000227,8,6.7,15.4,0.93,1.0053,0.2,0.05,0.0,2.7,-3.7,4.5,False
20000228,7,3.1,13.9,0.85,0.9904,0.36,0.0,2.0,4.2,3.5,5.8,False
20000229,7,5.6,12.9,0.88,0.9913,0.4,0.36,3.0,2.9,1.4,5.3,False
20000301,5,2.0,10.8,0.72,0.9819,0.86,0.0,6.3,2.9,0.1,6.7,False
20000302,4,3.8,10.3,0.45,0.9979,0.93,1.26,7.0,1.4,-0.6,4.5,False
20000303,7,3.4,14.4,0.8,0.9721,0.08,0.0,5.4,-0.2,-2.2,2.3,False
20000304,6,5.3,18.0,0.43,0.9984,0.52,0.0,7.6,-0.2,-3.1,3.0,False
20000305,5,2.6,14.4,0.51,1.0143,0.99,0.01,6.6,-1.8,-7.4,3.9,False
20000306,7,3.8,16.5,0.76,0.9908,0.75,0.0,3.8,5.9,-1.0,11.1,False
20000307,4,3.8,15.4,0.44,0.9973,0.74,0.0,5.8,5.2,3.7,8.1,False
20000308,8,2.1,7.2,0.88,0.9956,0.16,0.53,0.0,-0.9,-1.9,5.0,False
20000309,2,4.5,14.4,0.54,1.0079,0.61,0.0,7.7,-0.4,-3.5,3.3,False
20000310,6,2.0,10.3,0.48,1.0178,0.88,0.35,5.3,-0.6,-5.4,4.0,False
20000311,3,3.3,7.2,0.71,1.0118,0.84,0.02,7.3,0.0,-2.5,4.3,False
20000312,3,1.5,5.1,0.75,1.0173,1.23,0.0,9.4,-0.9,-6.0,4.6,False
20000313,7,1.7,4.6,0.94,1.0072,0.31,0.0,0.0,1.6,-1.4,4.8,False
20000314,3,3.9,15.9,0.48,0.9969,0.92,0.0,6.6,2.4,-0.6,7.0,False
20000315,4,2.1,11.3,0.41,1.0117,1.34,0.0,8.9,1.9,-0.9,5.8,False
20000316,7,1.0,9.3,0.74,1.02,0.68,0.12,1.8,0.1,-2.0,4.3,False
20000317,8,0.7,3.6,0.88,1.024,0.24,0.11,0.0,0.5,-0.8,2.0,False
20000318,3,2.9,17.5,0.65,1.028,1.41,0.0,9.4,4.0,0.4,9.2,False
20000319,8,0.7,4.1,0.8,1.0242,0.25,0.0,0.0,0.9,-2.5,4.6,False
20000320,4,4.5,12.3,0.62,1.0131,1.08,0.0,8.2,8.5,1.0,15.4,False
20000321,5,2.0,9.3,0.68,1.0111,1.09,0.0,5.5,5.6,-0.8,10.4,False
20000322,4,2.7,10.8,0.6,1.0099,1.4,0.0,9.9,3.1,-2.5,8.9,False
20000323,4,4.1,13.4,0.44,1.0128,1.25,0.0,8.3,2.0,-1.2,6.6,False
20000324,5,1.2,10.3,0.52,1.0183,1.46,0.0,10.6,1.9,-3.7,7.4,False
20000325,8,1.9,5.1,0.56,1.0142,0.7,0.0,0.0,2.5,-1.8,6.0,False
20000326,7,3.2,9.8,0.67,1.0131,0.77,0.01,0.8,3.5,1.5,6.6,False
20000327,2,4.6,12.9,0.48,1.0251,1.6,0.0,9.3,1.7,-1.0,5.1,False
20000328,2,1.5,6.2,0.5,1.0284,1.63,0.0,10.8,1.1,-4.4,7.0,False
20000329,5,1.4,4.6,0.62,1.0254,1.02,0.0,1.7,3.2,-2.0,8.1,False
20000330,1,2.2,6.7,0.62,1.014,1.69,0.0,11.6,4.2,-1.9,11.2,False
20000331,8,1.4,5.1,0.98,1.0021,0.28,0.0,0.0,2.7,0.1,8.6,False
20000401,8,5.6,12.3,0.54,1.0019,0.97,0.15,1.4,3.9,2.0,6.6,False
20000402,8,2.8,8.7,0.9,1.008,0.44,0.46,0.0,-0.9,-1.4,3.8,False
20000403,8,5.9,11.8,0.94,1.0028,0.46,2.18,0.0,-1.2,-2.1,-0.2,False
20000404,8,5.3,12.9,0.85,0.9966,0.46,0.65,0.0,-1.7,-2.6,-0.7,False
20000405,1,5.8,14.4,0.43,1.0067,1.3,0.0,11.9,0.4,-6.1,6.1,False
20000406,5,1.0,10.8,0.67,1.0184,1.14,0.0,5.4,1.9,-3.9,8.4,False
20000407,4,1.4,7.7,0.58,1.0281,1.82,0.0,9.7,4.9,1.3,10.1,False
20000408,7,0.8,4.6,0.67,1.0249,0.74,0.0,0.0,3.7,-1.2,8.1,False
20000409,2,1.5,6.2,0.66,1.0219,1.93,0.0,9.9,4.7,-2.1,11.0,False
20000410,4,2.1,7.7,0.7,1.012,1.94,0.0,10.1,5.5,-0.4,11.6,False
20000411,8,2.1,6.2,0.78,1.0026,0.68,0.13,0.4,5.0,1.0,7.9,False
20000412,5,4.6,10.8,0.7,1.0018,1.28,0.11,5.8,5.6,2.5,9.5,False
20000413,8,8.7,18.5,0.84,0.992,0.66,0.19,0.0,4.3,2.5,8.0,False
20000414,7,2.4,14.4,0.69,0.9924,0.8,0.43,0.8,6.5,4.6,8.6,False
20000415,6,2.6,8.7,0.82,0.9954,0.88,0.61,4.3,5.0,2.7,9.0,False
20000416,8,4.0,10.3,0.88,1.0014,0.72,0.79,1.6,3.1,-0.5,6.8,False
20000417,8,1.9,8.2,0.92,1.0026,0.64,0.49,0.0,4.5,2.2,7.7,False
20000418,7,4.1,11.8,0.87,1.0062,0.66,0.07,2.2,6.5,4.5,9.4,False
20000419,8,1.2,8.2,0.77,1.0155,0.85,0.0,0.0,7.7,4.9,10.8,False
20000420,7,2.4,7.2,0.79,1.0144,1.37,0.09,4.4,9.3,6.6,13.1,False
20000421,8,2.2,8.2,0.95,1.0111,0.12,0.57,0.0,8.5,7.6,9.6,False
20000422,7,3.3,11.3,0.88,1.0154,0.96,0.36,3.0,8.4,6.0,12.3,False
20000423,8,0.8,7.7,0.94,1.0082,0.25,0.1,0.0,8.6,7.2,9.8,False
20000424,8,2.7,6.7,0.86,1.0106,0.59,0.02,0.0,8.7,6.8,10.8,False
20000425,3,2.7,9.3,0.65,1.0114,2.19,0.0,11.5,10.7,5.9,16.8,False
20000426,8,3.1,9.3,0.7,1.0177,0.82,0.0,1.3,9.6,6.6,12.0,False
20000427,8,2.9,12.9,0.87,1.0191,0.33,0.23,0.0,8.8,7.5,10.6,False
20000428,6,6.2,12.3,0.79,1.0218,1.38,0.0,2.2,12.4,8.3,17.1,False
20000429,4,3.6,9.8,0.64,1.0211,2.17,0.0,12.6,17.9,12.1,25.4,True
20000430,5,1.5,7.7,0.7,1.022,1.2,0.23,5.4,18.1,13.6,22.2,False
20000501,7,4.6,8.7,0.88,1.0275,1.49,0.6,3.3,10.7,9.6,19.8,False
20000502,8,1.0,8.2,0.96,1.0275,0.42,0.66,0.0,6.7,5.4,11.5,False
20000503,4,3.1,10.8,0.65,1.0224,2.11,0.0,10.7,10.9,6.3,15.7,False
20000504,3,2.4,9.3,0.49,1.0232,2.56,0.0,14.3,11.0,4.9,17.4,False
20000505,4,1.2,6.7,0.57,1.0179,2.47,0.0,13.8,13.0,3.7,20.8,True
20000506,1,3.3,12.3,0.46,1.0228,2.69,0.0,14.4,13.5,8.6,19.6,True
20000507,2,2.7,8.2,0.66,1.0227,2.49,0.0,14.0,13.8,6.5,20.6,True
20000508,1,1.2,5.1,0.5,1.0237,2.53,0.0,13.9,16.5,8.4,24.1,True
20000509,1,2.7,8.7,0.57,1.0211,2.53,0.0,14.0,16.5,9.3,23.5,True
20000510,4,2.4,7.7,0.55,1.0166,1.93,0.0,10.0,15.8,8.2,21.6,True
20000511,5,5.2,14.4,0.34,1.023,2.66,0.0,14.3,12.6,7.6,19.9,True
20000512,2,2.4,10.8,0.49,1.0289,2.66,0.0,14.1,9.4,2.1,16.1,False
20000513,2,2.4,6.7,0.54,1.0234,2.74,0.0,14.3,15.2,5.2,24.9,True
20000514,2,1.9,7.7,0.65,1.0214,2.75,0.0,14.8,16.1,7.9,25.1,True
20000515,1,2.7,7.7,0.54,1.0165,2.76,0.0,15.0,17.1,8.5,25.8,True
20000516,5,2.7,9.8,0.55,1.0135,2.4,0.0,12.3,16.4,9.5,22.8,True
20000517,7,1.9,12.3,0.81,1.003,0.75,0.29,1.1,14.8,11.8,19.2,False
20000518,6,4.6,11.8,0.67,1.0026,1.84,0.0,9.2,11.4,9.4,14.9,False
20000519,6,4.4,11.8,0.7,1.0021,1.82,0.34,7.3,11.5,9.4,14.8,False
20000520,3,2.1,9.3,0.67,1.0059,2.78,0.0,11.1,12.1,7.2,18.1,True
20000521,2,2.7,8.2,0.55,1.0043,2.93,0.0,14.6,13.2,5.9,19.7,True
20000522,6,2.4,8.2,0.68,1.0076,2.27,0.0,11.3,11.7,6.6,16.5,False
20000523,5,4.3,12.9,0.7,1.0099,2.43,1.6,10.0,12.5,7.6,17.1,False
20000524,7,3.6,10.8,0.66,1.0013,1.3,0.48,6.4,13.3,10.1,16.9,False
20000525,7,2.2,13.9,0.6,1.0042,1.71,0.95,7.7,10.9,4.7,16.2,False
20000526,5,2.2,14.9,0.73,1.0046,1.88,0.97,9.1,11.2,7.1,15.7,False
20000527,8,2.9,13.9,0.85,1.0053,0.46,1.24,0.0,8.0,4.5,13.6,False
20000528,6,6.2,20.6,0.68,1.0011,1.64,0.66,6.4,11.2,8.2,14.9,False
20000529,8,3.5,10.3,0.88,0.9947,0.73,1.16,0.2,8.9,7.9,11.3,False
20000530,7,2.2,11.8,0.84,1.0013,1.33,0.25,2.0,9.8,8.0,13.3,False
20000531,4,2.4,10.8,0.69,1.0097,2.51,0.14,9.6,10.6,6.6,15.3,False
20000601,5,3.1,10.3,0.66,1.0148,1.93,1.19,9.3,10.0,3.7,15.5,False
20000602,5,4.1,13.9,0.69,1.0036,1.14,0.05,5.7,12.3,9.0,16.6,False
20000603,1,5.0,15.9,0.44,1.0145,3.1,0.0,15.4,11.3,5.6,16.6,False
20000604,2,2.9,10.3,0.43,1.0209,3.28,0.0,15.3,10.8,3.9,16.6,False
20000605,4,2.5,11.8,0.43,1.0208,2.88,0.0,15.0,11.9,7.0,17.1,False
20000606,6,2.4,9.3,0.47,1.0156,2.13,0.0,10.3,13.3,6.1,18.1,True
20000607,7,2.4,12.9,0.62,1.0101,1.88,0.07,5.8,13.1,9.7,17.7,False
20000608,5,2.8,8.7,0.52,1.0135,2.42,0.0,11.5,14.4,7.9,19.7,True
20000609,6,2.9,8.2,0.52,1.019,2.71,0.0,10.1,15.3,9.1,22.0,True
20000610,8,2.4,11.8,0.72,1.0123,0.92,0.71,2.6,13.6,8.8,18.3,False
20000611,5,4.8,14.9,0.8,1.006,2.08,0.0,8.2,15.4,12.9,19.5,True
20000612,6,3.9,12.3,0.53,1.0084,2.1,0.0,7.7,13.5,8.2,17.8,False
20000613,6,7.0,19.0,0.63,1.0052,1.16,0.35,6.1,13.7,11.7,17.3,False
20000614,4,6.0,18.0,0.43,1.0087,2.58,0.01,12.4,14.2,9.2,18.6,False
20000615,4,4.5,12.9,0.49,1.0087,2.55,0.0,11.1,12.5,6.0,17.0,False
20000616,6,5.0,13.9,0.43,1.0168,2.09,0.01,9.2,13.1,8.5,16.9,False
20000617,4,3.2,13.4,0.48,1.0247,3.21,0.04,11.4,11.8,4.8,16.9,False
20000618,8,3.6,12.3,0.8,1.0202,0.75,0.03,0.2,11.9,10.2,14.4,False
20000619,8,4.1,12.9,0.87,1.0135,1.15,0.0,2.8,13.8,11.2,16.8,False
20000620,3,2.6,5.7,0.7,1.0101,2.99,0.0,13.3,19.1,13.6,25.3,True
20000621,8,1.9,6.7,0.82,1.0088,0.8,0.42,1.2,17.0,14.4,21.8,False
20000622,7,4.0,10.3,0.79,1.0063,1.91,0.2,6.9,16.1,14.6,19.4,False
20000623,8,3.1,11.8,0.84,1.0062,0.54,2.73,1.3,13.0,11.8,16.4,False
20000624,7,2.6,8.7,0.79,1.0065,1.71,0.26,4.0,14.4,12.6,17.9,False
20000625,7,4.1,8.7,0.79,1.0076,1.74,0.11,2.7,14.1,9.8,17.7,False
20000626,8,5.7,13.9,0.76,1.0077,0.61,0.24,0.0,11.3,10.7,14.6,False
20000627,6,5.7,17.0,0.61,1.0079,1.53,0.08,4.1,11.3,8.6,15.3,False
20000628,7,4.3,17.5,0.66,1.0091,1.15,0.13,1.9,11.3,8.5,14.5,False
20000629,7,3.1,8.2,0.75,1.0133,1.79,0.76,3.6,14.7,11.6,19.8,False
20000630,6,6.0,15.9,0.67,1.0052,1.63,0.43,6.6,19.4,14.3,25.6,False
20000701,7,1.9,8.7,0.69,1.0095,1.23,0.15,3.0,17.2,15.8,23.1,False
20000702,5,3.1,7.7,0.68,1.0119,2.28,0.18,10.5,17.3,12.6,22.5,False
20000703,4,3.2,10.8,0.61,1.0085,3.0,0.0,14.4,18.2,11.4,24.2,True
20000704,5,2.4,8.7,0.7,1.0072,2.29,0.0,9.4,17.1,13.1,22.0,True
20000705,5,2.2,9.8,0.73,1.0074,2.38,0.0,9.1,17.9,13.1,23.8,True
20000706,7,2.6,8.2,0.74,1.0094,0.92,0.01,0.2,15.6,14.4,17.4,False
20000707,7,3.3,8.2,0.68,1.0056,1.6,0.3,4.6,14.8,13.4,17.6,False
20000708,6,1.9,8.7,0.6,1.0036,2.06,0.0,8.1,13.1,9.6,16.6,False
20000709,4,2.9,9.3,0.65,0.9986,2.58,0.13,10.8,13.3,9.2,19.3,False
20000710,8,3.4,8.7,0.79,0.9972,0.89,1.57,1.1,12.1,8.4,14.7,False
20000711,8,2.2,14.4,0.86,0.9963,0.51,0.79,1.4,13.8,11.9,15.8,False
20000712,5,1.9,6.2,0.71,0.9989,2.7,0.0,9.0,16.6,12.0,21.1,True
20000713,6,3.4,8.7,0.66,0.9959,1.24,0.01,1.1,15.9,12.5,19.4,False
20000714,8,1.4,6.7,0.79,0.9953,1.17,0.14,0.0,13.7,12.3,17.7,False
20000715,6,1.7,7.7,0.66,1.0048,1.59,0.0,1.9,16.4,12.0,19.3,True
20000716,8,3.6,11.3,0.67,1.008,0.58,0.49,0.0,15.6,15.0,18.9,False
20000717,7,1.9,6.7,0.81,1.0101,1.31,0.0,1.9,15.5,12.0,19.5,True
20000718,6,1.9,8.2,0.81,1.0071,1.13,0.88,1.9,17.0,15.2,21.5,False
20000719,6,3.3,10.3,0.64,1.0033,1.07,0.0,0.8,18.1,14.6,21.2,True
20000720,7,4.6,15.4,0.53,1.0106,1.74,0.0,5.7,17.3,15.7,20.0,True
20000721,7,4.1,12.3,0.62,1.0209,1.41,0.0,3.5,16.3,14.5,20.2,True
20000722,5,1.9,6.2,0.6,1.02,2.45,0.0,13.9,19.9,14.4,25.3,True
20000723,7,2.1,10.8,0.63,1.0139,1.6,0.13,6.4,18.2,14.8,23.9,False
20000724,7,2.9,11.3,0.85,1.0098,1.03,0.23,0.4,16.9,15.3,20.2,False
20000725,8,4.8,10.3,0.85,1.01,1.49,0.36,2.3,17.9,16.3,21.7,False
20000726,8,4.0,12.9,0.87,1.0102,0.26,1.16,0.0,12.7,12.5,17.6,False
20000727,8,3.2,11.3,0.82,1.0135,0.39,0.11,0.0,12.9,10.8,14.6,False
20000728,2,2.2,7.2,0.56,1.0121,2.92,0.0,14.5,16.8,12.8,21.2,True
20000729,3,1.6,5.7,0.58,1.0113,2.82,0.0,14.8,17.6,9.6,24.7,True
20000730,3,2.4,7.7,0.63,1.0113,2.77,0.0,12.9,19.0,11.4,26.5,True
20000731,4,2.1,8.2,0.71,1.0138,2.62,0.0,11.8,18.7,14.5,24.6,True
20000801,6,2.6,7.2,0.67,1.0136,2.35,0.0,10.0,17.3,12.7,22.7,True
20000802,7,2.2,6.7,0.69,1.0102,2.33,2.7,9.7,17.6,14.9,20.8,False
20000803,7,1.2,6.7,0.8,1.0105,1.91,0.4,6.3,15.9,12.9,22.1,False
20000804,6,2.6,8.7,0.77,1.0132,1.87,0.03,7.3,16.8,12.9,21.7,False
20000805,7,2.2,7.2,0.71,1.0136,1.9,0.0,6.4,17.2,13.0,22.1,True
20000806,5,3.8,15.9,0.63,1.0066,2.01,0.0,9.8,17.2,15.2,22.3,True
20000807,5,3.3,12.9,0.46,1.0066,1.93,0.0,10.3,14.2,8.6,19.9,True
20000808,5,3.1,9.3,0.48,1.0083,1.73,0.0,6.4,15.4,11.9,20.4,True
20000809,2,1.9,6.7,0.53,1.0133,2.61,0.0,13.9,14.4,7.1,19.9,True
20000810,7,2.7,8.2,0.81,1.0102,1.83,1.24,6.6,14.5,8.6,20.9,False
20000811,8,3.4,8.2,0.92,1.0061,0.18,0.33,0.0,15.3,14.5,16.6,False
20000812,4,2.4,11.3,0.6,1.0111,1.69,0.0,8.4,15.9,12.2,20.1,True
20000813,2,2.4,6.2,0.67,1.0182,2.47,0.0,13.1,16.7,9.8,23.5,True
20000814,8,2.6,7.2,0.87,1.0179,0.94,1.14,3.0,15.7,13.7,19.6,False
20000815,6,2.9,9.8,0.81,1.0069,1.68,0.0,7.0,18.4,14.4,23.2,True
20000816,5,2.1,9.3,0.68,1.0059,2.19,0.0,10.7,17.1,13.4,22.2,True
20000817,7,2.7,9.3,0.78,1.0052,1.11,1.35,4.3,15.4,13.3,19.4,False
20000818,4,3.2,10.8,0.73,1.0062,2.24,0.0,10.4,15.0,11.0,20.1,True
20000819,3,2.1,8.7,0.66,1.0111,2.3,1.9,11.3,14.7,8.7,20.9,False
20000820,8,2.1,9.3,0.91,1.0038,0.7,2.14,1.6,13.4,11.4,16.2,False
20000821,6,1.7,10.3,0.83,1.0075,1.29,0.53,5.4,12.9,9.4,17.4,False
20000822,3,3.6,9.3,0.61,1.0138,1.91,0.0,10.8,14.4,10.7,19.3,True
20000823,6,2.1,7.7,0.62,1.0169,1.58,0.03,5.8,13.8,10.5,17.7,False
20000824,6,2.4,10.8,0.73,1.0095,1.08,0.4,5.2,12.1,9.9,16.4,False
20000825,5,1.7,6.2,0.72,1.0188,1.92,0.0,9.4,14.2,8.7,19.9,True
20000826,4,2.4,7.7,0.72,1.0215,2.0,0.0,10.6,15.9,10.3,21.3,True
20000827,7,1.9,6.2,0.76,1.0205,1.26,0.0,3.2,14.9,11.2,18.6,True
20000828,7,2.8,9.3,0.77,1.0195,1.56,0.61,8.6,16.5,12.7,22.1,False
20000829,8,3.1,7.2,0.86,1.0146,0.31,1.2,0.0,15.0,14.1,16.8,False
20000830,6,1.9,5.7,0.86,1.0118,0.94,0.75,2.8,14.3,12.7,17.9,False
20000831,6,1.2,4.6,0.82,1.0097,1.28,0.36,3.8,14.5,11.5,18.7,False
20000901,7,1.9,4.6,0.8,1.0071,1.1,0.0,3.1,14.4,10.6,18.4,True
20000902,6,5.1,14.4,0.74,1.0048,0.82,0.0,0.8,11.6,9.0,15.7,False
20000903,1,5.0,12.3,0.5,1.0123,1.95,0.0,12.5,11.2,7.2,15.4,False
20000904,2,2.6,9.8,0.59,1.0169,1.57,0.0,9.6,10.7,5.0,15.5,False
20000905,4,2.9,8.2,0.67,1.0164,1.58,0.0,7.9,11.4,5.4,17.2,False
20000906,8,2.9,7.7,0.89,1.0078,0.08,1.58,0.0,11.4,8.9,13.4,False
20000907,8,3.4,11.8,0.91,1.0068,0.39,1.31,0.0,12.9,11.6,13.7,False
20000908,5,2.9,12.3,0.8,1.0042,0.93,0.0,2.8,13.6,11.7,16.1,False
20000909,3,4.8,13.9,0.65,1.0092,1.6,0.0,10.4,13.6,8.8,18.2,True
20000910,2,3.8,11.3,0.6,1.0127,1.86,0.0,11.8,12.7,6.3,19.4,True
20000911,2,2.4,9.3,0.64,1.0171,1.52,0.0,11.6,10.1,4.9,15.8,False
20000912,2,1.5,6.2,0.63,1.0173,1.65,0.0,10.8,10.5,5.8,16.1,False
20000913,6,3.1,9.3,0.65,1.0164,1.33,0.0,7.5,11.2,7.8,15.0,False
20000914,5,2.9,6.7,0.66,1.0218,1.14,0.0,6.9,10.8,8.3,15.6,False
20000915,7,2.8,6.2,0.72,1.0219,0.86,0.0,2.8,10.4,5.5,14.2,False
20000916,7,1.9,6.2,0.76,1.0157,1.02,0.0,3.4,12.1,9.4,16.3,False
20000917,6,1.9,10.8,0.71,1.0146,1.03,0.0,5.4,11.7,7.4,15.8,False
20000918,8,2.7,12.9,0.71,1.0141,0.23,0.0,0.4,11.2,9.3,13.5,False
20000919,6,2.2,7.7,0.69,1.0207,0.94,0.0,5.3,10.9,7.5,15.5,False
20000920,2,3.1,7.2,0.71,1.0247,1.33,0.0,10.2,10.0,7.2,14.3,False
20000921,4,2.9,7.2,0.71,1.0284,1.37,0.0,10.0,10.7,7.4,15.9,False
20000922,7,2.8,6.7,0.72,1.0308,0.49,0.0,1.8,10.6,7.6,13.3,False
20000923,8,1.7,5.7,0.81,1.0325,0.23,0.0,0.0,11.9,11.1,13.0,False
20000924,2,1.2,4.6,0.82,1.0315,1.18,0.0,8.2,10.0,5.6,16.1,False
20000925,2,1.3,3.6,0.77,1.0285,1.28,0.0,10.1,9.3,3.6,17.0,False
20000926,2,2.1,5.7,0.76,1.0266,1.2,0.0,9.0,9.4,4.8,15.7,False
20000927,7,4.6,7.7,0.84,1.0173,0.12,1.55,0.0,9.0,5.9,10.6,False
20000928,8,2.4,6.2,0.9,1.0076,0.06,0.54,0.0,12.3,10.0,13.3,False
20000929,8,1.4,8.7,0.95,1.01,0.26,0.1,0.0,14.4,12.8,15.5,False
20000930,7,2.1,5.7,0.85,1.0157,0.79,0.0,4.9,15.9,14.9,17.9,False
20001001,8,3.9,8.2,0.81,1.0126,0.26,0.01,0.7,11.2,10.1,15.0,False
20001002,8,4.6,10.8,0.87,1.0058,0.17,1.26,0.0,12.0,10.6,13.0,False
20001003,5,1.7,9.3,0.86,1.0126,0.83,0.0,7.0,13.2,10.6,17.3,False
20001004,8,3.8,11.8,0.85,1.0167,0.24,0.52,0.9,12.5,11.2,14.1,False
