DATE,BASEL_cloud_cover,BASEL_humidity,BASEL_pressure,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max,BASEL_picnic_weather
20000410,7,0.59,1.0059,1.61,0.16,4.7,10.2,5.6,15.2,False
20000411,8,0.77,0.9987,1.19,1.38,1.8,9.6,7.3,13.6,False
20000412,5,0.64,0.9972,1.93,0.37,6.5,8.4,4.6,13.5,False
20000413,8,0.81,1.0026,0.82,0.5,0.1,8.3,5.7,11.5,False
20000414,4,0.69,1.0007,2.28,0.0,9.4,12.5,7.3,19.6,True
20000415,7,0.67,1.0029,0.83,0.1,1.0,10.0,6.1,14.2,False
20000416,7,0.75,1.0023,0.94,0.02,1.9,8.6,4.6,14.3,False
20000417,8,0.76,1.0076,0.45,0.01,0.0,9.6,8.0,11.4,False
20000418,8,0.75,1.0112,0.82,0.0,0.4,9.6,5.6,12.2,False
20000419,5,0.71,1.0132,1.6,0.0,4.8,10.1,4.1,16.7,False
20000420,2,0.63,1.015,2.59,0.0,12.0,12.9,4.0,20.9,True
20000421,7,0.59,1.016,2.42,0.0,9.2,16.8,11.2,23.4,True
20000422,4,0.56,1.0114,2.29,0.0,8.6,18.4,10.1,27.7,True
20000423,7,0.7,1.0112,1.44,0.7,3.0,14.8,9.7,21.3,False
20000424,6,0.82,1.0154,0.84,0.73,2.5,10.3,6.8,14.3,False
20000425,1,0.67,1.013,2.77,0.0,12.2,13.5,6.0,20.5,True
20000426,3,0.57,1.0099,2.67,0.0,11.9,17.8,9.6,26.5,True
20000427,7,0.64,1.0078,1.53,0.0,0.9,16.3,11.6,22.9,True
20000428,7,0.74,1.008,1.78,0.0,4.1,14.9,11.7,22.4,True
20000429,8,0.77,1.0174,0.68,0.0,0.0,11.8,8.5,14.1,False
20000430,1,0.71,1.0198,2.68,0.0,11.2,15.1,7.3,22.0,True
20000501,3,0.73,1.0171,2.61,0.0,9.6,17.0,10.9,22.9,True
20000502,7,0.76,1.0161,2.27,0.0,7.0,17.0,12.6,22.6,True
20000503,6,0.75,1.0175,1.74,0.0,4.6,16.5,12.2,22.6,True
20000504,6,0.67,1.017,2.07,0.0,4.6,17.5,11.1,23.5,True
20000505,4,0.7,1.0145,2.41,0.0,8.8,17.0,12.0,25.5,True
20000506,5,0.71,1.0134,2.45,0.0,8.5,16.7,11.6,23.5,True
20000507,5,0.67,1.0152,2.55,0.0,8.8,18.0,11.6,25.0,True
20000508,6,0.75,1.0183,1.91,0.73,6.1,16.9,12.6,23.9,False
20000509,3,0.65,1.0172,2.86,0.0,11.0,18.8,11.6,26.9,True
20000510,5,0.64,1.015,2.64,0.0,8.4,20.0,13.4,26.7,True
20000511,4,0.67,1.0151,2.72,0.11,9.8,20.5,14.7,28.0,False
20000512,8,0.8,1.0207,1.1,0.0,0.1,16.7,14.5,20.2,True
20000513,7,0.82,1.0216,0.98,0.05,0.3,16.2,13.2,19.7,False
20000514,3,0.68,1.0219,3.02,0.0,12.2,18.4,12.7,24.7,True
20000515,2,0.58,1.0204,3.06,0.0,12.8,19.4,10.4,27.8,True
20000516,4,0.6,1.0171,2.66,0.0,10.1,20.9,14.3,28.5,True
20000517,7,0.74,1.016,1.74,0.19,4.6,17.3,13.7,23.4,False
20000518,6,0.68,1.0136,1.18,0.16,2.6,13.6,9.3,15.9,False
20000519,7,0.66,1.0142,2.25,0.02,3.3,12.0,8.7,16.3,False
20000520,5,0.58,1.0144,2.81,0.03,8.8,13.0,8.3,18.2,False
20000521,5,0.68,1.0118,1.85,0.32,4.4,12.8,6.6,18.2,False
20000522,3,0.64,1.0198,2.72,0.0,8.8,12.4,8.7,17.6,False
20000523,5,0.61,1.0209,3.16,0.0,13.8,14.4,6.5,21.4,True
20000524,2,0.6,1.0175,3.18,0.0,13.6,17.4,9.7,24.6,True
20000525,8,0.69,1.0172,1.06,0.0,0.6,16.8,13.2,21.1,True
20000526,4,0.71,1.0149,2.68,1.5,8.1,18.4,12.4,26.3,False
20000527,7,0.75,1.0174,1.64,0.52,3.8,13.4,10.1,17.6,False
20000528,7,0.68,1.0126,0.81,0.37,0.6,14.1,10.3,18.5,False
20000529,5,0.66,1.0179,2.13,0.14,3.8,12.8,9.2,17.4,False
20000530,8,0.79,1.0165,0.79,1.08,0.6,12.4,7.8,17.5,False
20000531,7,0.78,1.0194,1.55,0.24,2.4,15.1,11.4,18.1,False
20000601,3,0.68,1.0234,3.19,0.0,12.5,17.8,11.0,24.1,True
20000602,5,0.63,1.0203,3.1,0.0,10.7,21.7,13.8,30.1,True
20000603,3,0.64,1.0174,2.97,0.38,12.0,22.8,16.0,30.6,False
20000604,3,0.65,1.0171,3.07,0.38,11.8,23.4,18.2,28.8,False
20000605,5,0.8,1.0162,2.11,4.11,7.6,19.6,15.9,26.2,False
20000606,8,0.84,1.0221,0.88,0.1,0.0,13.4,11.5,15.9,False
20000607,2,0.65,1.0237,3.03,0.0,11.4,15.7,10.9,21.2,True
20000608,0,0.61,1.0184,3.35,0.0,14.6,18.4,9.0,26.1,True
20000609,2,0.6,1.0133,3.24,0.24,14.0,22.9,14.5,29.9,False
20000610,6,0.7,1.0131,2.58,0.0,8.2,22.0,17.7,27.4,True
20000611,8,0.84,1.0166,0.42,0.0,0.0,17.7,13.5,20.1,True
20000612,5,0.68,1.0261,2.43,0.0,6.0,18.3,13.4,23.3,True
20000613,7,0.69,1.0243,2.85,0.35,7.5,20.6,14.2,27.1,False
20000614,2,0.72,1.0236,3.05,0.0,10.7,21.3,15.8,28.3,True
20000615,6,0.65,1.0244,2.8,0.08,7.4,20.8,16.4,26.5,False
20000616,5,0.59,1.0258,2.78,0.0,8.6,17.9,12.0,22.1,True
20000617,1,0.61,1.0277,3.38,0.0,14.8,16.9,9.4,24.1,True
20000618,0,0.5,1.026,3.52,0.0,15.3,19.7,9.4,29.0,True
20000619,1,0.48,1.0214,3.36,0.0,15.0,23.0,12.6,32.3,True
20000620,1,0.5,1.0168,3.22,0.0,14.0,25.1,17.1,32.6,True
20000621,1,0.5,1.0166,3.23,0.0,14.1,24.6,18.1,31.5,True
20000622,7,0.75,1.02,1.05,0.45,2.9,18.7,16.3,22.0,False
20000623,7,0.63,1.0215,2.29,0.0,3.3,17.8,15.4,22.0,True
20000624,7,0.77,1.0194,0.74,0.46,0.0,14.1,11.4,18.5,False
20000625,7,0.69,1.0207,1.87,0.0,1.4,13.7,10.3,17.8,False
20000626,2,0.62,1.0227,3.15,0.0,13.1,14.6,8.0,21.7,True
20000627,1,0.57,1.0207,3.28,0.0,12.5,15.5,7.5,23.1,True
20000628,5,0.68,1.018,1.7,0.19,4.9,14.7,9.7,19.5,False
20000629,5,0.58,1.0189,3.13,0.0,13.0,17.1,10.8,23.3,True
20000630,2,0.54,1.0154,3.24,0.0,12.9,18.8,10.4,26.0,True
20000701,5,0.65,1.0121,2.52,0.25,9.6,20.9,13.6,27.4,False
20000702,3,0.68,1.0112,3.0,0.79,10.8,23.8,17.2,33.0,False
20000703,7,0.81,1.011,1.38,0.91,2.5,19.9,17.6,23.3,False
20000704,6,0.71,1.0095,2.37,0.6,6.9,19.7,16.5,23.6,False
20000705,5,0.62,1.0178,2.71,0.0,8.8,19.4,15.8,24.1,True
20000706,2,0.6,1.0179,3.12,0.26,13.2,20.9,13.8,27.0,False
20000707,5,0.75,1.0112,1.93,0.32,4.4,19.9,15.9,27.9,False
20000708,7,0.7,1.0163,1.51,0.07,3.9,15.4,12.8,19.1,False
20000709,7,0.76,1.0111,0.55,1.24,0.0,14.6,12.5,16.7,False
20000710,8,0.73,1.0011,0.99,0.25,0.1,16.1,13.9,17.9,False
20000711,6,0.69,1.0049,2.07,0.12,3.5,14.5,12.0,19.0,False
20000712,7,0.76,1.0169,1.67,0.61,1.9,13.2,11.4,16.6,False
20000713,7,0.79,1.0176,1.13,0.59,0.1,13.7,9.5,18.6,False
20000714,8,0.83,1.0116,0.52,1.09,0.1,13.7,11.6,15.9,False
20000715,7,0.78,1.0124,1.74,0.64,2.4,12.6,10.4,16.6,False
20000716,7,0.81,1.0166,1.41,1.17,2.6,12.7,10.2,17.7,False
20000717,3,0.71,1.0192,3.01,0.0,12.0,14.8,9.3,21.0,True
20000718,2,0.66,1.0191,3.01,0.0,11.8,16.7,9.4,23.1,True
20000719,2,0.66,1.0197,2.93,0.0,13.1,17.0,12.0,23.1,True
20000720,3,0.67,1.021,2.68,0.0,9.6,16.9,10.5,23.0,True
20000721,1,0.64,1.0209,3.03,0.0,13.9,18.5,11.7,25.3,True
20000722,3,0.63,1.0167,3.06,0.0,12.2,19.2,11.9,26.0,True
20000723,7,0.76,1.0127,1.13,0.14,1.3,18.8,15.2,22.9,False
20000724,7,0.8,1.0081,1.4,0.78,1.3,19.4,16.1,24.7,False
20000725,7,0.8,1.009,1.52,0.5,1.9,19.0,15.1,23.8,False
20000726,3,0.72,1.0121,2.6,0.02,7.9,19.9,16.3,24.6,False
20000727,7,0.74,1.0165,1.97,0.65,5.4,19.7,15.5,25.3,False
20000728,7,0.79,1.0173,1.67,0.34,4.0,17.2,14.7,21.4,False
20000729,8,0.86,1.0202,1.04,2.53,0.6,15.9,14.0,19.6,False
20000730,5,0.74,1.0239,1.92,0.0,5.2,17.6,14.1,22.0,True
20000731,1,0.66,1.0239,3.03,0.0,14.0,19.2,12.9,25.7,True
20000801,1,0.66,1.0203,2.97,0.0,13.7,21.9,14.1,29.0,True
20000802,7,0.78,1.0197,1.03,0.16,1.4,19.6,16.4,24.4,False
20000803,6,0.81,1.0205,0.79,0.0,0.8,17.0,13.3,19.8,True
20000804,3,0.7,1.0206,2.35,0.0,7.8,17.3,12.4,23.2,True
20000805,8,0.9,1.0207,0.35,1.16,0.0,15.5,13.6,16.7,False
20000806,5,0.75,1.0213,2.29,0.0,6.6,18.6,15.5,22.9,True
20000807,3,0.73,1.0225,2.3,0.0,8.7,19.4,15.7,25.1,True
20000808,5,0.74,1.0212,1.91,0.0,4.9,19.4,14.7,24.1,True
20000809,1,0.7,1.0205,2.74,0.0,12.7,20.7,14.8,26.4,True
20000810,1,0.67,1.0182,2.75,0.0,13.1,21.9,15.8,28.4,True
20000811,1,0.63,1.0146,2.74,0.0,13.1,22.8,16.0,29.4,True
20000812,1,0.62,1.014,2.7,0.0,12.8,23.1,17.4,29.6,True
20000813,1,0.62,1.0171,2.65,0.0,12.8,22.7,16.6,29.7,True
20000814,4,0.62,1.0201,2.61,0.0,11.3,23.5,17.4,30.3,True
20000815,3,0.68,1.0208,2.23,0.0,8.0,23.3,18.7,28.4,True
20000816,1,0.69,1.0173,2.52,0.0,11.9,22.8,17.2,28.2,True
20000817,3,0.74,1.0152,1.84,1.0,6.8,22.1,17.8,27.5,False
20000818,7,0.85,1.0143,1.0,0.18,1.0,21.4,19.2,25.0,False
20000819,5,0.65,1.0139,2.43,0.0,10.0,24.0,18.6,30.7,True
20000820,4,0.64,1.0119,2.23,1.24,9.4,24.9,17.8,33.0,False
20000821,5,0.86,1.0161,0.91,1.57,2.2,18.8,16.0,23.0,False
20000822,5,0.75,1.0196,2.18,0.0,8.5,18.1,14.0,23.3,True
20000823,3,0.74,1.0199,2.5,0.0,11.8,19.2,13.1,26.0,True
20000824,1,0.7,1.022,2.5,0.0,12.6,21.0,14.3,28.8,True
20000825,1,0.68,1.0197,2.48,0.0,12.6,20.9,14.6,28.8,True
20000826,3,0.65,1.0119,2.27,0.85,11.4,21.9,13.5,29.7,False
20000827,6,0.76,1.0179,0.8,0.28,1.2,18.0,15.0,21.5,False
20000828,3,0.69,1.0215,2.0,0.0,8.5,17.3,13.1,22.6,True
20000829,5,0.7,1.0202,2.24,0.0,10.7,17.4,11.7,23.3,True
20000830,8,0.82,1.0156,0.88,0.74,0.9,16.6,13.4,19.9,False
20000831,7,0.89,1.0111,0.64,2.62,0.0,16.2,14.8,19.0,False
20000901,3,0.75,1.0099,1.75,0.16,8.5,18.0,13.8,22.9,False
20000902,6,0.69,1.0116,1.63,0.68,3.4,15.9,13.4,19.6,False
20000903,7,0.85,1.0156,0.97,1.22,1.3,14.3,12.8,16.8,False
20000904,7,0.78,1.0211,1.54,0.01,3.5,14.0,10.7,17.6,False
20000905,4,0.76,1.0243,1.73,0.0,5.2,13.6,9.6,18.4,True
20000906,7,0.78,1.0184,1.2,0.52,1.9,14.4,10.5,18.3,False
20000907,6,0.71,1.0176,2.03,0.0,8.8,15.5,10.4,19.6,True
20000908,0,0.69,1.0229,2.23,0.0,12.2,15.2,8.6,22.3,True
20000909,5,0.72,1.024,2.07,0.0,11.4,17.2,11.0,24.1,True
20000910,3,0.75,1.0214,2.12,0.0,11.8,18.5,12.8,25.0,True
20000911,1,0.76,1.0166,2.07,0.0,11.5,19.3,13.8,25.9,True
20000912,7,0.75,1.0134,1.85,0.08,10.4,20.5,14.2,27.0,False
20000913,5,0.8,1.0154,1.14,0.0,4.9,18.8,16.2,22.8,True
20000914,6,0.78,1.0162,1.59,0.0,7.0,19.1,14.6,24.4,True
20000915,3,0.73,1.0132,1.77,0.0,9.7,21.3,16.1,26.8,True
20000916,7,0.63,1.0138,1.31,0.0,3.4,17.1,13.9,22.0,True
20000917,7,0.66,1.0138,1.62,0.0,6.7,15.4,11.8,19.2,True
20000918,3,0.74,1.0093,1.96,0.0,10.7,15.2,10.0,21.6,True
20000919,2,0.69,1.0037,1.9,0.03,10.8,17.9,11.6,24.6,False
20000920,8,0.85,1.0071,0.3,1.8,0.1,14.7,13.3,17.0,False
20000921,5,0.77,1.0185,1.26,0.0,4.4,13.5,9.8,18.1,True
20000922,3,0.73,1.0243,1.79,0.0,9.1,14.1,8.4,21.0,True
20000923,1,0.74,1.0214,1.87,0.0,11.4,14.5,8.7,20.1,True
20000924,3,0.75,1.0193,1.8,0.0,10.7,16.0,10.5,22.5,True
20000925,7,0.82,1.0228,0.89,0.0,1.2,16.2,13.0,21.4,True
20000926,6,0.77,1.0208,1.57,0.0,9.3,17.9,12.7,24.5,True
20000927,6,0.78,1.0189,1.22,0.0,4.4,17.9,13.8,22.9,True
20000928,5,0.72,1.0102,1.59,0.0,7.5,19.1,14.3,25.9,True
20000929,2,0.73,1.0027,1.64,0.0,8.9,18.1,12.6,24.4,True
20000930,8,0.84,1.0066,0.15,0.94,0.0,14.7,13.7,16.1,False
20001001,7,0.84,1.0081,0.65,0.0,0.4,14.6,12.5,17.0,False
20001002,6,0.78,1.0129,0.73,0.04,1.5,12.8,11.0,16.1,False
20001003,7,0.79,1.022,0.81,0.0,0.4,13.1,11.5,16.1,False
20001004,6,0.76,1.0214,1.17,0.0,4.1,13.9,10.1,18.0,True
20001005,7,0.81,1.0196,0.96,0.62,1.9,12.5,8.1,16.5,False
20001006,6,0.8,1.024,0.78,0.17,2.4,10.5,8.3,13.0,False
20001007,5,0.82,1.0255,1.14,0.44,4.5,8.3,4.9,12.8,False
20001008,7,0.83,1.0213,1.29,0.68,5.0,8.0,3.3,12.2,False
20001009,4,0.78,1.0123,1.15,0.25,3.7,10.4,7.1,14.6,False
20001010,6,0.66,0.9999,0.98,0.06,4.0,10.7,7.3,13.9,False
20001011,8,0.79,0.9927,0.17,0.79,0.0,11.1,8.0,13.9,False
20001012,7,0.84,1.0018,0.71,0.55,0.3,12.1,9.5,14.9,False
20001013,8,0.89,1.0126,0.26,0.19,0.0,10.9,9.5,12.1,False
20001014,8,0.91,1.0146,0.28,0.02,0.0,11.7,9.9,13.4,False
20001015,7,0.87,1.0081,0.47,0.37,0.3,12.9,11.6,15.7,False
20001016,4,0.79,1.0133,1.32,0.0,7.6,13.9,10.2,18.8,True
20001017,7,0.79,1.0255,0.58,0.33,0.0,11.9,9.5,14.7,False
20001018,7,0.82,1.0249,0.83,0.02,0.9,11.7,9.2,14.6,False
20001019,6,0.85,1.0217,0.53,0.06,0.4,12.9,11.1,15.1,False
20001020,5,0.83,1.0205,1.04,0.0,5.5,12.8,10.4,16.6,False
20001021,5,0.82,1.0248,1.09,0.0,7.3,13.1,9.3,17.9,False
20001022,0,0.84,1.0291,1.19,0.0,7.8,11.8,8.3,16.5,False
20001023,1,0.82,1.0263,1.2,0.15,9.3,12.2,9.0,17.2,False
20001024,7,0.89,1.0239,0.36,0.25,0.3,13.4,10.8,16.6,False
20001025,7,0.82,1.0176,0.97,0.06,4.3,14.6,10.2,19.5,False
20001026,8,0.79,1.018,0.53,0.0,0.7,12.9,10.9,16.0,False
20001027,5,0.73,1.0226,1.06,0.0,6.0,11.0,7.0,14.7,False
20001028,4,0.79,1.0191,1.11,0.0,8.6,10.5,5.7,16.3,False
20001029,6,0.7,1.0196,0.5,0.04,1.9,10.4,6.4,14.2,False
20001030,7,0.58,1.0051,0.63,0.78,1.2,13.9,5.1,20.1,False
20001031,7,0.78,1.006,0.28,0.48,0.2,9.7,7.6,17.2,False
20001101,4,0.62,1.0095,0.91,0.0,5.9,11.3,6.8,14.7,False
20001102,5,0.65,1.0049,0.55,0.95,4.2,11.4,7.1,14.1,False
20001103,8,0.87,1.0034,0.12,0.15,0.0,9.3,7.8,12.3,False
20001104,7,0.78,1.0137,0.63,0.17,2.7,7.8,6.0,11.5,False
20001105,3,0.74,1.0114,1.01,0.02,8.7,7.5,4.6,11.4,False
20001106,8,0.72,0.9882,0.1,0.52,0.3,8.6,6.1,11.9,False
20001107,7,0.52,0.9893,0.66,0.0,2.7,11.1,9.4,13.3,False
20001108,5,0.49,0.9993,0.71,0.02,3.4,10.4,8.2,13.8,False
20001109,7,0.71,1.0125,0.41,0.09,0.3,8.3,3.7,11.9,False
20001110,7,0.76,1.0227,0.43,0.0,0.5,6.6,3.3,10.0,False
20001111,3,0.77,1.0244,0.91,0.0,7.7,5.6,1.5,11.0,False
20001112,7,0.68,1.0117,0.23,0.08,0.0,7.0,3.1,10.1,False
20001113,8,0.82,1.004,0.21,1.15,0.0,9.6,7.6,11.9,False
20001114,8,0.9,1.0107,0.09,1.1,0.0,7.0,4.5,8.8,False
20001115,7,0.86,1.0177,0.38,0.0,0.0,6.2,3.6,8.8,False
20001116,8,0.85,1.0155,0.61,0.03,3.1,5.1,3.0,7.3,False
20001117,8,0.87,1.0156,0.09,1.07,0.0,5.0,4.0,5.7,False
20001118,7,0.8,1.0183,0.38,0.0,0.5,4.6,1.9,7.4,False
20001119,6,0.79,1.0081,0.45,0.13,0.5,4.4,0.6,8.7,False
20001120,7,0.78,1.0066,0.44,0.43,0.7,7.1,5.8,8.6,False
20001121,3,0.74,1.0093,0.71,0.1,5.5,6.8,4.7,9.7,False
20001122,6,0.84,1.0122,0.27,0.77,0.6,8.5,5.9,10.5,False
20001123,8,0.84,1.0055,0.1,0.53,0.0,9.0,7.8,10.3,False
20001124,6,0.85,1.0123,0.18,0.32,0.0,6.5,3.5,8.2,False
20001125,3,0.82,1.0109,0.62,0.65,6.0,5.2,2.3,9.0,False
20001126,7,0.75,1.0099,0.24,0.25,0.2,7.1,4.9,9.8,False
20001127,7,0.77,1.0199,0.39,0.25,0.6,7.1,5.0,9.3,False
20001128,5,0.86,1.0197,0.47,0.0,3.2,9.8,7.0,14.0,False
20001129,5,0.86,1.016,0.52,0.0,3.9,8.8,6.9,11.6,False
20001130,2,0.83,1.0191,0.53,0.0,4.6,8.3,6.4,12.1,False
20001201,7,0.87,1.0188,0.56,0.04,4.5,6.0,4.1,7.9,False
