DATE,PERPIGNAN_wind_speed,PERPIGNAN_humidity,PERPIGNAN_pressure,PERPIGNAN_global_radiation,PERPIGNAN_precipitation,PERPIGNAN_temp_mean,PERPIGNAN_temp_min,PERPIGNAN_temp_max,PERPIGNAN_picnic_weather
20000202,6.2,0.75,1.0243,0.65,0.0,12.2,7.0,17.4,False
20000203,11.1,0.53,1.0309,1.18,0.0,13.1,11.5,14.7,False
20000204,2.2,0.5,1.0353,1.2,0.0,12.0,8.4,15.5,False
20000205,1.9,0.83,1.0332,1.06,0.0,6.8,1.9,11.8,False
20000206,1.6,0.86,1.0296,0.29,0.02,9.6,7.7,11.6,False
20000207,6.0,0.6,1.0276,1.14,0.02,11.3,6.1,16.5,False
20000208,7.9,0.64,1.0251,0.56,0.04,15.2,12.6,17.7,False
20000209,8.6,0.52,1.0298,1.31,0.0,12.8,11.0,14.7,False
20000210,2.0,0.51,1.026,1.28,0.0,8.6,0.9,16.3,False
20000211,6.6,0.64,1.0247,1.2,0.0,12.5,9.4,15.6,False
20000212,8.8,0.45,1.0283,1.4,0.0,9.0,6.0,12.0,False
20000213,5.8,0.45,1.0264,0.41,0.0,10.3,6.7,13.9,False
20000214,6.8,0.65,1.0242,1.14,0.0,13.6,9.8,17.4,False
20000215,8.1,0.6,1.0233,1.42,0.0,14.4,10.9,18.0,True
20000216,9.9,0.62,1.0172,1.02,0.4,11.3,8.1,14.5,False
20000217,5.4,0.79,1.0176,0.25,1.14,9.4,5.5,13.2,False
20000218,6.4,0.64,1.0196,1.37,0.0,13.6,9.1,18.2,True
20000219,10.8,0.58,1.0177,1.26,0.04,13.1,8.6,17.6,False
20000220,7.4,0.48,1.0243,1.46,0.02,10.6,7.9,13.2,False
20000221,2.1,0.5,1.0253,1.4,0.0,7.4,1.9,12.9,False
20000222,3.0,0.46,1.024,1.21,0.0,7.6,1.2,14.0,False
20000223,6.0,0.44,1.0262,1.55,0.0,10.8,6.3,15.2,False
20000224,4.0,0.64,1.0296,1.5,0.0,14.2,9.7,18.8,True
20000225,1.8,0.76,1.0289,1.51,0.0,11.0,5.0,16.9,False
20000226,1.6,0.79,1.0285,0.32,0.0,10.5,4.2,16.7,False
20000227,2.4,0.91,1.0284,0.28,0.02,10.0,8.1,11.8,False
20000228,3.1,0.83,1.0267,1.12,0.0,11.1,6.6,15.6,False
20000229,2.4,0.83,1.0229,1.01,0.0,11.6,8.2,15.1,False
20000301,8.9,0.68,1.0164,1.33,0.36,12.9,7.8,18.0,False
20000302,7.5,0.52,1.0268,1.76,0.0,10.8,7.4,14.3,False
20000303,2.2,0.64,1.0226,1.71,0.0,8.9,1.7,16.1,False
20000304,8.4,0.58,1.0223,1.64,0.0,13.0,8.4,17.6,False
20000305,4.1,0.39,1.0287,1.87,0.0,11.8,6.7,17.0,False
20000306,2.0,0.7,1.0308,1.71,0.0,6.5,0.4,12.6,False
20000307,2.0,0.76,1.029,1.4,0.0,12.4,8.3,16.5,False
20000308,4.2,0.36,1.0293,1.87,0.0,15.4,7.9,23.0,True
20000309,7.1,0.27,1.027,1.87,0.0,19.6,13.0,26.2,True
20000310,7.9,0.37,1.0245,1.91,0.0,19.8,15.5,24.2,True
20000311,4.1,0.38,1.0199,1.92,0.0,19.5,14.6,24.4,True
20000312,2.6,0.6,1.0193,1.88,0.0,13.5,8.9,18.1,True
20000313,2.8,0.7,1.0232,1.47,0.0,12.8,9.7,16.0,False
20000314,8.6,0.52,1.0241,1.86,0.0,15.3,11.2,19.4,True
20000315,10.1,0.47,1.0232,1.37,0.0,15.1,12.8,17.4,False
20000316,10.9,0.36,1.0254,2.02,0.0,13.7,8.8,18.6,True
20000317,10.6,0.38,1.0206,2.05,0.0,16.0,12.5,19.6,True
20000318,12.5,0.48,1.0192,2.01,0.0,15.0,12.3,17.7,False
20000319,7.2,0.42,1.022,2.05,0.0,12.6,9.4,15.9,False
20000320,3.9,0.61,1.0197,1.08,0.18,10.7,8.1,13.3,False
20000321,4.6,0.74,1.0193,1.69,0.0,11.8,8.7,14.9,False
20000322,5.9,0.82,1.018,1.63,0.0,11.6,7.7,15.6,False
20000323,5.2,0.93,1.013,0.48,0.06,12.7,11.6,13.8,False
20000324,2.1,0.71,1.015,1.41,0.0,12.6,7.0,18.2,True
20000325,2.6,0.82,1.0169,1.59,0.04,11.2,6.3,16.1,False
20000326,6.6,0.57,1.0156,1.22,0.02,12.8,9.8,15.9,False
20000327,4.8,0.63,1.01,1.26,0.0,10.2,6.6,13.9,False
20000328,6.9,0.52,1.0075,1.99,0.0,10.8,7.3,14.4,False
20000329,5.4,0.56,1.0113,1.64,0.0,10.3,6.1,14.5,False
20000330,3.4,0.74,1.0141,2.05,0.0,8.0,1.8,14.3,False
20000331,3.8,0.72,1.0087,0.51,0.04,10.0,6.8,13.1,False
20000401,4.1,0.67,1.0077,2.26,0.0,11.8,6.6,17.0,False
20000402,5.0,0.8,0.9982,1.09,0.0,12.7,7.5,17.9,False
20000403,7.5,0.53,0.9892,2.26,0.0,17.0,12.2,21.9,True
20000404,6.5,0.52,0.9952,1.95,0.0,12.8,5.7,19.8,True
20000405,9.9,0.49,1.0093,1.7,0.0,13.0,10.7,15.3,False
20000406,7.4,0.5,1.0194,2.27,0.0,11.4,6.7,16.0,False
20000407,3.4,0.61,1.0222,2.73,0.0,9.8,4.2,15.5,False
20000408,4.0,0.86,1.0173,0.77,0.06,9.5,4.8,14.2,False
20000409,3.1,0.9,1.0077,0.43,0.42,9.8,9.0,10.7,False
20000410,4.0,0.93,1.0038,0.29,0.88,10.8,9.5,12.1,False
20000411,5.5,0.74,1.0018,0.84,0.98,13.0,9.3,16.7,False
20000412,2.8,0.71,1.002,1.26,0.0,12.0,9.6,14.4,False
20000413,2.5,0.76,1.0037,2.3,0.02,11.2,6.8,15.7,False
20000414,2.6,0.8,0.9993,1.61,0.0,12.4,7.2,17.6,False
20000415,4.0,0.62,1.0049,2.68,0.0,12.5,7.7,17.4,False
20000416,7.0,0.65,0.9966,1.93,0.32,16.8,11.4,22.3,False
20000417,5.9,0.5,1.0091,2.94,0.0,15.3,10.8,19.8,True
20000418,5.1,0.62,1.0101,2.68,0.5,12.0,5.7,18.3,False
20000419,6.1,0.56,1.0126,3.05,0.0,16.3,11.1,21.5,True
20000420,2.5,0.66,1.0132,2.69,0.0,15.0,9.6,20.5,True
20000421,3.4,0.79,1.0151,2.66,0.0,15.6,9.9,21.2,True
20000422,3.9,0.83,1.012,1.82,0.12,16.3,13.7,18.9,False
20000423,6.9,0.67,1.0153,0.95,0.1,13.1,9.9,16.3,False
20000424,3.5,0.59,1.0146,3.07,0.0,13.6,7.4,19.8,True
20000425,3.6,0.8,1.0108,2.92,0.0,14.4,10.4,18.5,True
20000426,5.9,0.78,1.0094,2.91,0.02,16.0,11.3,20.7,False
20000427,5.1,0.9,1.0052,0.6,0.46,14.2,12.1,16.4,False
20000428,6.1,0.58,1.0105,2.33,0.0,13.2,8.8,17.6,False
20000429,3.8,0.74,1.015,3.05,0.0,12.2,6.3,18.2,True
20000430,3.2,0.73,1.0166,2.24,0.0,15.2,10.5,19.8,True
20000501,2.1,0.64,1.0145,2.91,0.0,16.4,10.6,22.3,True
20000502,2.1,0.6,1.0137,2.97,0.0,16.8,9.3,24.3,True
20000503,3.2,0.77,1.0152,2.86,0.0,15.7,10.3,21.1,True
20000504,2.9,0.78,1.0142,1.38,0.0,17.2,13.0,21.5,True
20000505,3.1,0.83,1.0108,1.8,0.0,17.9,14.2,21.6,True
20000506,3.0,0.84,1.0113,1.43,0.02,17.9,15.3,20.5,False
20000507,3.1,0.91,1.0142,0.47,0.22,16.2,14.9,17.4,False
20000508,3.4,0.9,1.0161,1.82,0.02,17.9,15.3,20.5,False
20000509,2.8,0.85,1.0144,0.89,0.0,18.4,15.5,21.4,True
20000510,1.8,0.93,1.0119,0.36,3.28,16.6,14.9,18.2,False
20000511,3.5,0.81,1.0152,2.85,0.0,16.8,10.8,22.7,True
20000512,2.1,0.82,1.0188,2.4,0.0,18.5,16.0,21.0,True
20000513,2.6,0.69,1.0192,2.21,0.02,19.8,14.4,25.2,False
20000514,2.4,0.65,1.0197,3.26,0.0,19.0,13.3,24.7,True
20000515,3.9,0.72,1.0195,3.08,0.0,20.2,14.9,25.4,True
20000516,4.6,0.74,1.0169,2.91,0.0,19.6,14.1,25.1,True
20000517,3.4,0.77,1.0169,0.81,0.1,18.4,15.0,21.7,False
20000518,5.9,0.63,1.0151,1.84,0.0,17.3,14.8,19.8,True
20000519,6.5,0.51,1.015,2.62,0.0,17.5,14.4,20.6,True
20000520,3.5,0.49,1.0126,3.39,0.0,18.0,11.5,24.4,True
20000521,4.4,0.58,1.0125,2.62,0.0,18.2,12.3,24.2,True
20000522,5.9,0.52,1.0181,1.34,0.0,17.1,14.4,19.8,True
20000523,2.9,0.53,1.0187,3.3,0.0,19.4,13.6,25.3,True
20000524,2.9,0.54,1.0165,3.32,0.0,20.2,14.3,26.0,True
20000525,4.6,0.57,1.0174,2.8,0.0,20.7,15.5,25.9,True
20000526,4.4,0.67,1.0142,3.28,0.8,19.3,14.4,24.2,False
20000527,4.5,0.6,1.0165,3.26,0.0,18.1,13.0,23.2,True
20000528,2.1,0.69,1.0149,2.22,0.0,18.8,13.7,23.8,True
20000529,6.6,0.62,1.0176,2.83,0.0,20.3,15.9,24.7,True
20000530,3.5,0.58,1.0191,2.83,0.0,22.0,16.1,27.9,True
20000531,5.6,0.5,1.0203,3.12,0.0,24.0,19.4,28.7,True
20000601,3.0,0.6,1.021,3.12,0.0,20.6,14.3,27.0,True
20000602,2.2,0.86,1.0206,0.69,0.0,19.6,17.6,21.5,True
20000603,3.1,0.84,1.0177,2.08,0.0,20.5,16.3,24.7,True
20000604,3.4,0.68,1.0166,2.92,0.0,22.4,18.1,26.7,True
20000605,6.2,0.68,1.0164,2.33,1.0,21.4,17.3,25.5,False
20000606,10.0,0.56,1.0203,2.58,0.0,17.5,13.2,21.8,True
20000607,6.0,0.5,1.0194,3.58,0.0,20.5,15.8,25.2,True
20000608,6.1,0.58,1.0139,3.5,0.0,19.4,11.5,27.2,True
20000609,8.2,0.67,1.0118,3.33,0.12,23.5,18.3,28.7,False
20000610,7.0,0.79,1.0119,0.34,4.36,13.7,11.5,15.9,False
20000611,12.1,0.66,1.0185,0.61,0.36,15.0,12.4,17.6,False
20000612,10.1,0.6,1.0235,1.19,0.02,16.7,12.8,20.6,False
20000613,6.1,0.61,1.0236,1.54,0.26,20.9,16.2,25.6,False
20000614,6.2,0.7,1.0233,1.52,1.22,22.6,20.0,25.1,False
20000615,7.9,0.51,1.0209,3.48,0.0,25.0,19.0,31.0,True
20000616,6.8,0.39,1.0188,3.56,0.0,28.8,24.6,33.1,True
20000617,2.2,0.53,1.0203,3.2,0.0,24.1,18.8,29.4,True
20000618,4.9,0.8,1.0228,3.04,0.0,21.4,17.4,25.5,True
20000619,5.5,0.67,1.0205,3.48,0.0,22.7,18.2,27.2,True
20000620,4.6,0.71,1.0168,3.46,0.0,21.6,16.1,27.1,True
20000621,2.9,0.79,1.0189,1.45,0.0,20.1,16.8,23.4,True
20000622,3.4,0.71,1.02,1.63,0.02,21.4,16.1,26.6,False
20000623,6.6,0.59,1.0217,1.15,0.0,20.8,18.9,22.6,True
20000624,6.6,0.53,1.0201,3.41,0.0,20.8,17.5,24.1,True
20000625,5.5,0.54,1.018,3.46,0.0,21.8,16.7,27.0,True
20000626,2.6,0.65,1.0181,3.18,0.02,20.0,14.9,25.1,False
20000627,2.6,0.77,1.0158,2.52,0.0,22.4,18.6,26.2,True
20000628,5.1,0.53,1.0164,2.59,0.0,24.3,19.0,29.6,True
20000629,5.5,0.54,1.0169,3.17,0.0,24.6,20.6,28.6,True
20000630,2.2,0.69,1.0132,2.62,0.0,23.4,19.0,27.8,True
20000701,3.9,0.82,1.0113,2.37,0.0,23.6,19.8,27.5,True
20000702,3.1,0.85,1.0113,1.65,0.0,23.6,21.0,26.3,True
20000703,2.6,0.77,1.0076,2.19,0.0,24.8,20.2,29.5,True
20000704,5.8,0.5,1.0131,2.55,0.0,23.2,19.5,26.9,True
20000705,3.2,0.55,1.0172,3.3,0.0,21.8,16.2,27.4,True
20000706,3.5,0.7,1.0132,3.12,0.0,23.4,15.8,30.9,True
20000707,7.5,0.55,1.0134,2.7,0.0,23.7,18.7,28.6,True
20000708,9.1,0.48,1.0168,3.37,0.0,22.4,19.3,25.6,True
20000709,4.8,0.55,1.0142,3.29,0.0,23.0,17.3,28.7,True
20000710,4.1,0.67,1.0059,0.77,0.46,20.3,16.3,24.4,False
20000711,10.6,0.49,1.0097,3.52,0.0,18.8,14.7,23.0,True
20000712,7.4,0.47,1.0187,3.32,0.0,18.6,14.2,23.0,True
20000713,6.8,0.5,1.0194,3.43,0.0,19.0,12.3,25.8,True
20000714,10.9,0.61,1.0146,2.33,0.0,21.9,19.1,24.7,True
20000715,7.4,0.62,1.0135,1.98,0.0,19.3,17.1,21.5,True
20000716,5.9,0.45,1.0148,3.45,0.0,20.7,15.6,25.8,True
20000717,2.2,0.54,1.0158,2.64,0.0,20.9,17.6,24.2,True
20000718,1.8,0.71,1.0163,2.09,0.0,20.2,15.4,24.9,True
20000719,2.9,0.6,1.0152,3.03,0.0,23.0,17.5,28.4,True
20000720,3.0,0.54,1.0151,2.98,0.0,23.6,17.3,30.0,True
20000721,2.4,0.56,1.0159,3.2,0.0,22.9,16.8,29.0,True
20000722,4.2,0.8,1.0123,2.77,0.0,24.2,19.4,29.0,True
20000723,3.9,0.89,1.0098,0.77,0.28,22.0,20.3,23.6,False
20000724,2.8,0.66,1.0094,1.76,0.0,24.1,19.4,28.8,True
20000725,3.4,0.74,1.0073,2.69,0.08,22.8,16.8,28.8,False
20000726,2.8,0.58,1.0129,3.06,0.0,22.8,16.6,28.9,True
20000727,4.2,0.62,1.0149,3.16,0.0,23.0,17.8,28.2,True
20000728,6.2,0.55,1.0179,2.23,0.0,24.0,20.8,27.2,True
20000729,6.0,0.5,1.0204,3.26,0.0,23.6,19.5,27.6,True
20000730,3.9,0.43,1.0208,3.28,0.0,24.9,18.3,31.5,True
20000731,2.4,0.48,1.0207,3.14,0.0,22.4,15.6,29.2,True
20000801,4.2,0.8,1.0199,1.7,0.2,22.2,18.3,26.1,False
20000802,3.4,0.66,1.0201,1.91,0.0,24.4,19.6,29.3,True
20000803,6.0,0.64,1.02,0.96,0.06,21.8,19.9,23.8,False
20000804,7.8,0.55,1.0206,2.69,0.0,20.8,16.5,25.1,True
20000805,8.1,0.52,1.0205,3.17,0.0,21.6,17.8,25.4,True
20000806,8.8,0.48,1.0212,2.41,0.0,22.8,18.6,27.0,True
20000807,7.1,0.46,1.0201,3.04,0.0,24.4,18.9,29.9,True
20000808,3.2,0.49,1.0182,2.76,0.0,25.2,20.1,30.4,True
20000809,2.8,0.49,1.018,2.91,0.0,26.4,21.3,31.4,True
20000810,2.5,0.72,1.0168,2.94,0.0,23.4,17.6,29.2,True
20000811,2.6,0.81,1.0132,2.02,0.0,23.3,19.8,26.9,True
20000812,3.1,0.67,1.0141,1.69,0.02,24.8,20.3,29.4,False
20000813,2.6,0.56,1.0165,2.8,0.0,25.8,20.4,31.1,True
20000814,3.5,0.5,1.0194,2.77,0.0,27.6,21.0,34.2,True
20000815,4.4,0.5,1.0194,2.76,0.0,29.8,24.9,34.6,True
20000816,2.9,0.59,1.0156,2.55,0.0,26.8,22.0,31.6,True
20000817,3.0,0.7,1.0142,2.56,0.0,25.8,21.7,29.9,True
20000818,4.4,0.77,1.0118,2.05,0.0,25.2,18.4,32.1,True
20000819,3.0,0.83,1.0133,1.78,0.0,24.3,19.7,28.9,True
20000820,3.6,0.82,1.0128,2.13,0.0,26.0,22.6,29.4,True
20000821,3.9,0.61,1.0145,1.07,0.0,25.2,22.2,28.2,True
20000822,3.2,0.63,1.0144,2.81,0.0,20.7,14.1,27.2,True
20000823,3.1,0.83,1.0155,1.64,0.0,22.0,16.8,27.2,True
20000824,2.0,0.85,1.0186,1.4,0.0,25.6,22.2,29.1,True
20000825,2.4,0.84,1.014,1.82,0.0,24.7,21.6,27.8,True
20000826,6.5,0.7,1.0113,1.72,0.0,24.7,20.7,28.6,True
20000827,7.1,0.49,1.0187,2.49,0.0,23.6,19.4,27.8,True
20000828,2.2,0.52,1.0199,2.41,0.0,23.6,17.6,29.5,True
20000829,3.4,0.68,1.0168,2.54,0.06,20.3,14.6,26.0,False
20000830,3.2,0.81,1.0123,0.9,0.1,23.2,19.8,26.5,False
20000831,5.1,0.55,1.0112,2.51,0.0,22.9,18.2,27.6,True
20000901,4.1,0.56,1.0117,2.56,0.0,22.4,15.8,29.0,True
20000902,7.5,0.47,1.0144,2.48,0.0,23.4,19.6,27.1,True
20000903,7.6,0.52,1.0157,2.33,0.0,22.0,18.5,25.5,True
20000904,8.1,0.46,1.0179,2.5,0.0,21.8,18.1,25.6,True
20000905,4.0,0.33,1.0199,2.67,0.0,23.3,17.3,29.3,True
20000906,3.4,0.36,1.0175,2.25,0.0,22.2,14.9,29.5,True
20000907,8.5,0.5,1.0162,1.94,0.0,23.0,19.4,26.6,True
20000908,3.9,0.43,1.0191,2.55,0.0,23.7,21.0,26.4,True
20000909,4.0,0.61,1.0211,2.46,0.0,20.0,12.5,27.5,True
20000910,3.5,0.63,1.0183,2.44,0.0,20.0,12.3,27.6,True
20000911,2.1,0.78,1.0144,2.26,0.0,20.0,13.4,26.7,True
20000912,3.0,0.84,1.0143,1.31,0.32,21.7,17.3,26.1,False
20000913,2.8,0.73,1.0142,2.19,0.0,23.2,17.3,29.1,True
20000914,2.0,0.86,1.0155,1.61,0.02,22.2,18.3,26.1,False
20000915,1.2,0.87,1.0154,0.92,0.04,22.9,19.6,26.2,False
20000916,3.8,0.66,1.0146,2.02,0.0,23.0,18.2,27.7,True
20000917,4.2,0.6,1.0113,2.01,0.0,22.0,16.4,27.5,True
20000918,2.9,0.61,1.0077,2.02,0.0,22.5,18.6,26.4,True
20000919,4.2,0.72,1.0016,1.09,0.2,20.7,14.4,27.0,False
20000920,5.8,0.57,1.008,1.55,0.0,15.8,12.5,19.2,True
20000921,2.4,0.43,1.0188,2.23,0.0,19.7,13.3,26.1,True
20000922,2.8,0.47,1.019,2.26,0.0,21.0,12.2,29.7,True
20000923,3.6,0.79,1.0174,1.57,0.0,17.8,12.1,23.6,True
20000924,1.9,0.84,1.019,0.7,0.0,21.5,19.4,23.6,True
20000925,2.6,0.82,1.0211,1.57,0.0,21.2,17.7,24.7,True
20000926,2.9,0.82,1.02,1.06,0.0,22.8,20.1,25.6,True
20000927,2.4,0.79,1.0182,1.24,0.0,21.2,18.2,24.3,True
20000928,6.0,0.62,1.0073,1.89,0.08,21.4,13.1,29.7,False
20000929,3.8,0.64,1.0027,0.58,0.02,18.0,15.9,20.2,False
20000930,5.0,0.47,1.007,2.02,0.0,18.2,13.3,23.1,True
20001001,5.2,0.48,1.0092,1.92,0.0,18.2,14.7,21.8,True
20001002,8.6,0.53,1.0157,0.88,0.02,16.0,12.5,19.5,False
20001003,7.6,0.52,1.0185,1.95,0.0,18.8,15.1,22.4,True
20001004,4.1,0.5,1.0176,1.99,0.0,21.0,15.1,26.8,True
20001005,7.8,0.53,1.0182,1.44,0.0,20.0,15.6,24.5,True
20001006,9.0,0.45,1.0216,1.51,0.0,17.6,16.1,19.0,True
20001007,6.4,0.4,1.0227,1.72,0.0,16.3,12.5,20.1,True
20001008,5.9,0.44,1.0192,1.62,0.0,17.2,11.8,22.6,True
20001009,3.4,0.55,1.0129,1.53,0.08,18.6,15.4,21.8,False
20001010,5.4,0.62,1.0043,1.15,0.0,16.3,13.8,18.8,True
20001011,3.8,0.73,0.9968,0.27,0.32,15.0,12.3,17.6,False
20001012,1.9,0.75,1.0004,0.59,0.0,14.4,11.5,17.2,False
20001013,5.9,0.75,1.0087,0.2,0.86,12.6,11.8,13.5,False
20001014,8.4,0.53,1.0107,1.8,1.54,15.2,11.5,18.9,False
20001015,4.5,0.76,1.0066,0.5,0.32,12.8,9.9,15.6,False
20001016,3.0,0.71,1.0161,1.14,0.02,15.0,10.4,19.5,False
20001017,2.9,0.65,1.0252,1.63,0.0,15.2,8.4,22.1,True
20001018,2.1,0.79,1.0234,1.51,0.0,14.8,9.2,20.5,True
20001019,1.6,0.84,1.0205,1.27,0.0,16.2,11.0,21.4,True
20001020,4.9,0.79,1.017,0.89,0.3,18.5,14.9,22.1,False
20001021,6.9,0.86,1.0209,0.89,0.0,18.5,16.6,20.4,True
20001022,3.1,0.9,1.0262,0.32,0.02,17.3,15.9,18.7,False
20001023,3.5,0.91,1.0249,0.64,0.02,18.0,15.8,20.3,False
20001024,1.8,0.87,1.0238,0.81,0.02,18.1,15.6,20.6,False
20001025,2.2,0.87,1.0192,1.23,0.0,16.6,12.2,21.1,True
20001026,2.8,0.75,1.019,0.97,0.0,17.8,13.3,22.2,True
20001027,5.2,0.68,1.0207,1.47,0.0,17.0,12.8,21.3,True
20001028,2.1,0.84,1.0196,0.66,0.0,13.0,7.8,18.1,True
20001029,3.2,0.67,1.0208,0.67,0.0,16.2,13.3,19.1,True
20001030,4.1,0.59,1.0074,1.29,0.02,16.6,8.8,24.4,False
20001031,6.2,0.53,1.0096,0.84,0.0,14.9,11.6,18.2,True
20001101,2.1,0.67,1.0143,1.16,0.0,12.8,7.2,18.3,True
20001102,1.2,0.79,1.0045,0.45,0.0,11.8,8.0,15.7,False
20001103,5.6,0.62,1.0066,0.42,0.0,10.6,7.6,13.7,False
20001104,3.4,0.58,1.0166,1.25,0.0,11.2,4.6,17.8,False
20001105,4.4,0.62,1.0068,1.02,0.0,10.4,2.7,18.1,True
20001106,3.9,0.7,0.9915,0.85,0.14,14.5,11.1,17.9,False
20001107,4.0,0.64,0.9985,0.79,0.0,11.8,7.2,16.5,False
20001108,2.2,0.71,1.005,1.26,0.0,9.2,3.2,15.3,False
20001109,2.6,0.71,1.0154,0.99,0.0,10.2,4.7,15.7,False
20001110,2.4,0.68,1.0237,1.17,0.02,10.8,4.4,17.2,False
20001111,2.9,0.69,1.0211,0.82,0.0,8.6,0.9,16.2,False
20001112,7.9,0.56,1.0086,1.18,0.0,14.8,7.9,21.8,True
20001113,4.0,0.66,1.0037,0.42,0.3,16.5,11.4,21.6,False
20001114,2.0,0.79,1.0099,0.85,0.04,12.2,9.1,15.2,False
20001115,2.6,0.72,1.0163,0.39,0.0,9.7,6.2,13.2,False
20001116,4.6,0.58,1.013,0.85,0.0,9.6,4.1,15.1,False
20001117,8.5,0.55,1.0163,0.93,0.0,11.4,9.1,13.6,False
20001118,5.2,0.59,1.0171,0.63,0.04,11.8,9.6,14.0,False
20001119,3.6,0.73,1.011,0.62,0.18,9.8,4.1,15.6,False
20001120,2.5,0.77,1.0082,0.16,0.08,11.2,9.8,12.7,False
20001121,2.6,0.67,1.012,1.01,0.0,10.2,4.6,15.9,False
20001122,1.6,0.83,1.0103,0.37,0.0,11.6,7.0,16.3,False
20001123,7.5,0.6,1.0046,0.28,0.12,13.8,8.7,19.0,False
20001124,3.9,0.67,1.0126,0.94,0.0,11.8,8.3,15.2,False
20001125,2.1,0.67,1.0117,0.91,0.0,12.1,6.4,17.8,False
20001126,8.1,0.5,1.0153,1.0,0.44,14.4,10.6,18.3,False
20001127,2.1,0.92,1.0198,0.49,0.34,13.0,10.4,15.7,False
20001128,1.9,0.94,1.0184,0.32,0.02,11.2,7.7,14.7,False
20001129,4.6,0.88,1.0134,0.45,1.62,14.4,10.7,18.0,False
20001130,5.0,0.86,1.0161,0.75,0.0,14.4,11.9,17.0,False
20001201,4.6,0.64,1.0147,0.48,0.0,14.8,10.3,19.2,True
20001202,6.0,0.68,1.0153,0.86,0.04,13.6,7.6,19.5,False
20001203,2.5,0.61,1.0209,0.99,0.0,12.2,8.9,15.6,False
20001204,1.9,0.85,1.0197,0.7,0.02,7.8,2.7,12.8,False
20001205,2.0,0.84,1.0159,0.72,0.02,9.4,3.4,15.3,False
20001206,2.4,0.74,1.0128,0.6,0.0,16.2,10.8,21.6,True
20001207,9.4,0.6,1.0064,0.43,0.0,15.2,8.2,22.1,True
20001208,2.0,0.76,1.0102,0.8,0.02,15.4,11.7,19.0,False
20001209,2.0,0.86,1.0191,0.49,0.0,11.7,6.8,16.6,False
20001210,1.9,0.88,1.0266,0.8,0.02,9.2,2.7,15.6,False
20001211,1.1,0.9,1.0289,0.54,0.02,9.6,4.5,14.7,False
20001212,1.5,0.88,1.0274,0.19,0.0,10.9,8.8,13.0,False
20001213,1.8,0.79,1.0264,0.44,0.0,13.4,9.4,17.3,False
20001214,2.4,0.82,1.0176,0.57,0.0,10.6,5.9,15.4,False
20001215,8.8,0.58,1.0162,0.75,0.0,10.5,8.4,12.7,False
20001216,5.0,0.58,1.0194,0.89,0.0,11.1,8.2,14.0,False
20001217,2.4,0.69,1.018,0.74,0.0,9.8,3.8,15.7,False
